config_id,fold_id,segment,calendar_year,n_trades,roi_pct,max_dd_base_pct,dd_at_0p40_pct,days_breaching_daily_5pct,roi_dd_ratio
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,1,search,2010,0,0.0,0.0,0.0,0,0.0
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,2,search,2011,164,0.0076564139591353,0.07014939984326594,0.05611951987461276,0,0.10914439719002506
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,3,search,2012,145,0.03367754452942773,0.07326440810754456,0.05861152648603565,0,0.4596712837697751
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,4,search,2013,131,0.0429690802940117,0.05089067134061503,0.040712537072492026,0,0.8443409992848486
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,5,search,2014,105,-0.031281806624042785,0.05333822316792384,0.042670578534339074,0,-0.5864801031252728
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,6,search,2015,95,-0.032332919820638906,0.07722703811234911,0.061781630489879294,0,-0.41867357095323665
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,7,search,2016,93,0.049209845505808314,0.03705246711082348,0.029641973688658785,0,1.3281125210535174
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,8,search,2017,86,0.021746336340715544,0.03706520735581132,0.029652165884649057,0,0.5867048343196714
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,9,search,2018,101,-0.02637946610942643,0.07887750566537122,0.06310200453229697,0,-0.3344358557855302
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,10,search,2019,75,-0.0392652515547377,0.06552421576682059,0.05241937261345647,0,-0.5992479436071388
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,11,search,2020,86,-0.03506241467600402,0.057065568023001084,0.04565245441840087,0,-0.6144233009627034
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,12,holdout,2021,438,-0.12572482990838463,0.1822557355023928,0.14580458840191424,0,-0.6898264658822438
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,1,search,2010,0,0.0,0.0,0.0,0,0.0
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,2,search,2011,80,-0.04941480832367695,0.13337346704943315,0.10669877363954652,0,-0.37049954100212446
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,3,search,2012,83,0.07142133483964197,0.09395491482974505,0.07516393186379605,0,0.7601660324961605
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,4,search,2013,48,0.09874147417586743,0.06553464206167568,0.05242771364934055,0,1.5067065458744746
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,5,search,2014,50,-0.05075723875588933,0.10544405431999565,0.08435524345599653,0,-0.4813665320744794
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,6,search,2015,53,-0.046599451636353484,0.09152608909206647,0.07322087127365318,0,-0.5091384554788406
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,7,search,2016,50,0.04957882513129808,0.034718119560455334,0.027774495648364268,0,1.428038896086106
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,8,search,2017,46,-0.007511163918640373,0.03806665474764794,0.030453323798118354,0,-0.19731610167569222
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,9,search,2018,52,-0.02714560928040799,0.05567361228450592,0.04453888982760474,0,-0.48758483896620924
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,10,search,2019,45,-0.07250609018709564,0.11438148738778478,0.09150518991022782,0,-0.6338970741067564
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,11,search,2020,38,-0.05375163281288253,0.08471848017649225,0.0677747841411938,0,-0.6344735257396364
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,12,holdout,2021,256,-0.1032104414845123,0.2049066822841868,0.16392534582734944,0,-0.5036948543306601
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,1,search,2010,0,0.0,0.0,0.0,0,0.0
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,2,search,2011,173,-0.05199703844724124,0.08357645733284418,0.06686116586627534,0,-0.6221493481132186
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,3,search,2012,157,0.12673533439467088,0.04119087916320982,0.03295270333056786,0,3.0767814858359768
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,4,search,2013,145,0.020802806467870028,0.0514627846264069,0.04117022770112552,0,0.40423009790254455
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,5,search,2014,110,-0.04029933276422204,0.07553497253049461,0.060427978024395694,0,-0.5335188643638229
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,6,search,2015,106,-0.054918913355174404,0.08229321049639592,0.06583456839711674,0,-0.6673565537655092
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,7,search,2016,103,0.06282291373347171,0.0357491244816369,0.028599299585309518,0,1.7573273372258862
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,8,search,2017,93,0.009700730017174308,0.033047413708018135,0.02643793096641451,0,0.29353976389446373
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,9,search,2018,121,-0.05490144574430844,0.09623408824745766,0.07698727059796613,0,-0.5704989442320492
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,10,search,2019,86,-0.042024314150209685,0.08198664227840415,0.06558931382272332,0,-0.5125751339773941
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,11,search,2020,95,-0.03992779407597913,0.062199415796932674,0.04975953263754614,0,-0.641931979013027
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,12,holdout,2021,504,-0.276304417477789,0.31603827679933383,0.25283062143946705,0,-0.8742751677931292
