trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
1,AUD_CAD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.97558,0.9717959912,2021-03-12 13:00:00,0.9717859912,stoploss,13,-1.0026427,0.4122611968,-1.26056789,2,0.2,0.2,2021
2,AUD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.718705,0.7153682078,2021-03-16 12:00:00,0.7153132078,stoploss,60,-1.016482896,0.9844784505,-1.161294976,10,1.1,1.1,2021
3,AUD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,84.476,84.111847,2021-03-15 17:00:00,84.109847,stoploss,41,-1.005492197,0.8265756483,-1.002325952,2,0.4,0.4,2021
4,AUD_NZD,2021-03-12 00:00:00,2021-03-12 01:00:00,1.077445,1.074562619,2021-03-15 08:00:00,1.074487619,stoploss,32,-1.026020156,1.507434396,-1.129274789,21,1.5,1.5,2021
5,AUD_USD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.778375,0.7741243923,2021-03-12 10:00:00,0.7741093923,stoploss,10,-1.003528907,0.3940613013,-1.00809115,2,0.3,0.3,2021
6,CAD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.736585,0.7336112301,2021-03-19 01:00:00,0.742105,time_exit,120,1.85622968,3.687238847,-0.02858324688,34,1.7,1.5,2021
7,CAD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,86.5645,86.23931244,2021-03-19 01:00:00,87.1945,time_exit,120,1.937343486,4.666537682,-0.01076301937,104,0.5,0.5,2021
8,CHF_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,117.354,116.9341428,2021-03-19 01:00:00,117.469,time_exit,120,0.2739026495,1.967335552,-0.8312349972,105,0.6,0.6,2021
9,EUR_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,1.106975,1.103915246,2021-03-16 15:00:00,1.103910246,stoploss,63,-1.001634118,1.42658516,-1.652093467,21,0.7,0.1,2021
10,NZD_CAD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.90511,0.9010144773,2021-03-12 11:00:00,0.9009294773,stoploss,11,-1.020754372,0.2173104783,-1.015743359,0,1.8,1.7,2021
