trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
1,0.5,2,0,0.1666666667
2,0.4634146341,3,0.5963811618,0.1694915254
3,0.4482758621,2,0,0.05
4,0.5416666667,11,0.2775483355,0.6774193548
5,0.6666666667,2,0,0.2222222222
6,0.5416666667,18,0.2992834085,0.2833333333
7,0.5083333333,31,0.3444166193,0.8666666667
8,0.57,21,0.4394351203,0.875
9,0.4,7,0.1928259438,0.3387096774
10,0.3333333333,0,0,0
11,0.4324324324,8,0.4020784402,0.4857142857
12,0.4810126582,11,0.8478512641,0.8965517241
13,1,0,0,0
14,0.5046728972,8,0.0873648207,0.1333333333
15,0.4285714286,3,0.400215521,0.1923076923
16,0.4945054945,10,0.6298849984,0.775
17,0,2,0,0.5
18,0,0,0,0
19,0,0,0,0
20,0.4827586207,8,0.7399341771,0.6166666667
21,0.5263157895,7,0.3200979963,0.2363636364
22,0.4867256637,20,0.49565416,0.6833333333
23,0.5208333333,10,0.62923983,0.62
24,0.5,13,0.6547168683,0.4311926606
25,0.5108695652,6,0.4408489161,0.3916666667
26,0.4731182796,9,0.66181262,0.2424242424
27,0.55,6,0.424184027,0.156626506
28,0.5,2,0.6218429795,0.6153846154
29,0.6,4,0.5907492116,0.7042253521
30,0.5454545455,4,0.4251671064,0.25
31,0.380952381,4,0.3887138128,0.3243243243
32,0.4,6,0.4205225383,0.6785714286
33,0.5798319328,31,0.179372698,0.7583333333
34,0,0,0,0
35,0.5609756098,28,0.27012165,0.9083333333
36,0,0,0,0
37,0,0,0,0
38,0.5294117647,21,0.446976807,0.7
39,0.5087719298,23,0.3189865846,0.6666666667
40,0.6666666667,5,0.456209939,0.4333333333
41,0.5514018692,21,0.4484454615,0.725
42,0.5833333333,31,0.2505344965,0.9666666667
43,0.4358974359,10,0.3885248567,0.671875
44,0.4642857143,15,0.29878681,0.3243243243
45,0.4,0,0,0
46,0.5384615385,0,0,0
47,0.5546218487,16,0.311424132,0.4583333333
48,0.5612244898,16,0.144821288,0.9416666667
49,0.4468085106,7,0.09848057016,0.171875
50,0.4731182796,13,0.275627354,0.6333333333
51,0.4285714286,8,0.3773745487,0.7407407407
52,0.4642857143,7,0.1740925206,0.1704545455
53,0.6666666667,3,0,0.2857142857
