variant,pipeline,fold,auc
full_E,E,0,0.6246537396121884
full_E,E,1,0.669467787114846
full_E,E,2,0.551246537396122
full_E,E,3,0.6464285714285714
full_E,E,4,0.65625
no_L_1,E,0,0.6274238227146814
no_L_1,E,1,0.6722689075630253
no_L_1,E,2,0.5373961218836565
no_L_1,E,3,0.6
no_L_1,E,4,0.6164772727272727
no_L_0,E,0,0.6232686980609418
no_L_0,E,1,0.6106442577030813
no_L_0,E,2,0.5706371191135734
no_L_0,E,3,0.5857142857142856
no_L_0,E,4,0.6193181818181818
no_age,E,0,0.6398891966759003
no_age,E,1,0.619047619047619
no_age,E,2,0.5789473684210527
no_age,E,3,0.6357142857142859
no_age,E,4,0.6534090909090909
no_slope,E,0,0.6232686980609418
no_slope,E,1,0.5742296918767508
no_slope,E,2,0.5872576177285318
no_slope,E,3,0.6035714285714286
no_slope,E,4,0.6676136363636364
base_no_HTF,E,0,0.6371191135734072
base_no_HTF,E,1,0.6428571428571429
base_no_HTF,E,2,0.5069252077562327
base_no_HTF,E,3,0.625
base_no_HTF,E,4,0.6164772727272727
full_D1_reference,D1,0,0.6689750692520776
full_D1_reference,D1,1,0.6246498599439776
full_D1_reference,D1,2,0.5180055401662049
full_D1_reference,D1,3,0.4607142857142857
full_D1_reference,D1,4,0.6761363636363636
