trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
1,NZD_CHF,0,0,0,0
2,EUR_GBP,0,0,0,0
3,NZD_CHF,0.4444444444,5,0.1315187606,0.4615384615
4,AUD_NZD,1,2,0,0.4
5,NZD_JPY,0.5454545455,14,0.6157688929,0.6949152542
6,EUR_GBP,0.5714285714,6,0.7862743894,0.7391304348
7,AUD_USD,0,1,0,0
8,CAD_CHF,0,1,0,0.3333333333
9,CAD_JPY,0.4615384615,3,0.1734434843,0.1739130435
10,AUD_USD,0.5,4,0.5166217382,0.2083333333
11,CAD_CHF,0.6666666667,0,0,0
12,EUR_GBP,0,0,0,0
13,GBP_JPY,1,3,0,0.6
14,CAD_CHF,0.480349345,9,0.757965869,0.1742738589
15,GBP_JPY,0.5443037975,16,1.498025117,0.9294605809
16,EUR_GBP,0,1,0,0
17,AUD_JPY,0.5508474576,28,0.5158335325,0.9875518672
18,CAD_JPY,0,2,0.7067844241,0
19,EUR_USD,1,2,0.497777586,0.6
20,GBP_AUD,0,1,0,0.4285714286
21,GBP_CAD,0.5379310345,17,0.6337322205,0.487012987
22,GBP_NZD,0,0,0,0
23,EUR_CAD,0,0,0,0
24,EUR_GBP,0,0,0,0
25,EUR_CAD,0.5517241379,13,0.6135837466,0.7394957983
26,USD_CHF,0.5,3,0.5197510124,0.6428571429
27,USD_CAD,0,0,0,0
28,AUD_CHF,1,1,0,0.125
29,GBP_CHF,0.5,1,0,0.5454545455
30,EUR_CHF,0,1,0,0
31,AUD_CAD,0.5299145299,33,0.4522599955,0.5062240664
32,AUD_CHF,0,0,0,0
33,EUR_CAD,0.5,22,0.343827154,0.3382352941
34,USD_JPY,0.3333333333,2,0,0.2222222222
35,CHF_JPY,0.3333333333,2,0,0.09523809524
36,USD_JPY,0,1,0,0.6944444444
37,NZD_JPY,0,0,0,0
38,CHF_JPY,0,0,0,0
39,EUR_GBP,0.5510204082,5,0.1881224754,0.1363636364
40,CHF_JPY,0.4829268293,18,0.550857502,0.8298755187
41,EUR_NZD,0,0,0,0
42,GBP_AUD,0,0,0,0
43,GBP_CHF,0.5443037975,43,0.3030826645,0.8506224066
44,GBP_NZD,0.5416666667,28,0.658809933,0.9917012448
45,GBP_AUD,0.4727272727,24,1.141494969,0.979253112
46,EUR_CHF,0.5,2,0,0.2222222222
47,AUD_USD,0.575,9,0.1959144933,0.3777777778
