fold,trade_id,entry_time,pair,p_admit,admitted,final_r_at_selected_sl,selected_sl_atr_mult,mode
0,412,2023-07-13 20:00:00,EUR_AUD,0.6264107360031272,0,2.8298116033333334,3.0,E
0,415,2023-07-21 12:00:00,GBP_AUD,0.6796586133827054,1,0.9055796953333333,3.0,E
0,417,2023-07-28 16:00:00,GBP_JPY,0.6008998353167151,0,0.4374507636666667,3.0,E
0,418,2023-07-28 20:00:00,AUD_JPY,0.516445370699207,0,0.8165294519999999,3.0,E
0,419,2023-07-28 20:00:00,NZD_JPY,0.6173719646366704,0,0.8442155446666666,3.0,E
0,432,2023-08-30 20:00:00,USD_CHF,0.4829832915303549,0,2.2246963386666665,3.0,E
0,446,2023-10-04 00:00:00,NZD_USD,0.35591175491175486,0,-1.0,3.0,E
0,453,2023-10-19 16:00:00,GBP_USD,0.22593706987456985,0,5.823562279333332,3.0,E
0,454,2023-10-20 20:00:00,NZD_CAD,0.3060744126043039,0,4.629940335333333,3.0,E
0,455,2023-10-23 16:00:00,AUD_USD,0.49205201048951047,0,5.805637202,3.0,E
0,458,2023-10-30 04:00:00,GBP_JPY,0.5708696638075519,0,-1.0,3.0,E
0,459,2023-10-31 04:00:00,USD_JPY,0.4833455882352941,0,-1.0,3.0,E
0,461,2023-11-02 00:00:00,EUR_USD,0.5628426462362441,0,5.019695574,3.0,E
0,468,2023-11-16 12:00:00,GBP_CHF,0.39540339487425824,0,-1.0,3.0,E
0,481,2023-12-13 16:00:00,NZD_CHF,0.2903085317460317,0,-1.0,3.0,E
1,485,2023-12-28 20:00:00,GBP_JPY,0.692699157364028,1,5.390269751999999,3.0,E
1,491,2024-01-18 00:00:00,EUR_USD,0.40676190476190477,0,-1.0,3.0,E
1,493,2024-01-23 04:00:00,NZD_JPY,0.5505997106765268,0,-1.0,3.0,E
1,498,2024-02-01 00:00:00,USD_JPY,0.4451977608161819,0,2.6488179066666664,3.0,E
1,500,2024-02-01 12:00:00,CHF_JPY,0.6792254817341024,1,-1.0,3.0,E
1,501,2024-02-01 20:00:00,CAD_JPY,0.517808143886414,0,2.213346464,3.0,E
1,502,2024-02-02 16:00:00,USD_CHF,0.5340079043763254,0,4.029402770666667,3.0,E
1,503,2024-02-06 20:00:00,AUD_CHF,0.48909541414208896,0,4.958669241999999,3.0,E
1,508,2024-02-19 20:00:00,EUR_AUD,0.7013938740842793,1,-1.0,3.0,E
1,513,2024-03-08 20:00:00,USD_CAD,0.4836181250103664,0,2.666639302,3.0,E
1,514,2024-03-11 00:00:00,AUD_JPY,0.5979420727299017,0,4.979585394666667,3.0,E
1,515,2024-03-13 12:00:00,GBP_JPY,0.7570526675841321,1,3.055319188666666,3.0,E
1,516,2024-03-13 16:00:00,EUR_JPY,0.7312722813037459,1,3.905545027333333,3.0,E
1,520,2024-03-28 16:00:00,AUD_USD,0.4333713753142066,0,-1.0,3.0,E
1,523,2024-04-01 04:00:00,EUR_GBP,0.47412708565236833,0,-1.0,3.0,E
2,524,2024-04-03 20:00:00,EUR_USD,0.6190224358974359,0,-1.0,2.0,E
2,529,2024-04-15 00:00:00,CAD_JPY,0.6199419879656383,0,5.084216106,2.0,E
2,533,2024-04-23 04:00:00,NZD_CHF,0.33921011567001313,0,1.08458062,2.0,E
2,534,2024-04-23 12:00:00,EUR_CAD,0.5877851744568036,0,2.172326219,2.0,E
2,535,2024-04-24 04:00:00,GBP_CHF,0.35794304115674186,0,-1.0,2.0,E
2,538,2024-05-06 08:00:00,USD_JPY,0.5248494291186416,0,4.03667037,2.0,E
2,545,2024-06-03 08:00:00,USD_CAD,0.38312814894522723,0,4.501796876,2.0,E
2,548,2024-06-05 08:00:00,AUD_JPY,0.5450874952782828,0,-1.0,2.0,E
2,551,2024-06-14 20:00:00,EUR_JPY,0.463735145971035,0,-1.0,2.0,E
2,557,2024-06-26 04:00:00,AUD_CAD,0.4080941014498881,0,-1.0,2.0,E
2,567,2024-08-26 08:00:00,CAD_JPY,0.34721239028788836,0,-1.0,2.0,E
2,569,2024-08-26 20:00:00,EUR_JPY,0.5256645210401983,0,-1.0,2.0,E
2,574,2024-09-03 08:00:00,GBP_NZD,0.8041644477652921,1,-1.0,2.0,E
2,575,2024-09-04 04:00:00,EUR_CAD,0.34070955038280987,0,-1.0,2.0,E
3,584,2024-09-10 08:00:00,EUR_USD,0.4071431759465494,0,-1.0,3.0,E
3,585,2024-09-13 20:00:00,NZD_CHF,0.3728956830705258,0,-1.0,3.0,E
3,586,2024-09-25 08:00:00,AUD_NZD,0.269860342031429,0,2.5711818306666663,3.0,E
3,587,2024-09-25 20:00:00,USD_CAD,0.4924542664782026,0,5.981933082666666,3.0,E
3,588,2024-10-02 12:00:00,EUR_CAD,0.42102034337810784,0,-1.0,3.0,E
3,594,2024-10-23 04:00:00,EUR_CHF,0.2846741500038046,0,-1.0,3.0,E
3,601,2024-11-01 12:00:00,CAD_CHF,0.6047026929645503,1,0.36669727713333333,3.0,E
3,609,2024-11-18 04:00:00,CHF_JPY,0.6577568555378047,1,-1.0,3.0,E
3,613,2024-11-22 16:00:00,EUR_NZD,0.7132149271632615,1,3.2968279713333333,3.0,E
3,615,2024-11-26 12:00:00,EUR_AUD,0.6399524498275394,1,2.7588447486666667,3.0,E
3,616,2024-11-27 04:00:00,AUD_CHF,0.37438864479264156,0,-1.0,3.0,E
3,617,2024-11-27 16:00:00,GBP_AUD,0.6381807368521926,1,0.9577411499999999,3.0,E
3,623,2024-12-10 12:00:00,USD_CHF,0.6850164299107443,1,3.1327015153333333,3.0,E
3,624,2024-12-10 20:00:00,AUD_NZD,0.44066514610934815,0,0.7254689133333333,3.0,E
4,628,2025-01-02 00:00:00,EUR_GBP,0.46830307217911704,0,0.20609184893333332,3.0,E
4,633,2025-01-06 20:00:00,USD_CAD,0.6478445035027954,0,-1.0,3.0,E
4,642,2025-01-20 12:00:00,EUR_JPY,0.7059020690927545,1,-1.0,3.0,E
4,648,2025-01-28 00:00:00,CAD_CHF,0.3321866810603652,0,-1.0,3.0,E
4,651,2025-02-03 12:00:00,NZD_CHF,0.30265733402206546,0,-1.0,3.0,E
4,652,2025-02-03 16:00:00,NZD_USD,0.2673438473178308,0,1.1141331713333331,3.0,E
4,653,2025-02-03 20:00:00,AUD_CHF,0.36672146125290467,0,-1.0,3.0,E
4,654,2025-02-03 20:00:00,AUD_USD,0.3127409081590918,0,0.6840398193333332,3.0,E
4,660,2025-02-14 12:00:00,NZD_CAD,0.37797467224388215,0,-1.0,3.0,E
4,664,2025-02-28 08:00:00,CHF_JPY,0.6602902770276415,1,3.2287571139999995,3.0,E
4,665,2025-02-28 08:00:00,GBP_JPY,0.43066959213708794,0,-1.0,3.0,E
4,666,2025-02-28 16:00:00,EUR_USD,0.5037425596917116,0,11.63960818,3.0,E
4,667,2025-03-03 12:00:00,EUR_JPY,0.5263292372335623,0,2.5680860353333332,3.0,E
4,670,2025-03-10 16:00:00,GBP_CHF,0.5617233374682157,0,-1.0,3.0,E
5,672,2025-03-21 00:00:00,AUD_CAD,0.4879847920892469,0,-1.0,3.0,E
