trade_id,pair,signal_bar_time,expected_d1_date_max,d1_date_used,d1_lag_ok,expected_h1_start_max,h1_start_used,h1_align_ok
1,CAD_JPY,2020-10-05 08:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 11:00:00,2020-10-05 11:00:00,True
2,CHF_JPY,2020-10-05 08:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 11:00:00,2020-10-05 11:00:00,True
3,EUR_NZD,2020-10-05 12:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 15:00:00,2020-10-05 15:00:00,True
4,GBP_USD,2020-10-05 12:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 15:00:00,2020-10-05 15:00:00,True
5,EUR_JPY,2020-10-05 16:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 19:00:00,2020-10-05 19:00:00,True
6,EUR_USD,2020-10-05 16:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 19:00:00,2020-10-05 19:00:00,True
7,GBP_JPY,2020-10-05 16:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 19:00:00,2020-10-05 19:00:00,True
8,USD_JPY,2020-10-05 16:00:00,2020-10-04 00:00:00,2020-10-02 00:00:00,True,2020-10-05 19:00:00,2020-10-05 19:00:00,True
9,EUR_AUD,2020-10-06 08:00:00,2020-10-05 00:00:00,2020-10-05 00:00:00,True,2020-10-06 11:00:00,2020-10-06 11:00:00,True
10,GBP_AUD,2020-10-06 08:00:00,2020-10-05 00:00:00,2020-10-05 00:00:00,True,2020-10-06 11:00:00,2020-10-06 11:00:00,True
11,EUR_GBP,2020-10-06 12:00:00,2020-10-05 00:00:00,2020-10-05 00:00:00,True,2020-10-06 15:00:00,2020-10-06 15:00:00,True
12,AUD_NZD,2020-10-07 16:00:00,2020-10-06 00:00:00,2020-10-06 00:00:00,True,2020-10-07 19:00:00,2020-10-07 19:00:00,True
13,CAD_CHF,2020-10-07 20:00:00,2020-10-06 00:00:00,2020-10-06 00:00:00,True,2020-10-07 23:00:00,2020-10-07 23:00:00,True
14,GBP_NZD,2020-10-07 20:00:00,2020-10-06 00:00:00,2020-10-06 00:00:00,True,2020-10-07 23:00:00,2020-10-07 23:00:00,True
15,AUD_CHF,2020-10-08 08:00:00,2020-10-07 00:00:00,2020-10-07 00:00:00,True,2020-10-08 11:00:00,2020-10-08 11:00:00,True
16,AUD_JPY,2020-10-08 08:00:00,2020-10-07 00:00:00,2020-10-07 00:00:00,True,2020-10-08 11:00:00,2020-10-08 11:00:00,True
17,AUD_USD,2020-10-08 08:00:00,2020-10-07 00:00:00,2020-10-07 00:00:00,True,2020-10-08 11:00:00,2020-10-08 11:00:00,True
18,GBP_CHF,2020-10-08 08:00:00,2020-10-07 00:00:00,2020-10-07 00:00:00,True,2020-10-08 11:00:00,2020-10-08 11:00:00,True
19,NZD_USD,2020-10-09 04:00:00,2020-10-08 00:00:00,2020-10-08 00:00:00,True,2020-10-09 07:00:00,2020-10-09 07:00:00,True
20,EUR_JPY,2020-10-09 08:00:00,2020-10-08 00:00:00,2020-10-08 00:00:00,True,2020-10-09 11:00:00,2020-10-09 11:00:00,True
