metric,value
unit_id,agg_c1_c3
n,889
sl_atr_mult,3
fwd_mfe_p5,0.4743203981
fwd_mfe_p10,0.6738838973
fwd_mfe_p25,1.274895611
fwd_mfe_p50,2.502110926
fwd_mfe_p75,4.105623813
fwd_mfe_p90,6.081855166
fwd_mfe_p95,7.540528496
fwd_mfe_p99,10.40672166
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,2.712152838
final_r_p90,4.890309699
final_r_p95,5.808808639
final_r_p99,7.887125461
fwd_mfe_mean,3.009761712
final_r_mean,0.9283580771
hartigan_dip_stat,0.005866265289
hartigan_dip_pvalue,0.9994002381
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.429696288
mass_final_r_le_0R_count,480
mass_final_r_le_0R_frac,0.5399325084
mass_final_r_0R_to_0.5R_count,26
mass_final_r_0R_to_0.5R_frac,0.02924634421
mass_final_r_0.5R_to_1R_count,39
mass_final_r_0.5R_to_1R_frac,0.04386951631
mass_final_r_1R_to_2R_count,72
mass_final_r_1R_to_2R_frac,0.08098987627
mass_final_r_2R_to_5R_count,191
mass_final_r_2R_to_5R_frac,0.214848144
mass_final_r_gt_5R_count,81
mass_final_r_gt_5R_frac,0.0911136108
