trade_id,cluster_id
1,0
2,0
3,0
4,3
5,1
6,0
7,1
8,0
9,0
10,0
11,1
12,2
13,2
14,3
15,2
16,1
17,2
18,3
19,0
20,2
21,0
22,0
23,1
24,1
25,2
26,3
27,0
28,0
29,1
30,1
31,0
32,2
33,0
34,0
35,1
36,2
37,2
38,1
39,2
40,2
41,2
42,0
43,2
44,0
45,2
46,1
47,0
48,2
49,0
50,2
51,1
52,0
53,3
54,1
55,0
56,2
57,0
58,2
59,3
60,0
61,2
62,2
63,2
64,0
65,1
66,3
67,2
68,0
69,3
70,3
71,0
72,1
73,0
74,1
75,2
76,2
77,0
78,2
79,2
80,0
81,0
82,3
83,0
84,0
85,0
86,1
87,3
88,2
89,2
90,3
91,0
92,0
93,0
94,3
95,0
96,0
97,0
98,3
99,2
100,1
101,0
102,3
103,3
104,1
105,3
106,0
107,2
108,3
109,3
110,1
111,0
112,2
113,0
114,1
115,0
116,2
117,1
118,0
119,0
120,2
121,1
122,1
123,0
124,1
125,2
126,3
127,2
128,1
129,0
130,0
131,3
132,3
133,1
134,0
135,1
136,0
137,2
138,3
139,1
140,0
141,3
142,1
143,2
144,1
145,3
146,2
147,0
148,2
149,3
150,0
151,1
152,0
153,0
154,2
155,2
156,0
157,0
158,0
159,2
160,3
161,0
162,2
163,2
164,3
165,3
166,1
167,2
168,3
169,1
170,1
171,2
172,2
173,3
174,0
175,0
176,0
177,2
178,1
179,2
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,1
189,2
190,2
191,2
192,1
193,3
194,2
195,1
196,3
197,3
198,3
199,3
200,0
201,1
202,2
203,3
204,0
205,2
206,0
207,3
208,0
209,0
210,1
211,0
212,1
213,1
214,2
215,0
216,0
217,2
218,2
219,2
220,2
221,1
222,0
223,3
224,3
225,3
226,1
227,0
228,1
229,3
230,2
231,3
232,0
233,1
234,1
235,1
236,0
237,2
238,2
239,2
240,0
241,0
242,1
243,3
244,2
245,0
246,1
247,2
248,3
249,0
250,2
251,0
252,1
253,0
254,0
255,2
256,1
257,0
258,3
259,0
260,0
261,2
262,2
263,2
264,0
265,0
266,2
267,1
268,1
269,0
270,1
271,2
272,1
273,1
274,0
275,1
276,0
277,1
278,2
