trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative,bars_held_feature,exit_reason
1,1,2,0.2756826755,0.2777777778,18,stop_loss
2,0.5,2,0,0.1538461538,26,stop_loss
3,0.5238095238,16,0.169933018,0.2479338843,121,time_exit
4,0.4869565217,13,0.6747398065,0.5123966942,121,time_exit
5,0.4909090909,12,0.3135175461,0.694214876,121,time_exit
6,0.4655172414,14,0.181768408,0.4756097561,82,stop_loss
7,0.5210084034,28,0.17500146,0.9752066116,121,time_exit
8,0.6,4,0.2804589425,0.4444444444,18,stop_loss
9,0.5862068966,9,0.2630631754,0.6052631579,38,stop_loss
10,1,3,0.2172815919,0.4444444444,9,stop_loss
11,0.4957983193,19,0.684694768,0.7768595041,121,time_exit
12,0,0,0,0,4,stop_loss
13,0,0,0,0,10,stop_loss
14,0,4,0.3076081931,0.8,15,stop_loss
15,0,0,0,0,8,stop_loss
16,0.5192307692,14,0.4398010018,0.9256198347,121,time_exit
17,0,0,0,0,2,stop_loss
18,0.5238095238,4,0.6347401976,0.3103448276,58,stop_loss
19,0.5714285714,4,0.08738194914,0.3888888889,18,stop_loss
20,0,0,0,0,4,stop_loss
21,0.5384615385,4,0.2094917761,0.4444444444,18,stop_loss
22,0.6666666667,2,0,0.2857142857,7,stop_loss
23,0.4907407407,20,0.400339276,0.6280991736,121,time_exit
24,0.5050505051,13,0.262137313,0.6446280992,121,time_exit
25,0,0,0,0,13,stop_loss
26,0.5376344086,13,0.726945636,0.3865546218,119,stop_loss
27,0.5510204082,3,0.4402224289,0.3770491803,61,stop_loss
28,0.5,1,0,0.1428571429,21,stop_loss
29,0.52,26,0.139314708,0.9504132231,121,time_exit
30,0.5775862069,28,0.1788250177,0.9834710744,121,time_exit
31,0.3333333333,2,0.3840002793,0.5714285714,7,stop_loss
32,0,0,0,0,1,stop_loss
33,0.5,2,0.1945753228,0.2777777778,18,stop_loss
34,0.5,10,0.2423881561,0.6195652174,92,stop_loss
35,0.5677966102,25,0.236472866,0.9669421488,121,time_exit
36,0,1,0,0,4,stop_loss
37,0,0,0,0,6,stop_loss
38,0.5128205128,20,0.3894876275,0.6115702479,121,time_exit
39,0.2857142857,2,0,0.1304347826,23,stop_loss
40,0,1,0,0.07692307692,13,stop_loss
41,0,0,0,0,1,stop_loss
42,0.5,1,0,0.2857142857,7,stop_loss
43,0,2,0,0.2142857143,14,stop_loss
44,0.6,3,0,0.09375,32,stop_loss
45,0,0,0,0,11,stop_loss
46,0.5378151261,18,0.153810758,0.4462809917,121,time_exit
47,0.4782608696,5,0.111693175,0.6785714286,28,stop_loss
48,0,0,0,0,4,stop_loss
49,0.5,1,0,0.1333333333,15,stop_loss
50,0,1,0,0,5,stop_loss
51,0.5,14,0.282412424,0.640625,64,stop_loss
52,0.6,6,0,0.2692307692,26,stop_loss
53,0.7142857143,4,0.4968996558,0.625,16,stop_loss
54,0.5042735043,21,0.612678671,0.867768595,121,time_exit
55,0.5081967213,8,0.228846376,0.5074626866,67,stop_loss
56,0,0,0,0,16,stop_loss
57,1,3,0,0.3,10,stop_loss
58,0,3,0,0.2352941176,17,stop_loss
59,0.435483871,8,0.629667158,0.4383561644,73,stop_loss
60,0.4545454545,4,0.2197502401,0.7647058824,51,stop_loss
61,0,0,0,0,6,stop_loss
62,0,0,0,0,1,stop_loss
63,0,0,0,0,9,stop_loss
64,0.4285714286,8,0.04682573561,0.8095238095,21,stop_loss
65,0.572815534,25,0.28257484,0.9834710744,121,time_exit
66,0.375,2,0.5392579198,0.8888888889,18,stop_loss
67,0,0,0,0,17,stop_loss
68,1,3,0.1649795711,0.5555555556,9,stop_loss
69,0.4893617021,9,0.7454650914,0.1900826446,121,time_exit
70,1,3,0.9547968069,0.8461538462,13,stop_loss
71,0.4782608696,9,0.0504242314,0.5846153846,65,stop_loss
72,0.575,22,0.362249372,0.5950413223,121,time_exit
73,1,2,0,0.4,5,stop_loss
74,0.5555555556,17,0.531301218,0.958677686,121,time_exit
75,0,0,0,0,8,stop_loss
76,0,0,0,0,3,stop_loss
77,0.4285714286,4,0.3796322693,0.2692307692,52,stop_loss
78,0,7,0.0913547725,0.7222222222,18,stop_loss
79,0,2,0.1294305446,0.1764705882,17,stop_loss
80,1,2,0,0.2857142857,7,stop_loss
81,0.4375,1,0,0.04761904762,21,stop_loss
82,0.3636363636,4,0.9559580293,0.5,24,stop_loss
83,0.625,3,0.146568921,0.5333333333,15,stop_loss
84,0.4675324675,7,0.4226163499,0.3975903614,83,stop_loss
85,0.5555555556,6,0.0737866492,0.347826087,23,stop_loss
86,0.5483870968,11,0.3221830194,0.6875,96,stop_loss
87,0.4791666667,5,0.7839088486,0.328125,64,stop_loss
88,0.3333333333,0,0,0,10,stop_loss
89,0.3333333333,0,0,0,7,stop_loss
90,0.5333333333,11,0.9117575535,0.4380165289,121,time_exit
91,0.5714285714,7,0.2101147055,0.3333333333,27,stop_loss
92,0.5135135135,9,0.36648055,0.425,40,stop_loss
93,1,4,0.2013298408,0.5555555556,9,stop_loss
94,0.4848484848,8,0.7120118868,0.6962025316,79,stop_loss
95,1,3,0,0.4285714286,7,stop_loss
96,0.4285714286,8,0.280567782,0.4390243902,41,stop_loss
97,0.462962963,4,0.4663964477,0.2891566265,83,stop_loss
98,0.4736842105,7,0.4839221674,0.5283018868,53,stop_loss
99,0,0,0,0,4,stop_loss
100,0.5486725664,26,0.244651781,0.9504132231,121,time_exit
101,0.4727272727,8,0.2481024591,0.7794117647,68,stop_loss
102,0.4772727273,11,0.6785824869,0.5820895522,67,stop_loss
103,0.5,3,0.4893142138,0.35,20,stop_loss
104,0.5982142857,26,0.2634254561,0.867768595,121,time_exit
105,0.4666666667,7,0.474193545,0.2765957447,47,stop_loss
106,0.5,1,0,0.375,8,stop_loss
107,0,0,0,0,3,stop_loss
108,0.5384615385,5,0.4901407387,0.5,16,stop_loss
109,0.5377358491,15,0.524175978,0.3719008264,121,time_exit
110,0.5051546392,20,0.2587426668,0.9256198347,121,time_exit
111,0.4838709677,9,0.2282663421,0.4591836735,98,stop_loss
112,0.3333333333,0,0,0,9,stop_loss
113,1,2,0,0.7272727273,11,stop_loss
114,0.5663716814,16,0.3977408668,0.8842975207,121,time_exit
115,0.4594594595,7,0.195106777,0.5094339623,53,stop_loss
116,0,0,0,0,4,stop_loss
117,0.5384615385,17,0.329368231,0.2314049587,121,time_exit
118,0.6666666667,2,0,0.4545454545,22,stop_loss
119,0.6666666667,3,0.2126840989,0.2962962963,27,stop_loss
120,0,0,0,0,4,stop_loss
121,0.4807692308,16,0.110134567,0.6851851852,108,stop_loss
122,0.5378151261,22,0.476050452,0.9008264463,121,time_exit
123,0.5,3,0,0.3,10,stop_loss
124,0.575,33,0.1739853795,0.7190082645,121,time_exit
125,0,0,0,0,2,stop_loss
126,0.4347826087,4,1.342486353,0.4464285714,56,stop_loss
127,0,1,0,0.1428571429,14,stop_loss
128,0.5166666667,20,0.5061468141,0.7190082645,121,time_exit
129,0.5555555556,4,0,0.1621621622,37,stop_loss
130,0.45,6,0.3547037662,0.22,50,stop_loss
131,0.5833333333,9,0.4212818083,0.7931034483,29,stop_loss
132,0.6,2,0.9403552946,0.5,32,stop_loss
133,0.5138888889,16,0.4385268187,0.525,80,stop_loss
134,0.45,15,0.204434805,0.3553719008,121,time_exit
135,0.4956521739,17,0.1473785897,0.3801652893,121,time_exit
136,0.5630252101,14,0.35520793,0.2809917355,121,time_exit
137,0,0,0,0,5,stop_loss
138,0.4714285714,9,0.4872289499,0.3417721519,79,stop_loss
139,0.5263157895,14,0.2985203478,0.7372881356,118,stop_loss
140,0.4285714286,6,0,0.2692307692,26,stop_loss
141,0.5169491525,11,0.511617435,0.8181818182,121,time_exit
142,0.5546218487,20,0.2944073955,0.4380165289,121,time_exit
143,0,1,0,0.05,20,stop_loss
144,0.4956521739,20,0.3438691,0.9834710744,121,time_exit
145,0.3333333333,3,0.4456385013,0.4444444444,18,stop_loss
146,0,0,0,0,2,stop_loss
147,1,1,0,0.4166666667,12,stop_loss
148,0,1,0,0.125,8,stop_loss
149,0.6,8,1.064380373,0.9019607843,51,stop_loss
150,0.5454545455,6,0.3117739951,0.2608695652,46,stop_loss
151,0.5333333333,13,0.2918817236,0.4876033058,121,time_exit
152,0.5,1,0,0.06666666667,15,stop_loss
153,0.4230769231,3,0.2463695847,0.25,64,stop_loss
154,0,3,0.2307964598,0,13,stop_loss
155,0,0,0,0,1,stop_loss
156,0.5,1,0,0.75,8,stop_loss
157,0.4678899083,8,0.221309877,0.1157024793,121,time_exit
158,0.8,4,0.1946330743,0.7,10,stop_loss
159,0,1,0,0,5,stop_loss
160,0.3333333333,3,0.471920855,0.4444444444,18,stop_loss
161,0.53125,5,0.0871417802,0.2,35,stop_loss
162,0,0,0,0,5,stop_loss
163,0,2,0.1659433319,0.3846153846,13,stop_loss
164,0.5368421053,14,0.7979206018,0.6776859504,121,time_exit
165,0.5555555556,5,1.294990742,0.8974358974,78,stop_loss
166,0.5700934579,15,0.3603998257,0.7520661157,121,time_exit
167,0,1,0,0.25,4,stop_loss
168,0.5357142857,12,0.5364438081,0.2571428571,105,stop_loss
169,0.5583333333,24,0.4907393969,0.8842975207,121,time_exit
170,0.5225225225,19,0.4517527967,0.5084745763,118,stop_loss
171,0,0,0,0,2,stop_loss
172,0,0,0,0,1,stop_loss
173,0.5,9,0.6127644884,0.5789473684,57,stop_loss
174,0.5,2,0,0.2222222222,9,stop_loss
175,0.5833333333,6,0.1109975246,0.8,15,stop_loss
176,0.5151515152,8,0.1107632342,0.35,40,stop_loss
177,0,0,0,0,2,stop_loss
178,0.4953271028,24,0.5658633343,0.9338842975,121,time_exit
179,0,0,0,0,5,stop_loss
180,0.5213675214,30,0.502305528,0.9338842975,121,time_exit
181,0.5769230769,7,0.1479359705,0.1315789474,76,stop_loss
182,0.462962963,9,0.2349531504,0.3225806452,62,stop_loss
183,0.4444444444,1,0,0.08695652174,23,stop_loss
184,0.4074074074,3,0.2848189469,0.2,55,stop_loss
185,0.5,3,0.2639768503,0.4583333333,24,stop_loss
186,0.5092592593,16,0.291379596,0.3140495868,121,time_exit
187,0.5714285714,9,0.4264555701,0.1454545455,110,stop_loss
188,0.5833333333,12,0.2211762607,0.724137931,29,stop_loss
189,0,1,0,0,17,stop_loss
190,0,0,0,0,1,stop_loss
191,0,0,0,0,1,stop_loss
192,0.5714285714,25,0.1283014726,0.7768595041,121,time_exit
193,0.5238095238,9,0.889432719,0.5764705882,85,stop_loss
194,0,1,0,0,6,stop_loss
195,0.5338983051,30,0.38235364,0.6776859504,121,time_exit
196,0.5060240964,7,0.3636065487,0.6140350877,114,stop_loss
197,0.4230769231,5,0.5268642188,0.141025641,78,stop_loss
198,0.5277777778,8,2.268712542,0.9173553719,121,time_exit
199,0.5660377358,10,0.3726730111,0.6034482759,58,stop_loss
200,0.5714285714,2,0,0.1304347826,23,stop_loss
201,0.5877192982,28,0.401039933,0.9338842975,121,time_exit
202,0,0,0,0,5,stop_loss
203,0.45,3,0.7201907363,0.2631578947,38,stop_loss
204,1,1,0,0.4,5,stop_loss
205,0,0,0,0,13,stop_loss
206,0.4,1,0,0.1724137931,29,stop_loss
207,0.5454545455,8,0.5276926033,0.5135135135,37,stop_loss
208,0.5555555556,2,0.0098015469,0.1538461538,26,stop_loss
209,0.5,2,0,0.1428571429,14,stop_loss
