trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
4,2,0.5772773898,5.896476196,11.79295239,1,0,0.5211267606,0,240,218
14,2,-1,0.2271568196,0.4543136392,0,0,0,1,14,12
18,2,-1,1.065376657,2.130753314,1,0,0.6470588235,1,57,18
26,2,-1,2.623723956,5.247447912,1,0,0.6590909091,1,118,46
53,2,-1,0.3553585418,0.7107170836,0,0,0.7142857143,1,15,10
59,2,-1,2.455701915,4.91140383,1,0,0.5555555556,1,72,32
66,2,-1,0.4110736602,0.8221473204,0,0,0.375,1,17,16
69,2,-1,3.276520554,6.553041108,1,0,0.7368421053,1,126,23
70,2,-1,0.6264595083,1.252919017,0,0,1,1,12,11
82,2,-1,0.3605624306,0.7211248612,0,0,0.5,1,23,12
87,2,-1,1.297925204,2.595850408,1,0,0.5,1,63,21
90,2,3.108424401,7.730577558,15.46115512,1,0,0.5263157895,0,240,190
94,2,-1,3.198298199,6.396596398,1,0,0.5192307692,1,78,55
98,2,-1,1.608276645,3.21655329,1,0,0.5652173913,1,52,28
102,2,-1,2.380922367,4.761844734,1,0,0.64,1,66,39
103,2,-1,0.8747739822,1.749547964,0,0,1,1,19,7
105,2,-1,2.433255859,4.866511718,1,0,0.6153846154,1,46,13
108,2,-1,1.468253452,2.936506904,1,0,0.75,1,15,8
109,2,4.624979379,5.980847908,11.96169582,1,0,0.5342465753,0,240,233
126,2,-1,1.548139395,3.09627879,1,0,0.5294117647,1,55,25
131,2,-1,1.869747791,3.739495582,1,0,0.6086956522,1,28,23
132,2,-1,0.3981342981,0.7962685962,0,0,0.7142857143,1,31,16
138,2,-1,3.362318697,6.724637394,1,0,0.6153846154,1,78,27
141,2,-1,2.763267086,5.526534172,1,0,0.5463917526,1,157,99
145,2,-1,0.5037065485,1.007413097,0,0,0.5,1,17,8
149,2,-1,1.587151264,3.174302528,1,0,0.6,1,50,46
160,2,-1,0.4557098333,0.9114196666,0,0,1,1,17,8
164,2,-1,2.412047486,4.824094972,1,0,0.5789473684,1,146,82
165,2,-1,0.8239292949,1.64785859,0,0,0.59375,1,77,70
168,2,-1,3.69611627,7.39223254,1,0,0.6296296296,1,104,27
173,2,-1,1.07892672,2.15785344,1,0,0.65,1,56,33
193,2,-1,2.477495759,4.954991518,1,0,0.5476190476,1,84,49
196,2,-1,1.067755052,2.135510104,1,0,0.5090909091,1,113,70
197,2,-1,0.345458874,0.690917748,0,0,0.5,1,77,11
198,2,-1,4.984662323,9.969324646,1,0,0.550295858,1,212,181
199,2,-1,2.545546161,5.091092322,1,0,0.59375,1,57,35
203,2,-1,1.281108521,2.562217042,1,0,0.6,1,37,10
207,2,-1,2.308655139,4.617310278,1,0,0.7058823529,1,36,19
223,2,-1,2.887238465,5.77447693,1,0,0.5283018868,1,68,53
224,2,1.769126746,3.722342519,7.444685038,1,0,0.4973544974,0,240,218
225,2,-1,2.849726508,5.699453016,1,0,0.5,1,119,80
229,2,-1,1.362991641,2.725983282,1,0,0.6333333333,1,54,38
231,2,2.174224401,2.68373487,5.36746974,1,0,0.503030303,0,240,171
243,2,-1,0.8108131681,1.621626336,0,0,0.6,1,83,30
248,2,-1,1.295585863,2.591171726,1,0,0.5,1,21,14
258,2,-1,2.696134224,5.392268448,1,0,0.5212765957,1,162,94
301,2,-1,3.793415557,7.586831114,1,0,0.4782608696,1,128,93
303,2,-1,0.6678359138,1.335671828,0,0,0.5333333333,1,54,16
333,2,3.299221281,5.403120854,10.80624171,1,0,0.5191489362,0,240,235
347,2,-1,0.05790595397,0.1158119079,0,0,0,1,15,7
348,2,-1,-0.05205756278,-0.1041151256,0,0,0,1,20,12
357,2,2.530566585,3.937438956,7.874877912,1,0,0.5384615385,0,240,229
371,2,5.914412262,7.42330043,14.84660086,1,0,0.5714285714,0,240,203
374,2,-1,2.581272024,5.162544048,1,0,0.5882352941,1,81,54
375,2,0.1099335421,4.719933552,9.439867104,1,0,0.5664335664,0,240,143
383,2,-1,0.9948479227,1.989695845,0,0,0.64,1,54,44
388,2,-1,0.2243754072,0.4487508144,0,0,1,1,12,5
399,2,-1,0.9249004951,1.84980099,0,0,0.7777777778,1,36,21
409,2,-1,2.419561989,4.839123978,1,0,0.5294117647,1,44,32
410,2,-1,0.920624157,1.841248314,0,0,0.65625,1,69,52
416,2,-1,2.396465272,4.792930544,1,0,0.59375,1,81,33
419,2,-1,0.4694563643,0.9389127286,0,0,0.5,1,15,8
427,2,2.97144685,3.732347147,7.464694294,1,0,0.5393258427,0,240,203
433,2,-1,0.6253389092,1.250677818,0,0,0.5714285714,1,26,16
438,2,-1,0.8502368243,1.700473649,0,0,0.5384615385,1,19,15
454,2,-1,2.214033696,4.428067392,1,0,0.4137931034,1,44,33
464,2,-1,0.5949259167,1.189851833,0,0,0.6,1,19,16
466,2,-1,3.103641516,6.207283032,1,0,0.5526315789,1,64,41
474,2,-1,0.5693733558,1.138746712,0,0,0.75,1,16,9
487,2,-1,1.310274585,2.62054917,1,0,0.5925925926,1,44,31
496,2,-1,2.979660023,5.959320046,1,0,0.5428571429,1,99,38
499,2,-1,0.5489331957,1.097866391,0,0,0.6315789474,1,48,41
505,2,-1,4.924073657,9.848147314,1,0,0.5360824742,1,169,100
510,2,-1,1.297775278,2.595550556,1,0,0.6,1,25,15
521,2,-1,1.059540733,2.119081466,1,0,0.5555555556,1,34,29
533,2,-1,1.012582544,2.025165088,1,0,0.75,1,25,8
535,2,-1,0.2727675804,0.5455351608,0,0,1,1,43,35
548,2,-1,1.854602428,3.709204856,1,0,0.7142857143,1,25,9
550,2,-1,0.6540725787,1.308145157,0,0,0.4545454545,1,17,13
551,2,-1,0.6008498573,1.201699715,0,0,0.5555555556,1,23,20
556,2,-1,0.7958294383,1.591658877,0,0,0.5,1,25,22
