trade_id,pair,final_r,mfe_r,mae_r,bars_held,exit_reason,time_to_peak_mfe
1,AUD_CAD,-1.005946075,0.6183917952,-1.014796792,10,stoploss,2
3,AUD_JPY,-1.008238295,1.239863472,-1.099812449,13,stoploss,2
5,AUD_USD,-1.005293361,0.5910919519,-1.240410872,9,stoploss,2
10,NZD_CAD,-1.034794093,0.3259657175,-1.073123092,10,stoploss,0
12,NZD_JPY,-1.001935733,0.8846302003,-1.310491566,13,stoploss,2
13,NZD_USD,-1.003537549,0.392667909,-1.011738937,8,stoploss,0
14,USD_CHF,1.370379616,3.233122399,-0.9416679599,120,time_exit,16
15,NZD_USD,-1.003857573,0.1890210652,-1.153414255,4,stoploss,0
17,AUD_CAD,-1.006384534,0.1489724536,-1.332239371,4,stoploss,0
18,NZD_CAD,-1.03565723,0.01677987289,-1.443069068,4,stoploss,0
22,NZD_USD,-1.00363408,0.1962402963,-1.003005959,3,stoploss,0
23,AUD_CAD,-1.003601022,0.01800511075,-1.087508689,1,stoploss,0
24,NZD_CAD,-1.033677724,0,-1.160010481,3,stoploss,0
25,AUD_CAD,-1.003278408,0.08032099055,-1.188422819,13,stoploss,0
26,NZD_USD,-1.003050274,0.8967804765,-1.027942247,72,stoploss,8
30,AUD_CHF,-1.024228004,0.8171444977,-1.279679119,18,stoploss,1
31,AUD_JPY,-1.007402822,0.8550258859,-1.188152854,48,stoploss,3
32,AUD_USD,-1.004823084,0.7443626414,-1.001593792,47,stoploss,3
33,NZD_CHF,-1.012150191,0.1134017868,-1.210969081,11,stoploss,0
35,AUD_CHF,-1.029242937,0.7481318063,-1.376854953,30,stoploss,2
36,EUR_CHF,-1.002758522,0.2896447691,-1.955791822,2,stoploss,0
37,EUR_CHF,-1.014119716,0.002353286027,-1.070745142,7,stoploss,0
46,EUR_USD,-1.001533043,0.09044955671,-1.135985111,5,stoploss,0
47,EUR_USD,-1.001520696,0.5733024311,-1.406643896,23,stoploss,1
52,AUD_CAD,-1.005292831,0.02117132466,-1.220879722,7,stoploss,0
53,CHF_JPY,-1.001647083,0.003294166467,-1.040956603,9,stoploss,0
54,NZD_CAD,-1.023728562,0.04894015952,-1.045539772,9,stoploss,0
55,NZD_USD,-1.003164045,0.06960898051,-1.085267287,9,stoploss,0
56,AUD_CAD,-1.007300093,0.9964627368,-1.05851353,14,stoploss,5
58,NZD_CAD,-1.031249503,0.2904365599,-1.345566847,5,stoploss,0
59,NZD_USD,-1.003458682,0.4219591549,-1.047980524,5,stoploss,0
61,NZD_USD,-1.0032035,0.538187967,-1.037933936,25,stoploss,1
63,CHF_JPY,-1.00349659,1.218561782,-1.043732258,16,stoploss,3
70,EUR_CAD,-1.00232841,0.009313641091,-1.122293751,39,stoploss,1
71,EUR_CAD,-1.00362192,0.1448767997,-1.177123997,4,stoploss,0
72,EUR_CAD,-1.003231307,0.4200698566,-1.486401031,3,stoploss,0
73,EUR_CAD,-1.005794175,0.7966990938,-1.013980665,27,stoploss,0
76,EUR_CAD,-1.003956809,1.777926007,-1.38752089,59,stoploss,11
80,EUR_CAD,-1.003381695,0.3077342608,-1.227555348,5,stoploss,0
84,USD_JPY,-1.001877932,0.471360834,-1.181218982,33,stoploss,2
87,USD_JPY,-1.002239761,0.978775399,-1.108681516,41,stoploss,10
94,NZD_CAD,-1.05165874,0,-1.067613969,7,stoploss,0
97,NZD_CAD,-1.069096861,2.047241294,-1.079885234,41,stoploss,12
98,CHF_JPY,-1.003277076,1.767982628,-1.191217211,99,stoploss,12
100,GBP_JPY,-1.001254136,0.09280606208,-1.181396088,11,stoploss,0
101,CHF_JPY,-1.004278585,1.078203348,-1.001188823,12,stoploss,4
102,EUR_JPY,-1.004224031,0.8279099999,-1.005319286,12,stoploss,4
103,GBP_JPY,-1.001311883,0.163985415,-1.454878602,5,stoploss,0
104,CHF_JPY,-1.003576932,0.5544244395,-1.201849108,18,stoploss,0
112,CHF_JPY,-1.055257807,1.412757941,-1.02595329,23,stoploss,11
113,CAD_JPY,-1.001362616,1.004248121,-1.175937759,14,stoploss,2
114,EUR_JPY,-1.00290832,0.3984398521,-1.099344993,10,stoploss,2
115,CAD_JPY,-1.001483335,0.1171834558,-1.167384553,1,stoploss,0
118,NZD_JPY,-1.003115211,0.7819179878,-1.090323887,10,stoploss,0
