trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,sweep_magnitude_atr,reclaim_strength_ratio,time_to_peak_mfe,calendar_year
1,AUD_CHF,2020-10-07 00:00:00,2020-10-07 04:00:00,0.65236,0.6478916038,2020-10-15 08:00:00,0.6478266038,stoploss,-1.014546606,38,4.274464269,-3.419571415,1.4,1.3,0.65139,0.3446426688,1.168831169,15,2020
2,GBP_CAD,2020-10-07 16:00:00,2020-10-07 20:00:00,1.714725,1.70232797,2020-10-09 12:00:00,1.70232297,stoploss,-1.000403322,11,2.821240295,-1.954903747,0.7,0.1,1.70942,0.57110454,1.483050847,3,2020
3,GBP_CHF,2020-10-07 16:00:00,2020-10-07 20:00:00,1.18384,1.174667536,2020-10-20 12:00:00,1.174662536,stoploss,-1.00054511,53,3.980391938,-1.275556989,0.4,0.1,1.17827,0.2899984266,4.172932331,29,2020
4,NZD_CAD,2020-10-09 00:00:00,2020-10-09 04:00:00,0.86982,0.8649826949,2020-10-20 12:00:00,0.8649176949,stoploss,-1.013437234,45,9.606588654,-1.515306538,1.4,1.3,0.8676,0.3927806852,2.263157895,21,2020
5,EUR_GBP,2020-10-12 08:00:00,2020-10-12 12:00:00,0.907495,0.9025778505,2020-10-13 12:00:00,0.9025728505,stoploss,-1.001016849,7,1.487650516,-4.351098126,0.1,0.1,0.90625,0.5735030014,0.8723404255,0,2020
6,AUD_JPY,2020-10-13 04:00:00,2020-10-13 08:00:00,75.7315,75.26481238,2020-10-14 16:00:00,75.26031238,stoploss,-1.009642424,9,3.922323851,-5.565821472,0.1,0.9,75.529,0.295701006,2.913043478,1,2020
7,EUR_CAD,2020-10-13 12:00:00,2020-10-13 16:00:00,1.547275,1.541806566,2020-10-13 16:00:00,1.541801566,stoploss,-1.000914339,1,4.358651783,-2.919482933,0.1,0.1,1.5452,0.2779589138,2.763157895,0,2020
8,EUR_NZD,2020-10-13 12:00:00,2020-10-13 16:00:00,1.773125,1.763860929,2020-10-14 00:00:00,1.763825929,stoploss,-1.003778036,3,3.119038976,-8.465500319,1.5,0.7,1.76906,0.3346260885,2.574193548,0,2020
9,CAD_JPY,2020-10-14 04:00:00,2020-10-14 08:00:00,80.252,79.92391747,2020-10-14 16:00:00,79.92341747,stoploss,-1.001524007,3,3.998993775,-7.129303689,0.6,0.1,80.121,0.2865132735,2.723404255,1,2020
10,CHF_JPY,2020-10-14 04:00:00,2020-10-14 08:00:00,115.24,114.754244,2020-10-28 04:00:00,114.749244,stoploss,-1.010293234,60,4.514612388,-3.15796416,0.2,1,115.167,0.5311308692,0.5581395349,26,2020
11,EUR_USD,2020-10-14 12:00:00,2020-10-14 16:00:00,1.176145,1.171429831,2020-10-15 08:00:00,1.171394831,stoploss,-1.007422852,5,8.819408435,-3.383760048,0.7,0.7,1.17284,0.3775050382,3.662921348,0,2020
12,EUR_CHF,2020-10-15 16:00:00,2020-10-15 20:00:00,1.069785,1.067042229,2020-11-02 00:00:00,1.067032229,stoploss,-1.003645948,68,6.34212611,-1.398220962,0.1,0.2,1.06932,0.3573028794,0.9387755102,27,2020
13,NZD_USD,2020-10-15 16:00:00,2020-10-15 20:00:00,0.659155,0.6547483953,2020-12-10 20:00:00,0.70824,time_exit,11.1389614,240,11.63140403,-0.8816311509,0.1,0.4,0.65823,0.2859344273,1.46031746,209,2020
14,USD_CAD,2020-10-20 20:00:00,2020-10-21 00:00:00,1.312705,1.306854936,2020-11-05 12:00:00,1.306839936,stoploss,-1.002564074,70,4.487985003,-7.503336573,0.1,0.3,1.31129,0.3042701697,1.606741573,39,2020
15,NZD_CAD,2020-10-21 00:00:00,2020-10-21 04:00:00,0.864615,0.860540878,2020-12-16 04:00:00,0.900375,time_exit,8.777351312,240,12.68371446,-0.1116805047,2.3,0.7,0.86324,0.3681774879,1.653333333,189,2020
16,CAD_CHF,2020-10-22 00:00:00,2020-10-22 04:00:00,0.688715,0.6852746286,2020-10-28 16:00:00,0.6852096286,stoploss,-1.018893309,28,4.727687307,-2.033210742,1.5,1.3,0.68787,0.302292948,1.461538462,5,2020
17,EUR_NZD,2020-10-22 20:00:00,2020-10-23 00:00:00,1.769925,1.75978662,2020-10-27 16:00:00,1.75974662,stoploss,-1.003945404,17,0.7057340567,-7.419824516,1.3,0.8,1.76889,0.2742055454,0.7553956835,4,2020
18,GBP_AUD,2020-10-23 12:00:00,2020-10-23 16:00:00,1.83268,1.820530738,2020-11-03 12:00:00,1.820485738,stoploss,-1.003703929,42,1.358107235,-7.416911695,1.6,0.9,1.82989,0.3983781223,1.119834711,23,2020
19,GBP_NZD,2020-10-26 08:00:00,2020-10-26 12:00:00,1.94879,1.936963364,2020-11-04 20:00:00,1.936813364,stoploss,-1.012683235,45,1.091603717,-8.177304063,3,3,1.94696,0.2874866489,0.9941176471,25,2020
20,EUR_GBP,2020-10-28 08:00:00,2020-10-28 12:00:00,0.905625,0.9008024631,2020-10-29 08:00:00,0.9007974631,stoploss,-1.001036799,6,3.596654707,-4.048698943,0.5,0.1,0.90208,0.2571260788,5.677419355,0,2020
21,EUR_NZD,2020-10-28 08:00:00,2020-10-28 12:00:00,1.760065,1.749905878,2020-11-03 08:00:00,1.749895878,stoploss,-1.000984337,24,0.9986099172,-6.434118999,0.7,0.2,1.75425,0.4055468565,2.810679612,2,2020
22,CHF_JPY,2020-10-28 12:00:00,2020-10-28 16:00:00,114.499,113.9248023,2020-10-30 04:00:00,113.9238023,stoploss,-1.001741561,10,5.677487376,-1.381057512,0.4,0.2,114.29,0.348312109,2.07,3,2020
23,USD_JPY,2020-10-28 12:00:00,2020-10-28 16:00:00,104.3375,103.963374,2020-11-05 12:00:00,103.962874,stoploss,-1.001336448,36,3.577671414,-3.909110529,0.1,0.1,104.16,0.2512522323,3.765957447,27,2020
24,NZD_JPY,2020-10-28 16:00:00,2020-10-28 20:00:00,69.39,68.91625875,2020-10-30 04:00:00,68.91575875,stoploss,-1.001055428,9,9.809152221,-1.087091326,0.4,0.1,69.284,0.5868182306,0.8848920863,1,2020
