metric,value
unit_id,c2
n,353
sl_atr_mult,2
fwd_mfe_p5,0.01226225225
fwd_mfe_p10,0.0322025216
fwd_mfe_p25,0.09442590263
fwd_mfe_p50,0.2027036099
fwd_mfe_p75,0.3602525514
fwd_mfe_p90,0.5980456056
fwd_mfe_p95,0.8549627628
fwd_mfe_p99,1.204364334
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,-1
final_r_p95,-1
final_r_p99,-1
fwd_mfe_mean,0.2745247417
final_r_mean,-1
hartigan_dip_stat,0.01053184223
hartigan_dip_pvalue,0.9952195223
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.03399433428
mass_final_r_le_0R_count,353
mass_final_r_le_0R_frac,1
mass_final_r_0R_to_0.5R_count,0
mass_final_r_0R_to_0.5R_frac,0
mass_final_r_0.5R_to_1R_count,0
mass_final_r_0.5R_to_1R_frac,0
mass_final_r_1R_to_2R_count,0
mass_final_r_1R_to_2R_frac,0
mass_final_r_2R_to_5R_count,0
mass_final_r_2R_to_5R_frac,0
mass_final_r_gt_5R_count,0
mass_final_r_gt_5R_frac,0
