feature,mean_overlap_coef,min_overlap_coef,max_overlap_coef,mean_ks_stat,verdict
ret_5bar_atr,0.7812692397557353,0.7665441902730038,0.79568947478552,0.0995122405668545,weak
rsi_14,0.7876398042790567,0.7542570423926357,0.8137685708307177,0.15683300214159113,weak
pos_in_20bar_range,0.7932872429070192,0.7874204391046271,0.8026944806605825,0.12889779537613813,weak
trigger_close_pos,0.8134419118554618,0.7987436292521038,0.8265745971960661,0.07136633438333122,weak
upper_wick_ratio,0.814995913409463,0.8034056339141084,0.8265745971960661,0.07136633438333122,weak
hl_range_atr,0.8181082964736927,0.7921940928270043,0.8526727509778358,0.13869742262790966,weak
pullback_depth_atr,0.8273727500622065,0.8100193091611243,0.844277045406989,0.14638658365445656,weak
lower_wick_ratio,0.8276127357297348,0.8098405206321964,0.859635907093534,0.0798523751621561,weak
ret_20bar_atr,0.8333065426834051,0.8108727430761329,0.8466530787384682,0.11941708252943324,weak
most_recent_sh_age,0.8338286656947412,0.807356485322587,0.8595616105270687,0.10080220373910331,weak
trigger_break_size_atr,0.8421964019665991,0.8222126868340127,0.8816907302783008,0.0531217711984834,weak
body_to_range_ratio,0.845352219390933,0.836462132589573,0.8498849131617493,0.04709744888295032,weak
num_higher_highs,0.8460652014336248,0.8161517557033541,0.8854253091541227,0.152497956828215,weak
trigger_body_atr,0.8487959213852561,0.8394300221697776,0.8572086210504289,0.06723430257245128,weak
hh_range_atr,0.8653012292050172,0.8310943712073656,0.886218980190231,0.07670836645544028,indistinguishable
range_to_atr_14,0.8669245410657602,0.791049846241865,0.9243774848294624,0.07854458500004281,indistinguishable
most_recent_sl_age,0.8782321466819311,0.8703725652878196,0.8839304870199528,0.0873984593679938,indistinguishable
num_higher_lows,0.9513891530661894,0.9353640709572913,0.9611134949581635,0.042966199648122934,indistinguishable
