trade_id,cluster_id
1,1
2,6
3,5
4,5
5,5
6,1
7,1
8,5
9,1
10,1
11,1
12,0
13,0
14,5
15,6
16,1
17,5
18,2
19,6
20,5
21,6
22,1
23,0
24,6
25,3
26,1
27,3
28,0
29,4
30,3
31,6
32,3
33,1
34,1
35,1
36,0
37,3
38,1
39,1
40,1
41,5
42,3
43,6
44,1
45,1
46,4
47,4
48,5
49,0
50,5
51,5
52,6
53,3
54,4
55,1
56,0
57,3
58,5
59,1
60,5
61,1
62,3
63,1
64,5
65,3
66,1
67,6
68,5
69,1
70,1
71,3
72,6
73,3
74,4
75,0
76,5
77,3
78,0
79,6
80,1
81,3
82,1
83,4
84,6
85,3
86,5
87,2
88,0
89,5
90,0
91,6
92,2
93,6
94,1
95,6
96,5
97,3
98,3
99,1
100,1
101,1
102,1
103,6
104,1
105,1
106,5
107,4
108,6
109,0
110,0
111,1
112,1
113,1
114,6
115,2
116,6
117,1
118,5
119,2
120,3
121,5
122,5
123,6
124,5
125,5
126,5
127,1
128,3
129,1
130,6
131,5
132,2
133,4
134,1
135,1
136,2
137,6
138,1
139,5
140,1
141,0
142,0
143,6
144,1
145,1
146,1
147,1
148,5
149,6
150,0
151,5
152,5
153,1
154,5
155,6
156,3
157,0
158,1
159,5
160,4
161,4
162,6
163,3
164,1
165,1
166,0
167,3
168,0
169,6
170,6
171,5
172,1
173,1
174,2
175,6
176,1
177,0
178,2
179,6
180,5
181,6
182,6
183,2
184,6
185,1
186,1
187,5
188,1
189,1
190,1
191,2
192,1
193,5
194,1
195,1
196,1
197,6
198,5
199,0
200,1
201,1
202,3
203,1
204,1
205,5
206,1
207,5
208,1
209,1
210,1
211,5
212,1
213,5
214,6
215,5
216,6
217,5
218,1
219,5
220,1
221,2
222,5
223,1
224,6
225,5
226,5
227,5
228,1
229,1
230,6
231,1
232,4
233,3
234,4
235,4
236,6
237,1
238,6
239,3
240,0
241,0
242,5
243,6
244,6
245,6
246,6
247,2
248,6
249,1
250,6
251,6
252,0
253,0
254,0
255,1
256,0
257,4
258,1
259,5
260,1
261,5
262,6
263,6
264,4
265,6
266,4
267,4
268,4
269,4
270,4
271,0
272,0
273,5
274,0
275,0
276,5
277,6
278,1
279,3
280,5
281,2
282,5
283,6
284,1
285,6
286,5
287,1
288,1
289,6
290,6
291,1
292,1
293,1
294,3
295,0
296,0
297,5
298,1
299,6
300,6
301,1
302,4
303,1
304,6
305,5
306,6
307,6
308,4
309,4
310,4
311,3
312,4
313,5
314,1
315,6
316,6
317,6
318,1
319,0
320,4
321,4
322,4
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,5
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,5
340,3
341,6
342,1
343,4
344,3
345,3
346,4
347,5
348,2
349,6
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,3
363,5
364,5
365,1
366,3
367,1
368,6
369,1
370,5
371,3
372,5
373,4
374,6
375,3
376,3
377,1
378,4
379,1
380,1
381,0
382,2
383,5
384,1
385,1
386,4
387,3
388,4
389,5
390,1
391,6
392,0
393,1
394,1
395,6
396,6
397,6
398,1
399,0
400,0
401,1
402,1
403,0
404,1
405,6
406,1
407,1
408,1
409,1
410,1
411,1
412,5
413,4
414,3
415,1
416,4
417,4
418,6
419,6
420,0
421,4
422,4
423,0
424,5
425,1
426,3
427,1
428,5
429,1
430,1
431,1
432,4
433,6
434,1
435,6
436,6
437,1
438,1
439,0
440,6
441,4
442,6
443,1
444,0
445,1
446,1
447,1
448,3
449,0
450,0
451,2
452,1
453,6
454,5
455,0
456,4
457,1
458,0
459,1
460,1
461,0
462,1
463,6
464,5
465,0
466,5
467,1
468,3
469,6
470,6
471,3
472,1
473,6
474,1
475,3
476,3
477,4
478,1
479,1
480,1
481,3
482,5
483,1
484,1
485,6
486,6
487,4
488,1
489,1
490,5
491,5
492,6
493,6
494,1
495,1
496,1
497,6
498,5
499,6
500,1
501,1
502,0
503,6
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,4
512,0
513,0
514,5
515,4
516,5
517,1
518,1
519,1
520,6
521,3
522,3
523,4
524,4
525,1
526,1
527,3
528,0
529,3
530,3
531,1
532,1
533,1
534,3
535,5
536,1
537,1
538,1
539,1
540,2
541,6
542,5
543,4
544,4
545,1
546,1
547,2
548,6
549,0
550,6
551,4
552,5
553,5
554,6
555,0
556,2
557,1
558,6
559,2
560,0
561,1
562,1
563,5
564,5
565,3
566,3
567,0
568,4
569,1
570,6
571,5
572,0
573,6
574,6
575,6
576,1
577,4
578,6
579,5
580,5
581,1
582,6
583,3
584,1
585,5
586,4
587,3
588,5
589,3
590,6
591,6
592,1
593,1
594,6
595,5
596,1
597,1
598,1
599,0
600,1
601,3
602,0
603,5
604,1
605,3
606,0
607,1
608,4
609,4
610,1
611,3
612,4
613,2
614,1
615,5
616,1
617,1
618,1
619,6
620,6
621,6
622,1
623,3
624,1
625,1
626,3
627,6
628,6
629,5
630,1
631,6
632,6
633,6
634,3
635,6
636,5
637,1
638,6
639,5
640,1
641,1
642,1
643,5
644,4
645,1
646,6
647,6
648,4
649,4
650,3
651,4
652,6
653,6
654,1
655,1
656,1
657,3
658,6
659,6
660,4
661,1
662,1
663,6
664,5
665,5
666,5
667,1
668,3
669,1
670,6
671,1
672,6
673,0
674,5
675,5
676,4
677,1
678,4
679,6
680,3
681,3
682,3
683,4
684,3
685,0
686,6
687,5
688,1
689,3
690,1
691,1
692,1
693,4
694,5
695,6
696,6
697,1
698,0
699,0
700,1
701,5
702,6
703,4
704,6
705,3
706,0
707,1
708,5
709,2
710,1
711,1
712,5
713,1
714,3
715,3
716,4
717,2
718,1
719,4
720,1
721,0
722,6
723,0
724,6
725,1
726,6
727,6
728,1
729,1
730,1
731,5
732,5
733,2
734,1
735,4
736,3
737,1
738,6
739,0
740,6
741,6
742,1
743,1
744,5
745,6
746,1
747,4
748,2
749,2
750,1
751,0
752,4
753,4
754,5
755,6
756,5
757,1
758,1
759,3
760,2
761,0
762,1
763,1
764,1
765,6
766,6
767,6
768,2
769,6
770,3
771,6
772,1
773,4
774,4
775,4
776,6
777,3
778,3
779,3
780,5
781,5
782,0
783,6
784,3
785,4
786,6
787,4
788,0
789,6
790,6
791,4
792,0
793,6
794,1
795,0
796,1
797,6
798,5
799,5
800,3
801,0
802,6
803,1
804,1
805,0
806,5
807,5
808,5
809,0
810,4
811,6
812,1
813,4
814,1
815,1
816,1
817,1
818,5
819,3
820,0
821,1
822,1
823,4
824,3
825,3
826,0
827,4
828,6
829,3
830,4
831,4
832,1
833,6
834,5
835,5
836,1
837,1
838,0
839,5
840,5
841,2
842,2
843,4
844,3
845,6
846,3
847,3
848,1
849,1
850,1
851,1
852,3
853,0
854,6
855,6
856,0
857,6
858,1
859,0
860,1
861,5
862,1
863,5
864,3
865,1
866,1
867,1
868,3
869,5
870,3
871,6
872,6
873,0
874,5
875,1
876,0
877,3
878,5
879,3
880,0
881,6
882,0
883,6
884,5
885,6
886,5
887,5
888,1
889,1
890,5
891,1
892,5
893,0
894,1
895,4
896,6
897,0
898,1
899,1
900,5
901,1
902,1
903,5
904,4
905,4
906,0
907,4
908,4
909,1
910,6
911,3
912,4
913,6
914,6
915,3
916,3
917,6
918,4
919,3
920,5
921,3
922,5
923,6
924,1
925,6
926,6
927,5
928,6
929,5
930,5
931,2
932,3
933,1
934,3
935,5
936,4
937,3
938,1
939,4
940,4
941,3
942,3
943,6
944,1
945,3
946,4
947,5
948,6
949,6
950,6
951,0
952,1
953,5
954,5
955,1
956,6
957,4
958,0
959,1
960,1
961,6
962,0
963,5
964,2
965,1
966,2
967,1
968,1
969,1
970,0
971,0
972,6
973,3
974,6
975,5
976,3
977,6
978,4
979,6
980,0
981,6
982,0
983,6
984,3
985,3
986,3
987,3
988,4
989,1
990,5
991,0
992,0
993,1
994,1
995,5
996,4
997,4
998,6
999,0
1000,3
1001,6
1002,6
1003,6
1004,2
1005,6
1006,2
1007,4
1008,3
1009,3
1010,3
1011,1
1012,1
1013,4
1014,4
1015,1
1016,4
1017,6
1018,6
1019,5
1020,6
1021,5
1022,3
1023,4
1024,2
1025,5
1026,6
1027,1
1028,1
1029,6
1030,6
1031,1
1032,5
1033,6
1034,1
1035,1
1036,1
1037,1
1038,5
1039,1
1040,1
1041,1
1042,1
1043,6
1044,3
1045,4
1046,1
1047,4
1048,2
1049,6
1050,4
1051,4
1052,1
1053,6
1054,4
1055,1
1056,5
1057,5
1058,0
1059,5
1060,1
1061,0
1062,0
1063,1
1064,1
1065,1
1066,0
1067,1
1068,5
1069,0
1070,1
1071,1
1072,0
1073,1
1074,0
1075,4
1076,6
1077,6
1078,2
1079,6
1080,1
1081,1
1082,1
1083,0
1084,1
1085,1
1086,5
1087,4
1088,2
1089,6
1090,1
1091,1
1092,1
1093,1
1094,4
1095,3
1096,5
1097,5
1098,1
1099,1
1100,5
1101,4
1102,6
1103,3
1104,3
1105,4
1106,5
1107,1
1108,1
1109,3
1110,6
1111,1
1112,0
1113,1
1114,0
1115,1
1116,1
1117,5
1118,1
1119,1
1120,6
1121,2
1122,6
1123,5
1124,5
1125,1
1126,5
1127,1
1128,3
1129,1
1130,2
1131,1
1132,4
1133,4
1134,6
1135,3
1136,4
1137,4
1138,1
1139,1
1140,6
1141,1
1142,1
1143,0
1144,4
1145,4
1146,2
1147,1
1148,5
1149,1
1150,0
1151,6
1152,1
1153,0
1154,3
1155,1
1156,1
1157,1
1158,1
1159,1
1160,5
1161,0
1162,5
1163,1
1164,5
1165,2
1166,3
1167,3
1168,4
1169,0
1170,6
1171,5
1172,6
1173,3
1174,1
1175,3
1176,1
1177,1
1178,6
1179,5
1180,6
1181,5
1182,1
1183,6
1184,1
1185,6
1186,5
1187,5
1188,4
1189,0
1190,1
1191,2
1192,1
1193,1
1194,5
1195,6
1196,5
1197,5
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,6
1205,1
1206,6
1207,6
1208,1
1209,6
1210,3
1211,3
1212,6
1213,1
1214,0
1215,6
1216,6
1217,6
1218,5
1219,6
1220,5
1221,2
1222,4
1223,5
1224,0
1225,6
1226,1
1227,5
1228,3
1229,3
1230,1
1231,4
1232,6
1233,4
1234,4
1235,5
1236,0
1237,1
1238,6
1239,6
1240,0
1241,6
1242,5
1243,6
1244,6
1245,1
1246,1
1247,0
1248,1
1249,5
1250,6
1251,6
1252,0
1253,5
1254,1
1255,6
1256,1
1257,1
1258,1
1259,6
1260,6
1261,5
1262,0
1263,1
1264,1
1265,5
1266,5
1267,6
1268,6
1269,2
1270,6
1271,0
1272,1
1273,1
1274,6
1275,6
1276,5
1277,1
1278,1
1279,4
1280,0
1281,5
1282,1
1283,1
1284,6
1285,3
1286,5
1287,5
1288,3
1289,5
1290,3
1291,5
1292,1
1293,1
1294,3
1295,6
1296,6
1297,6
1298,1
1299,0
1300,4
1301,2
1302,1
1303,4
1304,2
1305,1
1306,1
1307,3
1308,3
1309,6
1310,3
1311,1
1312,1
1313,1
1314,0
1315,5
1316,5
1317,6
1318,5
1319,0
1320,1
1321,6
1322,0
1323,2
1324,6
1325,1
1326,5
1327,1
