trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
341,NZD_CAD,2021-07-06 04:00:00,2021-07-06 08:00:00,2021-07-13 12:00:00,stoploss,32,0,-1.021217989,0.7451757795,-1.256104959,3.4,2.5,2
342,CAD_CHF,2021-07-07 08:00:00,2021-07-07 12:00:00,2021-07-08 08:00:00,stoploss,6,0,-1.023622873,0.565705639,-3.012537941,1.5,1.9,2
347,EUR_NZD,2021-07-08 00:00:00,2021-07-08 04:00:00,2021-07-09 20:00:00,trail_stop,11,1,0.8502947834,1.9574049,-0.03705116001,3.8,3.8,2
350,EUR_JPY,2021-07-09 00:00:00,2021-07-09 04:00:00,2021-07-13 12:00:00,trail_stop,15,1,0.6833325919,1.57394939,-0.2732440058,1,1,2
351,AUD_CAD,2021-07-09 08:00:00,2021-07-09 12:00:00,2021-07-15 16:00:00,trail_stop,26,1,0.1950195318,1.246466159,-0.4015811476,1.9,1.9,2
352,GBP_JPY,2021-07-09 08:00:00,2021-07-09 12:00:00,2021-07-13 12:00:00,trail_stop,13,1,1.018312207,1.855380334,-0.0943238047,2.4,2.4,2
355,AUD_JPY,2021-07-13 00:00:00,2021-07-13 04:00:00,2021-07-15 04:00:00,stoploss,13,0,-1.006854501,0.217059211,-1.217816416,0.9,0.9,2
356,EUR_USD,2021-07-13 00:00:00,2021-07-13 04:00:00,2021-07-13 12:00:00,stoploss,3,0,-1.008592018,0.2025261496,-1.78591241,0.7,0.7,2
358,NZD_CHF,2021-07-13 00:00:00,2021-07-13 04:00:00,2021-07-15 00:00:00,trail_stop,12,1,0.3650177492,1.167781982,-0.8472143791,1.7,1.7,2
359,NZD_JPY,2021-07-13 00:00:00,2021-07-13 04:00:00,2021-07-13 12:00:00,stoploss,3,0,-1.007388785,0.2497409346,-1.137872897,1,1,2
360,NZD_USD,2021-07-13 00:00:00,2021-07-13 04:00:00,2021-07-13 12:00:00,stoploss,3,0,-1.010425397,0.2871723055,-1.462398902,1.1,1.1,2
363,EUR_GBP,2021-07-15 20:00:00,2021-07-16 00:00:00,2021-07-21 12:00:00,trail_stop,22,1,2.42349005,3.436413833,-0.397014911,0.8,0.8,2
365,NZD_USD,2021-07-16 08:00:00,2021-07-16 12:00:00,2021-07-19 08:00:00,stoploss,6,0,-1.008569817,0,-1.043180477,1.1,1.1,2
368,AUD_CHF,2021-07-21 00:00:00,2021-07-21 04:00:00,2021-07-28 12:00:00,stoploss,33,0,-1.025055089,0.8758841365,-1.030390516,2.5,2.4,2
370,CHF_JPY,2021-07-21 08:00:00,2021-07-21 12:00:00,2021-07-22 16:00:00,trail_stop,8,1,0.1916253863,1.157814888,-0.3026653027,2.2,2.2,2
374,EUR_CAD,2021-07-22 00:00:00,2021-07-22 04:00:00,2021-08-10 08:00:00,stoploss,80,0,-1.009437763,0.9710409743,-1.038153957,1.8,1.8,2
381,GBP_JPY,2021-07-27 16:00:00,2021-07-27 20:00:00,2021-07-30 16:00:00,trail_stop,18,1,0.3552371422,1.290147754,-0.109889735,2.4,2.4,2
386,NZD_JPY,2021-08-02 08:00:00,2021-08-02 12:00:00,2021-08-09 00:00:00,trail_stop,28,1,1.139355703,2.258148858,-0.9286022522,1,1,2
391,AUD_CHF,2021-08-05 00:00:00,2021-08-05 04:00:00,2021-08-13 00:00:00,trail_stop,36,1,1.541100744,2.433274849,-0.1841271198,1.4,1.4,2
392,CAD_CHF,2021-08-05 00:00:00,2021-08-05 04:00:00,2021-08-13 16:00:00,trail_stop,40,1,2.6222435,3.655100526,-0.1653060539,1.5,1.9,2
395,EUR_NZD,2021-08-09 00:00:00,2021-08-09 04:00:00,2021-08-11 12:00:00,stoploss,15,0,-1.019359368,0.4646248342,-1.51716311,3.8,3.8,2
399,USD_CHF,2021-08-10 08:00:00,2021-08-10 12:00:00,2021-08-13 16:00:00,stoploss,20,0,-1.011502213,0.8166571079,-1.514458017,0.9,0.9,2
403,CAD_JPY,2021-08-18 04:00:00,2021-08-18 08:00:00,2021-08-19 08:00:00,stoploss,7,0,-1.012095228,0.455586907,-2.082395022,1.2,1.2,2
405,EUR_NZD,2021-08-18 12:00:00,2021-08-18 16:00:00,2021-08-20 00:00:00,trail_stop,9,1,0.2843758372,1.253126014,-0.310156501,3.8,3.8,2
406,USD_JPY,2021-08-18 12:00:00,2021-08-18 16:00:00,2021-08-24 16:00:00,stoploss,25,0,-1.00766203,0.9194436434,-1.162074605,0.6,0.6,2
408,NZD_JPY,2021-08-20 16:00:00,2021-08-20 20:00:00,2021-09-08 08:00:00,trail_stop,76,1,4.100702556,5.017968162,-0.4891464763,1,1,2
409,NZD_USD,2021-08-20 16:00:00,2021-08-20 20:00:00,2021-09-07 08:00:00,trail_stop,70,1,4.798364398,5.770818322,-0.2986249169,1.1,1.1,2
410,AUD_CHF,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-09-07 08:00:00,trail_stop,68,1,4.555604166,5.527488021,-0.3343738086,2.4,1.9,2
411,AUD_JPY,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-08-27 00:00:00,trail_stop,24,1,1.530610635,2.35308287,-0.03095168356,0.9,0.8,2
412,AUD_USD,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-08-26 20:00:00,trail_stop,23,1,1.787514929,2.639979902,-0.01406381988,1,1,2
415,GBP_JPY,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-08-24 16:00:00,trail_stop,10,1,0.2071005878,1.315867231,-0.1133562357,2.4,2.4,2
417,NZD_CAD,2021-08-24 04:00:00,2021-08-24 08:00:00,2021-08-31 00:00:00,trail_stop,29,1,1.050309755,2.449693009,-0.1208154891,2.8,2.9,2
418,NZD_CHF,2021-08-24 04:00:00,2021-08-24 08:00:00,2021-09-10 04:00:00,trail_stop,78,1,3.41499044,4.264888735,-0.02988410525,1.7,1.7,2
424,USD_CHF,2021-09-01 00:00:00,2021-09-01 04:00:00,2021-09-03 12:00:00,stoploss,15,0,-1.009216518,0.4987160481,-1.010744845,0.9,0.9,2
436,GBP_USD,2021-09-16 00:00:00,2021-09-16 04:00:00,2021-09-16 16:00:00,stoploss,4,0,-1.007286806,0,-1.364252003,0.9,0.9,2
439,CAD_JPY,2021-09-17 04:00:00,2021-09-17 08:00:00,2021-09-17 16:00:00,stoploss,3,0,-1.011353031,0.5600828516,-1.114489188,1.2,1.2,2
440,EUR_AUD,2021-09-20 00:00:00,2021-09-20 04:00:00,2021-09-22 04:00:00,trail_stop,13,1,0.04598776545,1.062562698,-0.4609005841,2.4,2.4,2
442,CAD_CHF,2021-09-22 16:00:00,2021-09-22 20:00:00,2021-09-24 12:00:00,trail_stop,11,1,0.2294194664,1.104896693,-0.243983497,1.8,2,2
444,GBP_JPY,2021-09-22 16:00:00,2021-09-22 20:00:00,2021-09-28 12:00:00,trail_stop,23,1,2.260806918,3.166874663,-0.3251411359,2.4,2.4,2
446,USD_CHF,2021-09-24 04:00:00,2021-09-24 08:00:00,2021-09-30 20:00:00,trail_stop,28,1,1.449795822,2.629215699,-0.6424480152,0.9,0.9,2
449,GBP_CAD,2021-09-29 04:00:00,2021-09-29 08:00:00,2021-09-30 08:00:00,stoploss,7,0,-1.015016058,0.1169107366,-1.039325722,2.8,2.8,2
450,EUR_USD,2021-10-04 00:00:00,2021-10-04 04:00:00,2021-10-06 08:00:00,stoploss,14,0,-1.008057718,0.8506647799,-1.198297748,0.7,0.7,2
452,USD_JPY,2021-10-05 04:00:00,2021-10-05 08:00:00,2021-10-06 12:00:00,trail_stop,8,1,0.3569076539,1.171788564,-0.231998407,0.6,0.6,2
456,EUR_GBP,2021-10-08 20:00:00,2021-10-11 00:00:00,2021-10-12 12:00:00,trail_stop,10,1,-0.01293578836,1.138349375,-0.3427983915,0.8,0.8,2
457,AUD_CAD,2021-10-12 08:00:00,2021-10-12 12:00:00,2021-10-13 08:00:00,stoploss,6,0,-1.020639738,0.4660235632,-1.04176363,1.9,1.9,2
458,EUR_JPY,2021-10-12 08:00:00,2021-10-12 12:00:00,2021-10-18 04:00:00,trail_stop,23,1,1.657225545,2.578188932,-0.3404003149,1.4,1,2
460,NZD_CAD,2021-10-15 04:00:00,2021-10-15 08:00:00,2021-10-21 16:00:00,trail_stop,27,1,2.251522629,3.128941241,-0.3793817304,3,3.3,2
463,GBP_AUD,2021-10-18 08:00:00,2021-10-18 12:00:00,2021-10-19 04:00:00,stoploss,5,0,-1.020693119,0.4376594627,-1.023274725,4,4,2
466,NZD_CHF,2021-10-19 16:00:00,2021-10-19 20:00:00,2021-10-21 16:00:00,stoploss,12,0,-1.018761847,0.4558025232,-1.05838891,1.7,1.7,2
472,NZD_JPY,2021-10-25 00:00:00,2021-10-25 04:00:00,2021-10-27 08:00:00,trail_stop,14,1,0.153686247,1.001382058,-0.5847381598,1,1,2
473,NZD_USD,2021-10-25 00:00:00,2021-10-25 04:00:00,2021-10-29 12:00:00,trail_stop,27,1,0.1259973103,1.21168971,-0.6468739262,1.1,1.1,2
478,EUR_AUD,2021-10-28 00:00:00,2021-10-28 04:00:00,2021-10-29 16:00:00,stoploss,10,0,-1.013066541,0.6555048032,-1.124811398,2.4,2.4,2
480,GBP_NZD,2021-10-28 00:00:00,2021-10-28 04:00:00,2021-11-01 00:00:00,stoploss,12,0,-1.023069444,0.7891672362,-1.124635404,4.8,4.8,2
483,GBP_AUD,2021-10-29 00:00:00,2021-10-29 04:00:00,2021-10-29 16:00:00,stoploss,4,0,-1.020055635,0.06016690494,-1.17526021,4,4,2
485,NZD_CHF,2021-11-01 00:00:00,2021-11-01 04:00:00,2021-11-01 20:00:00,stoploss,5,0,-1.016925027,0.162281146,-1.018488419,1.7,1.7,2
489,USD_CHF,2021-11-04 04:00:00,2021-11-04 08:00:00,2021-11-05 16:00:00,trail_stop,9,1,-0.01050743453,1.166325233,-0.2883707033,0.9,0.9,2
490,EUR_NZD,2021-11-08 00:00:00,2021-11-08 04:00:00,2021-11-08 12:00:00,stoploss,3,0,-1.019209583,0,-1.23042436,3.8,3.8,2
491,GBP_CAD,2021-11-08 08:00:00,2021-11-08 12:00:00,2021-11-10 00:00:00,trail_stop,10,1,0.6736811164,1.472385997,-0.1548565425,2.8,2.8,2
496,GBP_NZD,2021-11-12 00:00:00,2021-11-12 04:00:00,2021-11-15 08:00:00,stoploss,8,0,-1.02167288,0.1273281675,-1.016819266,4.8,4.8,2
497,AUD_CAD,2021-11-12 08:00:00,2021-11-12 12:00:00,2021-11-17 08:00:00,stoploss,18,0,-1.019769239,0.9208303571,-1.018636067,1.9,1.9,2
500,EUR_USD,2021-11-15 00:00:00,2021-11-15 04:00:00,2021-11-15 16:00:00,stoploss,4,0,-1.007914066,0.08479356168,-1.823626866,0.7,0.7,2
507,EUR_JPY,2021-11-17 00:00:00,2021-11-17 04:00:00,2021-11-17 16:00:00,stoploss,4,0,-1.012018194,0.04635589303,-1.557214629,1.4,1.4,2
508,AUD_CHF,2021-11-19 00:00:00,2021-11-19 04:00:00,2021-11-19 08:00:00,stoploss,2,0,-1.017060431,0.2851529227,-1.065058352,1.4,1.4,2
510,AUD_NZD,2021-11-22 00:00:00,2021-11-22 04:00:00,2021-11-23 00:00:00,trail_stop,6,1,0.04631322367,1.184404078,-0.2158545677,2.1,2.1,2
511,CAD_CHF,2021-11-22 00:00:00,2021-11-22 04:00:00,2021-11-23 08:00:00,stoploss,8,0,-1.01797666,0.238490355,-1.070210488,1.5,1.5,2
514,EUR_NZD,2021-11-22 16:00:00,2021-11-22 20:00:00,2021-11-29 00:00:00,trail_stop,26,1,3.403445833,4.472129451,-0.6834419766,3.8,3.8,2
516,GBP_NZD,2021-11-22 16:00:00,2021-11-22 20:00:00,2021-11-29 00:00:00,trail_stop,26,1,1.924501438,3.169620023,-0.3237645012,4.8,4.8,2
519,CAD_JPY,2021-11-23 16:00:00,2021-11-23 20:00:00,2021-11-26 00:00:00,trail_stop,14,1,0.4755698496,1.35484937,-0.0723965312,1.2,1.2,2
520,NZD_JPY,2021-11-23 16:00:00,2021-11-23 20:00:00,2021-11-24 16:00:00,stoploss,6,0,-1.008326053,0.4912371397,-1.100704235,1,1,2
522,EUR_GBP,2021-11-25 08:00:00,2021-11-25 12:00:00,2021-11-29 00:00:00,trail_stop,10,1,1.433806571,2.55919933,-0.3655999043,0.8,0.8,2
523,AUD_CHF,2021-11-25 16:00:00,2021-11-25 20:00:00,2021-11-26 00:00:00,stoploss,2,0,-1.017169779,0.286980597,-1.044903712,1.4,1.4,2
524,AUD_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 04:00:00,stoploss,1,0,-1.005531784,0.08912318218,-1.239734196,0.9,0.9,2
526,CAD_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 04:00:00,stoploss,1,0,-1.006957184,0.05681700012,-1.047056145,1.2,1.2,2
527,EUR_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-12-01 20:00:00,stoploss,11,0,-1.008408999,0.4180473664,-1.046319702,1,1.4,2
528,GBP_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 16:00:00,stoploss,4,0,-1.010282168,0.01713694656,-1.566316916,2.4,2.4,2
529,NZD_CHF,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 08:00:00,stoploss,2,0,-1.015799559,0.0399635898,-1.103180956,1.7,1.7,2
530,NZD_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 04:00:00,stoploss,1,0,-1.006635544,0.03583193715,-1.15591175,1,1,2
532,USD_JPY,2021-12-01 00:00:00,2021-12-01 04:00:00,2022-01-07 20:00:00,trail_stop,167,1,2.207501988,3.0545917,-0.9933024354,0.6,0.6,2
533,CHF_JPY,2021-12-03 08:00:00,2021-12-03 12:00:00,2021-12-06 16:00:00,stoploss,8,0,-1.015844683,0.6136213517,-1.018380976,2.2,2.2,2
537,AUD_JPY,2021-12-06 16:00:00,2021-12-06 20:00:00,2021-12-09 12:00:00,trail_stop,17,1,1.11306716,2.017803191,-0.09182138116,0.8,0.9,2
538,NZD_JPY,2021-12-06 16:00:00,2021-12-06 20:00:00,2021-12-09 12:00:00,trail_stop,17,1,0.4247427385,1.304072214,-0.239798403,1,1,2
539,AUD_USD,2021-12-07 00:00:00,2021-12-07 04:00:00,2021-12-09 12:00:00,trail_stop,15,1,1.555809979,2.484336424,-0.214231734,1,1,2
540,NZD_USD,2021-12-08 04:00:00,2021-12-08 08:00:00,2021-12-14 00:00:00,stoploss,23,0,-1.011043104,0.6174099221,-1.025000862,1.1,1.1,2
541,GBP_CAD,2021-12-09 04:00:00,2021-12-09 08:00:00,2021-12-16 08:00:00,trail_stop,31,1,2.419632969,3.374094742,-0.265324812,2.8,2.8,2
543,EUR_CAD,2021-12-10 04:00:00,2021-12-10 08:00:00,2021-12-16 12:00:00,trail_stop,26,1,1.190543417,2.200838325,-0.7036938201,1.8,3.7,2
544,NZD_CHF,2021-12-13 00:00:00,2021-12-13 04:00:00,2021-12-14 04:00:00,stoploss,7,0,-1.018251679,0.1599705987,-1.018873142,1.7,1.7,2
546,CHF_JPY,2021-12-14 08:00:00,2021-12-14 12:00:00,2021-12-15 16:00:00,stoploss,8,0,-1.018980862,0.2640065381,-1.002534632,2.2,2.2,2
