fold,date,n_trades,equity_start_of_day,intraday_peak,intraday_trough,intraday_running_peak_to_trough_dd_pct,day_start_to_low_dd_pct,day_dd_pct,net_day_pnl_dollars,trade_ids_in_day
2,2021-10-27,1,11339.50426,11339.50426,11280.96819,0.516213653,0.516213653,0.516213653,-58.53606916,471
2,2021-07-08,1,10000,10000,9948.818856,0.5118114365,0.5118114365,0.5118114365,-51.18114365,342
2,2021-11-08,1,11313.90335,11313.90335,11256.24716,0.5096047915,0.5096047915,0.5096047915,-57.6561936,490
2,2021-12-14,1,11510.93255,11510.93255,11452.32741,0.5091258395,0.5091258395,0.5091258395,-58.60513196,544
2,2022-03-23,1,12727.89156,12727.89156,12663.1034,0.5090250695,0.5090250695,0.5090250695,-64.78815886,651
2,2021-12-06,1,11447.7973,11447.7973,11389.65138,0.5079223415,0.5079223415,0.5079223415,-58.14592008,533
2,2021-08-10,1,10205.23114,10205.23114,10153.72341,0.5047188815,0.5047188815,0.5047188815,-51.50772845,374
2,2022-02-24,1,12379.32226,12379.32226,12316.88859,0.5043383645,0.5043383645,0.5043383645,-62.43367143,605
2,2022-03-18,1,12792.28335,12792.28335,12727.89156,0.503364292,0.503364292,0.503364292,-64.39178649,644
2,2022-03-02,1,12316.88859,12316.88859,12255.08001,0.5018197335,0.5018197335,0.5018197335,-61.8085775,624
2,2022-02-04,2,12099.51814,12143.63977,12099.51814,0.007885514785,0,0.007885514785,43.16403693,"589,590"
2,2021-08-24,1,10353.39692,10364.1179,10353.39692,0,0,0,10.72097294,415
2,2021-08-17,1,10231.96296,10353.39692,10231.96296,0,0,0,121.4339599,402
2,2021-08-13,1,10153.72341,10231.96296,10153.72341,0,0,0,78.2395535,391
2,2021-07-29,1,10113.629,10205.23114,10113.629,0,0,0,91.60214021,375
2,2021-07-21,1,9992.544832,10113.629,9992.544832,0,0,0,121.0841649,363
2,2021-07-15,1,9982.810617,9992.544832,9982.810617,0,0,0,9.734215263,351
2,2021-07-13,1,9948.818856,9982.810617,9948.818856,0,0,0,33.99176088,350
2,2021-08-26,1,10364.1179,10456.74797,10364.1179,0,0,0,92.63007732,412
2,2021-10-21,1,11213.26961,11339.50426,11213.26961,0,0,0,126.2346513,460
2,2021-09-28,1,11068.17966,11193.29474,11068.17966,0,0,0,125.1150857,444
2,2021-10-06,1,11193.29474,11213.26961,11193.29474,0,0,0,19.97486283,452
2,2021-08-27,1,10456.74797,10536.77402,10456.74797,0,0,0,80.02604827,411
2,2021-08-31,1,10536.77402,10592.1084,10536.77402,0,0,0,55.3343827,417
2,2021-09-07,1,10592.1084,10833.37567,10592.1084,0,0,0,241.2672659,410
2,2021-09-08,1,10833.37567,11055.49793,10833.37567,0,0,0,222.1222565,408
2,2021-12-09,3,11389.65138,11510.93255,11389.65138,0,0,0,121.2811692,"534,537,538"
2,2021-11-29,1,11256.24716,11447.7973,11256.24716,0,0,0,191.5501375,514
2,2021-11-03,1,11280.96819,11299.25035,11280.96819,0,0,0,18.28216118,481
2,2021-11-04,1,11299.25035,11313.90335,11299.25035,0,0,0,14.65300332,486
2,2021-09-24,1,11055.49793,11068.17966,11055.49793,0,0,0,12.68173217,442
2,2021-12-16,3,11452.32741,11675.55547,11452.32741,0,0,0,223.2280589,"541,535,545"
2,2022-01-07,1,11776.86377,11906.85102,11776.86377,0,0,0,129.9872509,532
2,2021-12-27,1,11675.55547,11776.86377,11675.55547,0,0,0,101.3082969,550
2,2022-02-11,1,12272.03665,12329.62767,12272.03665,0,0,0,57.59101529,601
2,2022-02-10,1,12142.68218,12272.03665,12142.68218,0,0,0,129.3544743,592
2,2022-02-03,2,11939.47347,12099.51814,11939.47347,0,0,0,160.0446702,"588,586"
2,2022-01-13,1,11906.85102,11939.47347,11906.85102,0,0,0,32.62245007,569
2,2022-03-10,1,12255.08001,12290.40902,12255.08001,0,0,0,35.32900442,633
2,2022-02-22,1,12329.62767,12379.32226,12329.62767,0,0,0,49.69459386,609
2,2022-03-15,3,12290.40902,12792.28335,12290.40902,0,0,0,501.8743284,"632,634,639"
2,2022-04-05,1,12663.1034,12740.2968,12663.1034,0,0,0,77.19339862,657
3,2022-07-26,1,10447.13628,10447.13628,10394.50015,0.50383305,0.50383305,0.50383305,-52.63612534,805
3,2022-12-22,2,10638.20611,10716.71699,10584.70844,0.5028824265,0.5028824265,0.5028824265,78.51088038,"974,977"
3,2022-09-28,1,10462.74145,10462.74145,10410.22468,0.5019408315,0.5019408315,0.5019408315,-52.51677143,877
3,2022-05-18,4,10289.83572,10298.75865,10238.19163,0.501894232,0.501894232,0.501894232,8.922927075,"725,716,720,723"
3,2022-05-03,1,10045.08997,10093.12022,10045.08997,0,0,0,48.03024723,693
3,2022-04-19,1,10000,10045.08997,10000,0,0,0,45.08997301,668
