trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold,classifier_prob
342,CAD_CHF,2021-07-07 08:00:00,2021-07-07 12:00:00,2021-07-08 08:00:00,stoploss,6,0,-1.023622873,0.565705639,-3.012537941,1.5,1.9,2,0.7355621657
350,EUR_JPY,2021-07-09 00:00:00,2021-07-09 04:00:00,2021-07-13 12:00:00,trail_stop,15,1,0.6833325919,1.57394939,-0.2732440058,1,1,2,0.5122850321
351,AUD_CAD,2021-07-09 08:00:00,2021-07-09 12:00:00,2021-07-15 16:00:00,trail_stop,26,1,0.1950195318,1.246466159,-0.4015811476,1.9,1.9,2,0.6413641022
363,EUR_GBP,2021-07-15 20:00:00,2021-07-16 00:00:00,2021-07-21 12:00:00,trail_stop,22,1,2.42349005,3.436413833,-0.397014911,0.8,0.8,2,0.7922769064
374,EUR_CAD,2021-07-22 00:00:00,2021-07-22 04:00:00,2021-08-10 08:00:00,stoploss,80,0,-1.009437763,0.9710409743,-1.038153957,1.8,1.8,2,0.614777237
375,GBP_NZD,2021-07-22 00:00:00,2021-07-22 04:00:00,2021-07-29 16:00:00,trail_stop,34,1,1.811459373,2.97094166,-0.3767556323,10,4.8,2,0.4359936354
391,AUD_CHF,2021-08-05 00:00:00,2021-08-05 04:00:00,2021-08-13 00:00:00,trail_stop,36,1,1.541100744,2.433274849,-0.1841271198,1.4,1.4,2,0.8279226097
402,EUR_CAD,2021-08-12 00:00:00,2021-08-12 04:00:00,2021-08-17 12:00:00,trail_stop,21,1,2.373620005,3.401147518,-0.5493130769,1.8,1.8,2,0.7127567216
408,NZD_JPY,2021-08-20 16:00:00,2021-08-20 20:00:00,2021-09-08 08:00:00,trail_stop,76,1,4.100702556,5.017968162,-0.4891464763,1,1,2,0.9653452505
410,AUD_CHF,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-09-07 08:00:00,trail_stop,68,1,4.555604166,5.527488021,-0.3343738086,2.4,1.9,2,0.9336685086
411,AUD_JPY,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-08-27 00:00:00,trail_stop,24,1,1.530610635,2.35308287,-0.03095168356,0.9,0.8,2,0.9654885342
412,AUD_USD,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-08-26 20:00:00,trail_stop,23,1,1.787514929,2.639979902,-0.01406381988,1,1,2,0.9543363364
415,GBP_JPY,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-08-24 16:00:00,trail_stop,10,1,0.2071005878,1.315867231,-0.1133562357,2.4,2.4,2,0.9859940992
417,NZD_CAD,2021-08-24 04:00:00,2021-08-24 08:00:00,2021-08-31 00:00:00,trail_stop,29,1,1.050309755,2.449693009,-0.1208154891,2.8,2.9,2,0.725605726
442,CAD_CHF,2021-09-22 16:00:00,2021-09-22 20:00:00,2021-09-24 12:00:00,trail_stop,11,1,0.2294194664,1.104896693,-0.243983497,1.8,2,2,0.9517903063
444,GBP_JPY,2021-09-22 16:00:00,2021-09-22 20:00:00,2021-09-28 12:00:00,trail_stop,23,1,2.260806918,3.166874663,-0.3251411359,2.4,2.4,2,0.9929714118
452,USD_JPY,2021-10-05 04:00:00,2021-10-05 08:00:00,2021-10-06 12:00:00,trail_stop,8,1,0.3569076539,1.171788564,-0.231998407,0.6,0.6,2,0.6622449546
460,NZD_CAD,2021-10-15 04:00:00,2021-10-15 08:00:00,2021-10-21 16:00:00,trail_stop,27,1,2.251522629,3.128941241,-0.3793817304,3,3.3,2,0.5677502893
471,GBP_CAD,2021-10-25 00:00:00,2021-10-25 04:00:00,2021-10-27 16:00:00,stoploss,16,0,-1.032427306,0.790727394,-1.50288093,2.8,5.2,2,0.6897689209
481,USD_CAD,2021-10-28 00:00:00,2021-10-28 04:00:00,2021-11-03 20:00:00,trail_stop,29,1,0.3241239736,1.280573246,-0.6208172077,1.3,1.3,2,0.6298133967
486,EUR_CAD,2021-11-01 08:00:00,2021-11-01 12:00:00,2021-11-04 08:00:00,trail_stop,18,1,0.2593623978,1.13626107,-0.1417898429,3.7,1.8,2,0.8975096036
490,EUR_NZD,2021-11-08 00:00:00,2021-11-08 04:00:00,2021-11-08 12:00:00,stoploss,3,0,-1.019209583,0,-1.23042436,3.8,3.8,2,0.4894337068
514,EUR_NZD,2021-11-22 16:00:00,2021-11-22 20:00:00,2021-11-29 00:00:00,trail_stop,26,1,3.403445833,4.472129451,-0.6834419766,3.8,3.8,2,0.9238294364
532,USD_JPY,2021-12-01 00:00:00,2021-12-01 04:00:00,2022-01-07 20:00:00,trail_stop,167,1,2.207501988,3.0545917,-0.9933024354,0.6,0.6,2,0.8507627207
533,CHF_JPY,2021-12-03 08:00:00,2021-12-03 12:00:00,2021-12-06 16:00:00,stoploss,8,0,-1.015844683,0.6136213517,-1.018380976,2.2,2.2,2,0.7822589607
534,EUR_JPY,2021-12-06 08:00:00,2021-12-06 12:00:00,2021-12-09 08:00:00,trail_stop,18,1,0.5849943737,1.491519877,-0.454053319,1.4,1.4,2,0.8874031317
535,GBP_JPY,2021-12-06 08:00:00,2021-12-06 12:00:00,2021-12-16 16:00:00,trail_stop,50,1,1.15380084,2.089081457,-0.7062761151,2.4,2.4,2,0.5710725305
537,AUD_JPY,2021-12-06 16:00:00,2021-12-06 20:00:00,2021-12-09 12:00:00,trail_stop,17,1,1.11306716,2.017803191,-0.09182138116,0.8,0.9,2,0.5053355201
538,NZD_JPY,2021-12-06 16:00:00,2021-12-06 20:00:00,2021-12-09 12:00:00,trail_stop,17,1,0.4247427385,1.304072214,-0.239798403,1,1,2,0.9807756111
541,GBP_CAD,2021-12-09 04:00:00,2021-12-09 08:00:00,2021-12-16 08:00:00,trail_stop,31,1,2.419632969,3.374094742,-0.265324812,2.8,2.8,2,0.8499726358
544,NZD_CHF,2021-12-13 00:00:00,2021-12-13 04:00:00,2021-12-14 04:00:00,stoploss,7,0,-1.018251679,0.1599705987,-1.018873142,1.7,1.7,2,0.9003768092
545,EUR_CHF,2021-12-13 08:00:00,2021-12-13 12:00:00,2021-12-16 16:00:00,trail_stop,20,1,0.3055149593,1.364003572,-0.9708318107,1,1,2,0.7542552467
550,NZD_USD,2021-12-21 00:00:00,2021-12-21 04:00:00,2021-12-27 00:00:00,trail_stop,24,1,1.735391471,2.638003228,-0.1801507207,1.1,1.1,2,0.8351646879
569,NZD_CHF,2022-01-07 04:00:00,2022-01-07 08:00:00,2022-01-13 00:00:00,trail_stop,23,1,0.5479610018,1.418788466,-0.3425520878,1.7,1.7,2,0.7635507468
586,EUR_USD,2022-01-31 00:00:00,2022-01-31 04:00:00,2022-02-03 12:00:00,trail_stop,21,1,2.270826961,4.093339152,-0.236249229,0.7,0.7,2,0.8845890217
588,NZD_CAD,2022-02-01 04:00:00,2022-02-01 08:00:00,2022-02-03 00:00:00,trail_stop,11,1,0.4055023803,1.383535151,-0.3732374945,2.3,2.3,2,0.9933841421
589,NZD_JPY,2022-02-01 04:00:00,2022-02-01 08:00:00,2022-02-04 12:00:00,trail_stop,20,1,0.7293121085,1.628060619,-0.330189001,1,1,2,0.6762609712
590,AUD_CAD,2022-02-01 12:00:00,2022-02-01 16:00:00,2022-02-04 12:00:00,trail_stop,18,1,-0.01577102957,1.040057897,-0.336171946,1.9,1.9,2,0.4222154795
592,AUD_JPY,2022-02-01 16:00:00,2022-02-01 20:00:00,2022-02-10 20:00:00,trail_stop,43,1,2.130574981,3.261965794,-0.3612469323,0.8,0.8,2,0.5088215444
601,NZD_CHF,2022-02-07 20:00:00,2022-02-08 00:00:00,2022-02-11 00:00:00,trail_stop,19,1,0.9385730652,2.234804554,-0.2177626647,1.7,1.7,2,0.9407177123
605,GBP_JPY,2022-02-14 16:00:00,2022-02-14 20:00:00,2022-02-24 04:00:00,stoploss,45,0,-1.008676729,0.7106240854,-1.742287135,2,2,2,0.5401900107
609,NZD_USD,2022-02-15 16:00:00,2022-02-15 20:00:00,2022-02-22 00:00:00,trail_stop,26,1,0.8061004793,1.728714274,-0.06612568262,1.1,1.1,2,0.8517363498
624,EUR_USD,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-02 08:00:00,stoploss,12,0,-1.003639467,0.7086563002,-1.24209824,0.7,0.7,2,0.8333409394
632,USD_JPY,2022-03-07 00:00:00,2022-03-07 04:00:00,2022-03-15 08:00:00,trail_stop,38,1,5.790269205,6.769216785,-0.08203954954,0.6,0.6,2,0.6690338472
633,EUR_USD,2022-03-08 16:00:00,2022-03-08 20:00:00,2022-03-10 16:00:00,trail_stop,12,1,0.5765609753,1.589118757,-0.467805997,0.3,0.3,2,0.4991261408
634,CHF_JPY,2022-03-09 00:00:00,2022-03-09 04:00:00,2022-03-15 08:00:00,trail_stop,26,1,1.348821579,2.266573639,-0.1779964609,2.2,2.2,2,0.6945437784
639,GBP_JPY,2022-03-09 08:00:00,2022-03-09 12:00:00,2022-03-15 08:00:00,trail_stop,24,1,0.9545267617,1.799316731,-0.4646401153,2,2,2,0.5101616804
644,EUR_CAD,2022-03-14 16:00:00,2022-03-14 20:00:00,2022-03-18 12:00:00,stoploss,23,0,-1.006728584,0.7625728574,-1.237311842,1.8,1.8,2,0.9199597641
651,GBP_AUD,2022-03-22 00:00:00,2022-03-22 04:00:00,2022-03-23 08:00:00,stoploss,8,0,-1.018050139,0.1055933129,-1.210261817,4,4,2,0.6492289452
657,AUD_CAD,2022-03-31 00:00:00,2022-03-31 04:00:00,2022-04-05 16:00:00,trail_stop,22,1,1.219186106,2.021252195,-0.7110518102,1.9,1.9,2,0.5724109887
668,GBP_AUD,2022-04-07 04:00:00,2022-04-07 08:00:00,2022-04-19 08:00:00,trail_stop,49,1,0.9017994602,1.71331475,-0.7191972822,4,4,3,0.6295063941
693,GBP_CHF,2022-04-29 00:00:00,2022-04-29 04:00:00,2022-05-03 12:00:00,trail_stop,15,1,0.956293022,1.761499968,-0.08935557187,1.9,1.9,3,0.9247190832
696,EUR_CHF,2022-05-02 16:00:00,2022-05-02 20:00:00,2022-05-04 20:00:00,trail_stop,13,1,0.6832732038,1.505920631,-0.3481022565,1,1,3,0.470055419
