trade_id,cluster_id
1,0
2,0
3,2
4,3
5,2
6,2
7,0
8,2
9,2
10,0
11,3
12,2
13,2
14,2
15,0
16,3
17,0
18,2
19,0
20,3
21,3
22,0
23,3
24,0
25,0
26,3
27,2
28,2
29,2
30,0
31,0
32,3
33,1
34,0
35,0
36,3
37,0
38,2
39,2
40,2
41,2
42,3
43,3
44,3
45,3
46,3
47,0
48,2
49,2
50,1
51,2
52,0
53,2
54,3
55,0
56,0
57,0
58,3
59,0
60,2
61,1
62,3
63,3
64,1
65,3
66,1
67,1
68,3
69,3
70,3
71,0
72,0
73,2
74,1
75,3
76,0
77,2
78,1
79,2
80,2
81,3
82,1
83,1
84,0
85,3
86,0
87,3
88,0
89,3
90,1
91,3
92,0
93,1
94,2
95,3
96,0
97,0
98,3
99,1
100,0
101,2
102,3
103,3
104,0
105,3
106,3
107,3
108,3
109,3
110,0
111,3
112,1
113,1
114,1
115,1
116,1
117,2
118,0
119,1
120,2
121,2
122,2
123,1
124,1
125,0
126,3
127,1
128,1
129,3
130,2
131,0
132,0
133,3
134,3
135,2
136,1
137,0
138,0
139,2
140,1
141,0
142,0
143,1
144,1
145,1
146,3
147,0
148,0
149,3
150,1
151,0
152,0
153,0
154,2
155,1
156,1
157,1
158,0
159,0
160,3
161,0
162,3
163,2
164,1
165,3
166,2
167,0
168,3
169,2
170,3
171,0
172,0
173,3
174,3
175,0
176,3
177,2
178,3
179,1
180,2
181,0
182,2
183,0
184,0
185,2
186,2
187,2
188,0
189,3
190,2
191,0
192,3
193,2
194,3
195,0
196,2
197,0
198,2
199,2
200,3
201,3
202,2
203,2
204,2
205,2
206,3
207,2
208,3
209,0
210,3
211,1
212,2
213,2
214,1
215,0
216,0
217,0
218,0
219,3
220,3
221,0
222,1
223,1
224,2
225,3
226,3
227,3
228,1
229,3
230,0
231,2
232,0
233,3
234,2
235,0
236,2
237,2
238,2
239,2
240,3
241,3
242,2
243,0
244,1
245,2
246,2
247,0
248,0
249,3
250,0
251,3
252,2
253,2
254,3
255,2
256,2
257,3
258,2
259,1
260,2
261,2
262,0
263,2
264,3
265,2
266,1
267,1
268,0
269,0
270,3
271,2
272,2
273,2
274,0
275,0
276,0
277,3
278,3
