bin,n_bin_rows,fold,train_start,train_end,val_start,val_end,train_n,val_n,base_rate_val,val_auc,status
d1_down,109580,1,2020-01-02 04:00:00,2020-08-21 12:00:00,2020-08-21 12:00:00,2021-08-10 04:00:00,13701,13697,0.15937796597795137,0.49032482991289217,trained
d1_down,109580,2,2020-01-02 04:00:00,2021-08-10 04:00:00,2021-08-10 04:00:00,2022-02-14 16:00:00,27398,13697,0.20566547419142878,0.5160755046827037,trained
d1_down,109580,3,2020-01-02 04:00:00,2022-02-14 16:00:00,2022-02-14 16:00:00,2022-10-03 20:00:00,41095,13697,0.1623713221873403,0.535910770642616,trained
d1_down,109580,4,2020-01-02 04:00:00,2022-10-03 20:00:00,2022-10-04 00:00:00,2023-06-19 00:00:00,54792,13697,0.20252610060597212,0.5648556741920454,trained
d1_down,109580,5,2020-01-02 04:00:00,2023-06-19 00:00:00,2023-06-19 00:00:00,2024-03-22 16:00:00,68489,13697,0.19763451850770242,0.47495394106809663,trained
d1_down,109580,6,2020-01-02 04:00:00,2024-03-22 16:00:00,2024-03-22 16:00:00,2025-01-23 04:00:00,82186,13697,0.1699642257428634,0.5367053812456191,trained
d1_down,109580,7,2020-01-02 04:00:00,2025-01-23 04:00:00,2025-01-23 04:00:00,2025-11-04 20:00:00,95883,13697,0.1434620719865664,0.46775490188423563,trained
d1_flat,17931,1,2020-01-02 04:00:00,2020-11-02 16:00:00,2020-11-02 16:00:00,2021-07-09 20:00:00,2244,2241,0.2110664881749219,0.5739341882467738,trained
d1_flat,17931,2,2020-01-02 04:00:00,2021-07-09 20:00:00,2021-07-12 00:00:00,2022-02-17 20:00:00,4485,2241,0.16644355198572067,0.6405849039272982,trained
d1_flat,17931,3,2020-01-02 04:00:00,2022-02-17 20:00:00,2022-02-17 20:00:00,2023-02-03 04:00:00,6726,2241,0.2543507362784471,0.5428076474849601,trained
d1_flat,17931,4,2020-01-02 04:00:00,2023-02-03 04:00:00,2023-02-03 04:00:00,2023-11-27 04:00:00,8967,2241,0.17626059794734494,0.5960818464829875,trained
d1_flat,17931,5,2020-01-02 04:00:00,2023-11-27 04:00:00,2023-11-27 04:00:00,2024-06-11 20:00:00,11208,2241,0.14904060687193219,0.5373874694240256,trained
d1_flat,17931,6,2020-01-02 04:00:00,2024-06-11 20:00:00,2024-06-11 20:00:00,2025-02-13 16:00:00,13449,2241,0.21285140562248997,0.48820457603027234,trained
d1_flat,17931,7,2020-01-02 04:00:00,2025-02-13 16:00:00,2025-02-13 20:00:00,2025-11-04 20:00:00,15690,2241,0.16287371709058457,0.6258302421357012,trained
d1_up,127663,1,2020-01-02 04:00:00,2020-09-29 20:00:00,2020-09-29 20:00:00,2021-05-11 00:00:00,15964,15957,0.20674312214075327,0.4932967928008942,trained
d1_up,127663,2,2020-01-02 04:00:00,2021-05-11 00:00:00,2021-05-11 04:00:00,2022-04-12 12:00:00,31921,15957,0.20975120636711161,0.4639273585752815,trained
d1_up,127663,3,2020-01-02 04:00:00,2022-04-12 12:00:00,2022-04-12 12:00:00,2023-01-13 16:00:00,47878,15957,0.22873973804599862,0.5218034062361213,trained
d1_up,127663,4,2020-01-02 04:00:00,2023-01-13 16:00:00,2023-01-13 16:00:00,2023-10-02 00:00:00,63835,15957,0.18731591151218902,0.5223382172015052,trained
d1_up,127663,5,2020-01-02 04:00:00,2023-10-02 00:00:00,2023-10-02 00:00:00,2024-06-05 00:00:00,79792,15957,0.2443441749702325,0.5455249933094599,trained
d1_up,127663,6,2020-01-02 04:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,2025-03-10 00:00:00,95749,15957,0.21915146957448142,0.4040705493495686,trained
d1_up,127663,7,2020-01-02 04:00:00,2025-03-10 00:00:00,2025-03-10 00:00:00,2025-11-04 20:00:00,111706,15957,0.14319734285893337,0.5260524632752592,trained
