bin,n_bin_rows,fold,train_start,train_end,val_start,val_end,train_n,val_n,base_rate_val,val_auc,status
2020-Q1,10714,1,2020-01-02 04:00:00,2020-01-14 00:00:00,2020-01-14 00:00:00,2020-01-24 00:00:00,1341,1339,0.05675877520537715,0.7228507730132934,trained
2020-Q1,10714,2,2020-01-02 04:00:00,2020-01-24 00:00:00,2020-01-24 00:00:00,2020-02-05 00:00:00,2680,1339,0.10455563853622106,0.7724294054569285,trained
2020-Q1,10714,3,2020-01-02 04:00:00,2020-02-05 00:00:00,2020-02-05 00:00:00,2020-02-17 00:00:00,4019,1339,0.19716206123973115,0.5182364341085272,trained
2020-Q1,10714,4,2020-01-02 04:00:00,2020-02-17 00:00:00,2020-02-17 00:00:00,2020-02-27 00:00:00,5358,1339,0.2479462285287528,0.5456054605711824,trained
2020-Q1,10714,5,2020-01-02 04:00:00,2020-02-27 00:00:00,2020-02-27 00:00:00,2020-03-10 00:00:00,6697,1339,0.2210604929051531,0.36936397087403805,trained
2020-Q1,10714,6,2020-01-02 04:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-20 00:00:00,8036,1339,0.26064227035100823,0.7764811438163873,trained
2020-Q1,10714,7,2020-01-02 04:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-31 20:00:00,9375,1339,0.24271844660194175,0.580183583674708,trained
2020-Q2,10920,1,2020-04-01 00:00:00,2020-04-13 00:00:00,2020-04-13 00:00:00,2020-04-23 04:00:00,1365,1365,0.1838827838827839,0.6392634131338202,trained
2020-Q2,10920,2,2020-04-01 00:00:00,2020-04-23 04:00:00,2020-04-23 04:00:00,2020-05-05 08:00:00,2730,1365,0.11208791208791209,0.7112480855928729,trained
2020-Q2,10920,3,2020-04-01 00:00:00,2020-05-05 08:00:00,2020-05-05 08:00:00,2020-05-15 08:00:00,4095,1365,0.16043956043956045,0.6035007610350076,trained
2020-Q2,10920,4,2020-04-01 00:00:00,2020-05-15 08:00:00,2020-05-15 12:00:00,2020-05-27 12:00:00,5460,1365,0.3523809523809524,0.6330185040592281,trained
2020-Q2,10920,5,2020-04-01 00:00:00,2020-05-27 12:00:00,2020-05-27 12:00:00,2020-06-08 16:00:00,6825,1365,0.31062271062271063,0.7116350530347082,trained
2020-Q2,10920,6,2020-04-01 00:00:00,2020-06-08 16:00:00,2020-06-08 16:00:00,2020-06-18 20:00:00,8190,1365,0.13772893772893774,0.5527892767403605,trained
2020-Q2,10920,7,2020-04-01 00:00:00,2020-06-18 20:00:00,2020-06-18 20:00:00,2020-06-30 20:00:00,9555,1365,0.32234432234432236,0.6412137592137592,trained
2020-Q3,11088,1,2020-07-01 00:00:00,2020-07-13 04:00:00,2020-07-13 04:00:00,2020-07-23 08:00:00,1386,1386,0.2922077922077922,0.7132404575829652,trained
2020-Q3,11088,2,2020-07-01 00:00:00,2020-07-23 08:00:00,2020-07-23 12:00:00,2020-08-04 16:00:00,2772,1386,0.34054834054834054,0.5537924656010088,trained
2020-Q3,11088,3,2020-07-01 00:00:00,2020-08-04 16:00:00,2020-08-04 16:00:00,2020-08-14 20:00:00,4158,1386,0.2712842712842713,0.6332815462397305,trained
2020-Q3,11088,4,2020-07-01 00:00:00,2020-08-14 20:00:00,2020-08-17 00:00:00,2020-08-27 04:00:00,5544,1386,0.3347763347763348,0.49011823060812326,trained
2020-Q3,11088,5,2020-07-01 00:00:00,2020-08-27 04:00:00,2020-08-27 04:00:00,2020-09-08 08:00:00,6930,1386,0.1984126984126984,0.5275443908027166,trained
2020-Q3,11088,6,2020-07-01 00:00:00,2020-09-08 08:00:00,2020-09-08 12:00:00,2020-09-18 16:00:00,8316,1386,0.1349206349206349,0.5914442962718486,trained
2020-Q3,11088,7,2020-07-01 00:00:00,2020-09-18 16:00:00,2020-09-18 16:00:00,2020-09-30 20:00:00,9702,1386,0.08152958152958154,0.6119611537097929,trained
2020-Q4,10920,1,2020-10-01 00:00:00,2020-10-13 00:00:00,2020-10-13 00:00:00,2020-10-23 04:00:00,1365,1365,0.1304029304029304,0.780160540688924,trained
2020-Q4,10920,2,2020-10-01 00:00:00,2020-10-23 04:00:00,2020-10-23 04:00:00,2020-11-04 08:00:00,2730,1365,0.1619047619047619,0.6679033636047211,trained
2020-Q4,10920,3,2020-10-01 00:00:00,2020-11-04 08:00:00,2020-11-04 08:00:00,2020-11-16 08:00:00,4095,1365,0.2564102564102564,0.547338494018297,trained
2020-Q4,10920,4,2020-10-01 00:00:00,2020-11-16 08:00:00,2020-11-16 12:00:00,2020-11-26 12:00:00,5460,1365,0.22124542124542124,0.6165793424831634,trained
2020-Q4,10920,5,2020-10-01 00:00:00,2020-11-26 12:00:00,2020-11-26 12:00:00,2020-12-08 16:00:00,6825,1365,0.17582417582417584,0.6598444444444445,trained
2020-Q4,10920,6,2020-10-01 00:00:00,2020-12-08 16:00:00,2020-12-08 16:00:00,2020-12-18 20:00:00,8190,1365,0.19413919413919414,0.6934168096054888,trained
2020-Q4,10920,7,2020-10-01 00:00:00,2020-12-18 20:00:00,2020-12-18 20:00:00,2020-12-31 20:00:00,9555,1365,0.1054945054945055,0.687394781144781,trained
2021-Q1,10584,1,2021-01-04 00:00:00,2021-01-13 20:00:00,2021-01-13 20:00:00,2021-01-25 16:00:00,1323,1323,0.15873015873015872,0.7657339665425921,trained
2021-Q1,10584,2,2021-01-04 00:00:00,2021-01-25 16:00:00,2021-01-25 16:00:00,2021-02-04 12:00:00,2646,1323,0.29554043839758126,0.5842892111126967,trained
2021-Q1,10584,3,2021-01-04 00:00:00,2021-02-04 12:00:00,2021-02-04 12:00:00,2021-02-16 08:00:00,3969,1323,0.3492063492063492,0.5437475803329461,trained
2021-Q1,10584,4,2021-01-04 00:00:00,2021-02-16 08:00:00,2021-02-16 12:00:00,2021-02-26 08:00:00,5292,1323,0.42479213907785335,0.6981542360913016,trained
2021-Q1,10584,5,2021-01-04 00:00:00,2021-02-26 08:00:00,2021-02-26 08:00:00,2021-03-10 04:00:00,6615,1323,0.30158730158730157,0.5261638945849472,trained
2021-Q1,10584,6,2021-01-04 00:00:00,2021-03-10 04:00:00,2021-03-10 04:00:00,2021-03-22 00:00:00,7938,1323,0.1307634164777022,0.5883438049761247,trained
2021-Q1,10584,7,2021-01-04 00:00:00,2021-03-22 00:00:00,2021-03-22 00:00:00,2021-03-31 20:00:00,9261,1323,0.2804232804232804,0.6816688939726834,trained
