feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
atr_14,0.03207809748583484,0.028935945571533343,0.03182910558429631,0.03928487878735467,0.03863777439568914,0.038504717965683055,0.03688309417263656
atr_50,0.04822773259478564,0.04219878339742964,0.04861246352005392,0.05573031783710394,0.05549308805579691,0.058031602381802626,0.055523989683987765
atr_200,0.056628309348231515,0.05145066647460765,0.05450494714350772,0.06228312294758389,0.06629950363238829,0.0701545765716671,0.060237193869332524
atr_ratio_14_50,0.02927474698684573,0.03264978640805929,0.02544079357513726,0.02206779192800466,0.02045692104583592,0.0210693931828476,0.02422230164354723
atr_ratio_14_200,0.03594336862549809,0.04522363216413705,0.03910933959534718,0.03290627312382591,0.034876804742090366,0.033550239258680906,0.03859642199364734
atr_percentile_20,0.0024176762110791877,0.004230022190766713,0.003727004093042555,0.003466192602888056,0.002943144471916296,0.003109359306429893,0.0036072850798338917
atr_percentile_60,0.008774644591980085,0.011153418551990153,0.008725734083908449,0.007391006584962602,0.009306959324252134,0.007901858225352163,0.007903528566815305
atr_percentile_200,0.01849688480121355,0.013453383816431968,0.011477075888668338,0.013805678807156808,0.012855417092534677,0.013188796827403955,0.012967196527045706
realised_vol_20,0.03004832795280206,0.028093922168264222,0.026086618025433755,0.023161133486815828,0.020876578105344264,0.018983379123885653,0.020576969373527997
range_compression_20,0.0012519130187017189,0.0015613672663839016,0.0011308756727364847,0.0009846305642322666,0.0009146260862808346,0.0009931458254660052,0.0008745150565701516
range_compression_60,0.0014484276441772525,0.0015203328111092367,0.001274663547963862,0.0011703700703474124,0.001031999024013613,0.0010646101130882713,0.0010837405309601857
ema_20_slope,0.016165181781394058,0.016349130045825683,0.01633757947386097,0.016111676310363185,0.013808836412103611,0.013937081078023715,0.016317257309438563
ema_50_slope,0.043002351497295456,0.037718618580061154,0.03953636122118782,0.03669304847995899,0.040916266491304,0.04220219740571559,0.042398765737734656
ema_200_slope,0.07560968282029051,0.07752622110403476,0.07163853692755581,0.07719827357904181,0.08586941771810787,0.07998695006151219,0.09574038072209998
ema_20_above_50,0.0012470204281457488,0.0016925269384517711,0.0010240441085088534,0.0013554167766410047,0.0010549829187747987,0.00110719266859216,0.0008520795031082957
ema_50_above_200,0.003240168253934744,0.016350122488514505,0.01481297671395058,0.014594348084547034,0.01386435921243393,0.014355917993988596,0.009642623471198257
ema_spread_20_50_atr,0.025149276064033995,0.028677870582049517,0.02157069919224553,0.02481838702644408,0.024541388084734213,0.020531162216913354,0.023377149917661405
adx_14,0.01907780994018464,0.016790124001694298,0.018719064025537257,0.016278058046499125,0.020073478584043913,0.019412390607669684,0.02033473771105594
di_plus_14,0.01275859145230399,0.015258579110545224,0.010032281228819325,0.009202197845153384,0.009140992198583544,0.006958867222971563,0.006917207694520583
di_minus_14,0.014899280618312017,0.017659855803346048,0.012200913128303672,0.010884757910580212,0.01181580866875247,0.009232696301226334,0.007901557844728386
position_in_range_20,0.009147538257113315,0.009801191067646844,0.008845457255376686,0.0071740170679183085,0.0077969301058109395,0.006987332499228906,0.006454672316404322
position_in_range_60,0.015349328370379119,0.013868769627369576,0.010514041134255817,0.013252469008168887,0.013464333029416598,0.010765908261530725,0.010731254367495436
body_ratio,0.0011089127907881694,0.0009476509483447189,0.0008931384327328326,0.000896379824747719,0.0007126289378052444,0.0005816594231595093,0.0006172578398558183
close_in_bar,0.0008659596807298206,0.0009636957325345958,0.0009242466232401504,0.0008498414985890158,0.000783958512876288,0.0005789205843477363,0.0006906391316375349
body_size_atr,0.0011429649914412661,0.0013236982034503203,0.0008104982981758679,0.0010159049965404955,0.0009627362243349404,0.0007602743246305023,0.0006057105481431756
prev_3_body_ratio_mean,0.0015502221419384898,0.00185084215326792,0.0018381357742771598,0.0016249807075087803,0.0016629928835454222,0.0014482570562495212,0.0013310435731460387
prev_3_body_size_atr_mean,0.0018833086257807113,0.002827277887836606,0.001816277916998312,0.002542464345127323,0.0019136418594664839,0.0019910580770784118,0.0019100124686105148
recent_5_bar_size_pct_atr,0.0033722533829103423,0.004816186707747808,0.0045241728620452615,0.004138458046799457,0.004409914380734189,0.004748111906655669,0.004890741475788138
day_of_week,0.001693045339197994,0.0018045016264849366,0.0019157207715910392,0.001500456685281947,0.0016443661746746358,0.001845720619969306,0.001628008979339492
session_marker,0.00010753433458501887,0.00011443697978653974,0.00019381049988742674,0.00015020802036386173,0.00011196530010541117,0.00015957207588531406,0.00019873469065638776
hour_of_week,0.0037947336448974508,0.004532646415037038,0.0035671052835348905,0.0031726618237269406,0.003046109445207018,0.0026114927399017358,0.0030323641206199464
d1_ema_50_slope_at_entry,0.06831139369062034,0.06264814576582725,0.06719911042347963,0.07171542797491644,0.06652262843456334,0.07020845200471569,0.07384433911077187
d1_close_above_ema_50,0.006050090181160617,0.004459703415040445,0.014953786367247483,0.01396219389642762,0.015519543269547083,0.016999835260204786,0.014580641582519382
d1_atr_percentile_20,0.015002831174159584,0.013157779298264864,0.02579143874664302,0.021202728754344802,0.02341248757758453,0.019025311400095803,0.015548393046408673
d1_atr_percentile_60,0.04910191451785849,0.03611904205268111,0.034465721337027085,0.04930186810672712,0.05011113167684122,0.05401894539241632,0.052455960284603496
d1_range_compression_20,0.011464317380454878,0.011774404683187422,0.01630059580671758,0.011494135710591977,0.01118739769095626,0.012393796914550177,0.010922085686993804
d1_realised_vol_20,0.052313877591661014,0.04030334377259107,0.05002608262842782,0.0596303655297837,0.04263847009149841,0.04762030345241382,0.04892549870030747
d1_atr_14_normalised,0.04783222184580851,0.048715157450450026,0.05066330241492881,0.049096140467597,0.05310060736044397,0.052469914417204236,0.055220231598387404
d1_higher_highs_5,0.007974500771094127,0.005910204677634293,0.007256532797960908,0.00818879184041184,0.006723397782044368,0.010092550837043735,0.008983816954825067
d1_higher_lows_5,0.004999161645523977,0.006005688724051531,0.006391451011208215,0.005377916749325396,0.005070734356424228,0.006317422950014065,0.005334064807521574
d1_swing_state,0.004359155229486705,0.005996707934786696,0.005493265298815557,0.004447032439023654,0.0063674807467843444,0.008330442797231082,0.010512787216342231
d1_ema_stack_up,0.004979490811706282,0.004084106396749462,0.005331659514550255,0.006828754003575637,0.006039213146305424,0.004844592608598268,0.005487087955980504
d1_momentum_5_atr,0.01707572343831023,0.018463592299849573,0.01588982072040925,0.016373837143756984,0.014164837496090956,0.015044531468469187,0.0163809452246244
d1_momentum_20_atr,0.04341333800385315,0.046407307494769,0.0389213325687214,0.036686231684146337,0.03623413685970306,0.03284470154745292,0.030559244337431943
h4_ema_stack_up,0.002757950895577202,0.004211151459313796,0.009022743450298597,0.010593139583388035,0.006135513134973899,0.006210656094397789,0.004873381391694863
