cluster_label,t,n_trades_alive_at_t,n_positive_at_t,n_positive_excluded,exclusion_rate,rf_roc_auc_mean,rf_roc_auc_std,rf_pr_auc_mean,rf_pr_auc_std,rf_per_fold_roc_auc,passes_auc_gate,passes_exclusion_gate,chosen_t_for_cluster,selected_threshold,threshold_precision,threshold_recall
c1,1,830,365,0,0.0,0.617764030048608,0.03380861495088304,0.5338982728241023,0.033477707870955296,0.6083;0.6484;0.6574;0.5795;0.5952,True,True,True,0.5,0.75,0.6821917808219178
c1,2,799,364,1,0.0027397260273972603,0.6478209905701638,0.06048963100135542,0.5802548429746667,0.06809554711698908,0.6750;0.6037;0.6160;0.6024;0.7420,True,True,False,0.5,0.7111111111111111,0.7032967032967034
c1,3,783,363,2,0.005479452054794521,0.6712233637747336,0.04624860344496994,0.6007318100650546,0.03549858020433351,0.6698;0.6365;0.6486;0.6501;0.7512,True,True,False,0.5,0.6453744493392071,0.8071625344352618
c1,4,751,361,4,0.010958904109589041,0.7134776372790071,0.03689941358453537,0.668607969086912,0.03923705328810198,0.7634;0.6766;0.7347;0.6797;0.7130,True,True,False,0.6,0.856140350877193,0.6759002770083102
c1,5,712,357,8,0.021917808219178082,0.7081625118472965,0.02977031041261931,0.6723220549845602,0.04887491284487195,0.6579;0.7050;0.7241;0.7221;0.7318,True,True,False,0.6,0.8178913738019169,0.7170868347338936
c1,10,596,338,27,0.07397260273972603,0.6652253935274387,0.026799677199625224,0.6858395164847417,0.040754366413982474,0.6632;0.6363;0.6696;0.6497;0.7073,True,True,False,0.6,0.8125,0.7307692307692307
c4,1,830,122,0,0.0,0.5929668864249324,0.053000570434708495,0.23650987197433926,0.060762581585633524,0.6699;0.5778;0.5390;0.6218;0.5563,False,True,False,,,
c4,2,799,122,0,0.0,0.6152524146695716,0.07479106551022328,0.24133036965736593,0.06510718368608301,0.5162;0.5600;0.6495;0.6993;0.6512,True,True,True,,,
c4,3,783,122,0,0.0,0.6394035657325131,0.07257554842880486,0.2970502346941094,0.08861141003256066,0.6253;0.5555;0.6630;0.6042;0.7491,True,True,False,,,
c4,4,751,122,0,0.0,0.6416827936507936,0.06710323469960608,0.264474293905073,0.07605225644346311,0.6517;0.6429;0.7401;0.5536;0.6202,True,True,False,,,
c4,5,712,122,0,0.0,0.6442316384180791,0.08294436934157112,0.2939163036493928,0.07483663160098945,0.7020;0.6173;0.5215;0.7359;0.6444,True,True,False,,,
c4,10,596,122,0,0.0,0.6302353863381859,0.07686586577565833,0.32436114946150524,0.08505455977172874,0.5941;0.5268;0.6184;0.7018;0.7101,True,True,False,,,
