trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
0,USD_CAD,1.0,1,0.0,1.0
1,USD_CHF,0.0,0,0.0,0.0
2,EUR_USD,0.0,1,0.0,1.0
3,GBP_AUD,0.0,0,0.0,0.0
4,GBP_CAD,0.0,0,0.0,0.0
5,GBP_CHF,0.0,0,0.0,0.0
6,GBP_JPY,0.0,0,0.0,0.0
7,GBP_NZD,0.0,0,0.0,0.0
8,GBP_USD,0.0,0,0.0,0.0
9,NZD_USD,1.0,1,0.0,1.0
10,AUD_NZD,0.0,1,0.0,1.0
11,EUR_CHF,0.0,1,0.0,1.0
12,EUR_NZD,0.0,1,0.0,1.0
13,GBP_AUD,0.0,0,0.0,0.0
14,GBP_CAD,0.0,0,0.0,0.0
15,GBP_CHF,0.0,0,0.0,0.0
16,GBP_JPY,0.0,0,0.0,0.0
17,GBP_NZD,0.0,0,0.0,0.0
18,GBP_USD,0.0,1,0.0,1.0
19,USD_CAD,0.0,1,0.0,1.0
20,USD_CHF,0.0,0,0.0,0.0
21,EUR_GBP,1.0,1,0.0,1.0
22,USD_CAD,1.0,1,0.0,1.0
23,USD_JPY,1.0,1,0.0,1.0
24,AUD_CAD,1.0,1,0.0,1.0
25,AUD_CHF,0.0,1,0.0,1.0
26,AUD_NZD,1.0,0,0.0,0.0
27,EUR_CAD,0.0,0,0.0,0.0
28,EUR_NZD,1.0,0,0.0,0.0
29,GBP_AUD,1.0,0,0.0,0.0
30,GBP_CAD,1.0,0,0.0,0.0
31,GBP_CHF,1.0,0,0.0,0.0
32,GBP_JPY,0.0,0,0.0,0.0
33,GBP_NZD,1.0,0,0.0,0.0
34,GBP_USD,1.0,1,0.0,1.0
35,CHF_JPY,0.0,0,0.0,0.0
36,USD_CHF,1.0,1,0.0,1.0
37,GBP_NZD,0.0,0,0.0,0.0
38,USD_CAD,1.0,1,0.0,1.0
39,AUD_NZD,0.0,0,0.0,0.0
40,AUD_USD,0.0,0,0.0,0.0
41,NZD_JPY,0.0,0,0.0,0.0
42,NZD_USD,0.0,0,0.0,0.0
43,EUR_NZD,0.0,0,0.0,0.0
44,AUD_CAD,1.0,1,0.0,1.0
45,AUD_CHF,0.0,0,0.0,0.0
46,AUD_JPY,0.0,0,0.0,0.0
47,AUD_USD,1.0,1,0.0,1.0
48,CAD_JPY,0.0,0,0.0,0.0
49,EUR_JPY,0.0,0,0.0,0.0
50,GBP_JPY,0.0,1,0.0,1.0
51,NZD_CHF,0.0,1,0.0,1.0
52,NZD_JPY,0.0,0,0.0,0.0
53,NZD_USD,1.0,1,0.0,1.0
54,AUD_CHF,1.0,1,0.0,1.0
55,AUD_JPY,1.0,1,0.0,1.0
56,CAD_CHF,1.0,1,0.0,1.0
57,CAD_JPY,1.0,1,0.0,1.0
58,CHF_JPY,0.0,0,0.0,0.0
59,EUR_CHF,1.0,1,0.0,1.0
60,EUR_JPY,0.0,0,0.0,0.0
61,NZD_JPY,0.0,1,0.0,1.0
62,USD_CHF,0.0,1,0.0,1.0
63,USD_JPY,0.0,1,0.0,1.0
64,USD_CAD,0.0,1,0.0,1.0
