percentile,fwd_mfe_h240_R,final_r
1,0.30520383566617965,-5.432350888252258
5,0.5512869983911515,-3.2819401264190673
10,0.7900950014591217,-2.2321385383605956
20,1.2990990161895752,-1.4221286058425904
30,1.8061264634132383,-1.1973738193511962
40,2.1201510429382324,-1.0485085248947144
50,2.591694951057434,-0.9589604735374451
60,3.183526992797851,-0.8394635081291201
70,3.8627099514007566,-0.6804682970046998
80,4.768751049041748,-0.30627066493034294
90,6.504690074920658,0.7037734985351567
95,8.055207920074462,1.4603590428829165
99,12.022800168991106,3.1354294633865436
