trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
AUD_USD_2010-02-18 20:00:00,AUD_USD,0.0,0,0.0,0.0
EUR_GBP_2010-02-23 16:00:00,EUR_GBP,0.51282054,16,0.0,0.5365854
CAD_JPY_2010-03-04 04:00:00,CAD_JPY,0.4117647,6,0.14095831,0.5882353
AUD_CAD_2010-03-11 20:00:00,AUD_CAD,0.0,3,0.0,0.75
GBP_JPY_2010-03-19 04:00:00,GBP_JPY,0.0,0,0.0,0.0
NZD_CHF_2010-03-19 04:00:00,NZD_CHF,0.0,1,0.0,0.16666667
AUD_CHF_2010-03-31 08:00:00,AUD_CHF,0.0,0,0.0,0.0
NZD_CAD_2010-04-13 12:00:00,NZD_CAD,0.0,0,0.0,0.0
EUR_USD_2010-04-15 08:00:00,EUR_USD,0.5,1,0.0,0.1
AUD_NZD_2010-04-16 08:00:00,AUD_NZD,0.0,1,0.0,0.25
AUD_NZD_2010-04-21 20:00:00,AUD_NZD,1.0,0,0.0,0.0
EUR_JPY_2010-05-11 20:00:00,EUR_JPY,1.0,1,0.0,1.0
AUD_CHF_2010-05-17 00:00:00,AUD_CHF,0.0,1,0.0,0.33333334
AUD_CHF_2010-05-17 08:00:00,AUD_CHF,0.0,0,0.0,0.0
EUR_CAD_2010-05-24 08:00:00,EUR_CAD,1.0,1,0.0,1.0
AUD_CHF_2010-06-01 00:00:00,AUD_CHF,0.0,1,0.0,0.33333334
AUD_NZD_2010-06-11 08:00:00,AUD_NZD,1.0,1,0.0,0.75
NZD_JPY_2010-06-15 04:00:00,NZD_JPY,0.43333334,12,0.0,0.8333333
GBP_USD_2010-06-22 20:00:00,GBP_USD,0.6,7,0.0,0.53333336
GBP_JPY_2010-07-12 04:00:00,GBP_JPY,0.0,2,0.0,0.4
EUR_JPY_2010-07-19 16:00:00,EUR_JPY,0.6666667,3,0.0,0.25
NZD_CAD_2010-08-10 20:00:00,NZD_CAD,0.6666667,4,0.0,0.30769232
USD_CAD_2010-08-16 04:00:00,USD_CAD,0.33333334,1,0.0,0.09090909
GBP_USD_2010-08-18 12:00:00,GBP_USD,1.0,2,0.0,0.45454547
NZD_CAD_2010-08-25 12:00:00,NZD_CAD,0.5,2,0.39053738,1.0
CHF_JPY_2010-08-30 20:00:00,CHF_JPY,0.5833333,7,0.0,0.7692308
CHF_JPY_2010-08-31 16:00:00,CHF_JPY,0.5081967,11,0.0,0.97183096
NZD_CAD_2010-09-14 20:00:00,NZD_CAD,0.5,1,0.0,0.2
EUR_AUD_2010-09-27 16:00:00,EUR_AUD,1.0,2,0.0,1.0
EUR_JPY_2010-11-05 08:00:00,EUR_JPY,0.0,0,0.0,0.0
CHF_JPY_2010-11-09 00:00:00,CHF_JPY,0.5263158,5,0.0,0.42105263
CAD_CHF_2010-11-15 08:00:00,CAD_CHF,0.33333334,2,1.1404151,0.59375
GBP_CAD_2010-11-16 16:00:00,GBP_CAD,0.7058824,6,0.32424474,0.8888889
AUD_CHF_2010-11-17 04:00:00,AUD_CHF,0.61538464,5,0.08391949,0.61538464
USD_CAD_2010-11-19 04:00:00,USD_CAD,0.5,2,0.0,0.4
USD_CAD_2010-12-22 08:00:00,USD_CAD,0.0,0,0.0,0.0
AUD_CHF_2011-01-10 04:00:00,AUD_CHF,0.5,2,0.0,0.18181819
USD_JPY_2011-01-10 12:00:00,USD_JPY,1.0,2,0.0,1.0
CAD_JPY_2011-01-10 12:00:00,CAD_JPY,0.6923077,7,0.0,0.84615386
USD_CAD_2011-02-11 12:00:00,USD_CAD,0.0,0,0.0,0.0
AUD_CAD_2011-02-21 12:00:00,AUD_CAD,0.0,0,0.0,0.0
EUR_AUD_2011-02-24 12:00:00,EUR_AUD,0.33333334,0,0.0,0.0
EUR_CAD_2011-02-25 08:00:00,EUR_CAD,0.0,0,0.0,0.0
GBP_CAD_2011-04-29 20:00:00,GBP_CAD,0.4,1,0.0,0.375
EUR_JPY_2011-05-02 12:00:00,EUR_JPY,0.0,0,0.0,0.0
NZD_USD_2011-05-11 12:00:00,NZD_USD,0.25,1,0.0,0.42857143
AUD_CHF_2011-05-12 00:00:00,AUD_CHF,0.41666666,3,0.17146337,0.44444445
USD_CHF_2011-07-05 08:00:00,USD_CHF,1.0,1,0.0,0.25
CAD_CHF_2011-08-18 12:00:00,CAD_CHF,0.5,4,0.0,0.44444445
EUR_JPY_2011-08-29 08:00:00,EUR_JPY,0.25,1,0.0,0.1
EUR_GBP_2011-09-23 08:00:00,EUR_GBP,0.0,1,0.0,0.25
NZD_CAD_2011-10-31 16:00:00,NZD_CAD,0.71428573,2,0.63632125,0.3846154
NZD_CHF_2011-11-01 08:00:00,NZD_CHF,0.0,0,0.0,0.0
GBP_CAD_2011-11-08 16:00:00,GBP_CAD,0.6666667,3,0.31464332,0.3
GBP_NZD_2011-12-16 00:00:00,GBP_NZD,0.0,0,0.0,0.0
USD_CHF_2011-12-26 08:00:00,USD_CHF,0.5263158,7,0.116848946,0.72
AUD_USD_2011-12-28 12:00:00,AUD_USD,0.0,0,0.0,0.0
GBP_USD_2012-01-05 08:00:00,GBP_USD,0.0,0,0.0,0.0
AUD_JPY_2012-01-05 20:00:00,AUD_JPY,0.0,1,0.0,0.5
