group,metric,bin_atr,n,pct
ALL_winners,prepeak_dip,0-0.5,282,17.216117216117215
ALL_winners,prepeak_dip,0.5-1.0,267,16.3003663003663
ALL_winners,prepeak_dip,1.0-1.5,244,14.896214896214897
ALL_winners,prepeak_dip,1.5-2.0,213,13.003663003663004
ALL_winners,prepeak_dip,2.0-2.5,172,10.5006105006105
ALL_winners,prepeak_dip,2.5-3.0,168,10.256410256410257
ALL_winners,prepeak_dip,3.0-3.5,152,9.27960927960928
ALL_winners,prepeak_dip,3.5+,140,8.547008547008547
ALL_winners,first_bar_low,0-0.5,1047,63.91941391941392
ALL_winners,first_bar_low,0.5-1.0,443,27.045177045177045
ALL_winners,first_bar_low,1.0-1.5,101,6.166056166056166
ALL_winners,first_bar_low,1.5-2.0,41,2.503052503052503
ALL_winners,first_bar_low,2.0-2.5,5,0.3052503052503053
ALL_winners,first_bar_low,2.5-3.0,1,0.06105006105006105
ALL_winners,first_bar_low,3.0-3.5,0,0.0
ALL_winners,first_bar_low,3.5+,0,0.0
ALL_trades,prepeak_dip,0-0.5,445,13.48076340502878
ALL_trades,prepeak_dip,0.5-1.0,444,13.4504695546804
ALL_trades,prepeak_dip,1.0-1.5,368,11.148136928203575
ALL_trades,prepeak_dip,1.5-2.0,286,8.664041199636474
ALL_trades,prepeak_dip,2.0-2.5,228,6.906997879430476
ALL_trades,prepeak_dip,2.5-3.0,214,6.4828839745531655
ALL_trades,prepeak_dip,3.0-3.5,185,5.604362314450166
ALL_trades,prepeak_dip,3.5+,1131,34.262344744016964
ALL_trades,first_bar_low,0-0.5,1902,57.61890336261739
ALL_trades,first_bar_low,0.5-1.0,960,29.082096334444106
ALL_trades,first_bar_low,1.0-1.5,267,8.088458043017267
ALL_trades,first_bar_low,1.5-2.0,113,3.4232050893668586
ALL_trades,first_bar_low,2.0-2.5,40,1.2117540139351712
ALL_trades,first_bar_low,2.5-3.0,9,0.27264465313541353
ALL_trades,first_bar_low,3.0-3.5,3,0.09088155104513784
ALL_trades,first_bar_low,3.5+,7,0.21205695243865497
