t,n_trades_alive,n_winners_alive,all_mfe_p10,all_mfe_p25,all_mfe_p50,all_mfe_p75,all_mfe_p90,all_mae_p10,all_mae_p25,all_mae_p50,all_mae_p75,all_mae_p90,win_mfe_p10,win_mfe_p25,win_mfe_p50,win_mfe_p75,win_mfe_p90,win_mae_p10,win_mae_p25,win_mae_p50,win_mae_p75,win_mae_p90
0,3301,1638,0.02741493777225245,0.1283515308481068,0.3276574928084444,0.632510532772098,1.004437894282651,-1.127626287498755,-0.739014141603204,-0.4360222175010513,-0.2359809422604298,-0.11330533988206523,0.04553853280458802,0.1579427107351767,0.384196369485816,0.7099758828719731,1.1463368993822738,-0.969940981313773,-0.6426543074643438,-0.38683716603845664,-0.20449321165022022,-0.09948809352114758
1,3301,1638,0.06289899230235937,0.20900455140040225,0.49241058238765784,0.9047045944471316,1.4234113304590137,-1.626624567318266,-1.0099035209314675,-0.5973334092785778,-0.32530330981787786,-0.15525554605579903,0.09965570575224977,0.27962602763616595,0.6069528993084102,1.0961779018329278,1.6533760736001282,-1.271373306948405,-0.8247391243691823,-0.49262612072284595,-0.2693412552537343,-0.12111860289148078
2,3301,1638,0.0849667571780229,0.27743490387823455,0.6318831155696518,1.1129086696615103,1.7011934607454546,-1.9461452947428233,-1.286870934456077,-0.7323408585004555,-0.39041399281920464,-0.18343316246316152,0.1570435277796219,0.4020611561899788,0.7851973387385771,1.3485323329697625,2.043204121042558,-1.5187448129309795,-0.9748270500410974,-0.5823012089479149,-0.31524396839405355,-0.14403658863274685
3,3301,1638,0.10564267414410915,0.3303679559333863,0.7537250289608671,1.3329685016942467,1.9967788223908258,-2.219848756138018,-1.4855440858245594,-0.8398845782607378,-0.4341228501654452,-0.20528312400023951,0.19886236248753572,0.5016011091529479,1.028851820143741,1.6506865044744148,2.4102068791372844,-1.680625481304293,-1.1339051371505173,-0.6535883309858127,-0.34691107436703295,-0.15852113969921416
4,3301,1638,0.1283515308481068,0.39354323127017443,0.8537321954911264,1.5503673310498085,2.2990017117046957,-2.5812531918075314,-1.6827993898658902,-0.9572080905631661,-0.48909553847679194,-0.23089316864107906,0.2538601383422275,0.6174472913307425,1.2086366224127822,1.9117937637337405,2.7589758651839253,-1.8742397034402865,-1.2818261742204786,-0.738301876876615,-0.3769309558781548,-0.17013160891751028
5,3301,1638,0.1522060060628459,0.43907076218211966,0.9574057312488633,1.723654518144433,2.5803487480112315,-2.808558473988563,-1.8670602922858426,-1.0520817879721958,-0.5414689913099047,-0.2552154963670535,0.3310146916181055,0.7345626900618465,1.4007490557477666,2.1812643410666457,3.1188233809426373,-1.989388144909528,-1.379930508046268,-0.7858726876393117,-0.4019486894749171,-0.18197075937267876
6,3301,1638,0.16478698786931442,0.4857388693719432,1.0601706019498278,1.8579447434263947,2.8260827330844878,-2.9884246011004754,-2.0041038277233847,-1.141863181191399,-0.5849483876146666,-0.2714822188155014,0.38501090461925513,0.8222878518267739,1.544400480826673,2.4810581560023492,3.4673865856425725,-2.0690147817701106,-1.4259066101291071,-0.8328851872516573,-0.41961029683319423,-0.1855570476938002
7,3301,1638,0.17744848980054787,0.5206200898218586,1.1214303508173602,1.9967788223908258,2.9825848285340903,-3.1445151902886557,-2.144160885795539,-1.2273913137903794,-0.6242705443639659,-0.2876387150519017,0.43202664396845064,0.8906374585889268,1.680089437951894,2.6220516537499403,3.666612710525525,-2.1799630669231136,-1.4672140584733233,-0.8675640245607388,-0.4284137363199229,-0.1866664917924115
8,3301,1638,0.18909684209226332,0.5608898691787846,1.1696907325352472,2.083005002137945,3.1093480089723533,-3.2936942463248204,-2.2761033521893363,-1.3180823610325405,-0.6527255972363559,-0.29868635913131125,0.4712544933073566,0.9517840387926606,1.7893091860345869,2.804971059324766,3.8156751773447555,-2.240284829551888,-1.5315899896190683,-0.8981890103040265,-0.4385307289612774,-0.19306591506369875
9,3301,1638,0.19768465770532134,0.5844341121868767,1.2422338790630503,2.2111611828519897,3.2772358779068598,-3.476423247180931,-2.395951390116069,-1.3869662969808132,-0.6837567857769714,-0.3179008225091543,0.539134166694502,1.0548172000756406,1.9377507586084,2.9570876148827527,3.9894769685416596,-2.269068981481518,-1.5874474171158741,-0.9378870560224113,-0.45203092734472344,-0.1983288772187727
10,3301,1638,0.2092977445033959,0.6186549440332281,1.3273682233439126,2.365285894279059,3.468718726842721,-3.6416973916678317,-2.533341198048143,-1.4631792253913674,-0.7307164664746589,-0.32516320025691703,0.5775430214101277,1.1445569299663887,2.0275315902728677,3.1419810320346486,4.236191640689821,-2.309330222231953,-1.6375734094101604,-0.965395674510596,-0.45821624566268526,-0.203604229568491
