cell,spread_mult,swap_on,slip_per_fill_pips,worst_fold_ratio,worst_fold_dd,worst_fold_roi,mean_fold_roi,mean_fold_dd,sign_consistency,neg_folds,holdout_roi,holdout_dd,holdout_ratio,n_search_trades,n_holdout_trades,n_zero_spread,verdict
1,1.0,False,0.0,5.285836156989429,0.09264053063793894,0.26123954811887207,0.49319836321330823,0.03845864528986507,11,0,0.5832973247227207,0.05065135479791542,11.51592740312499,2162,1139,0,DD_WATCH
2,1.0,False,0.5,4.915514442590058,0.09369696657301889,0.2500714240083972,0.4745102854826561,0.039211002530844315,11,0,0.5602424021736612,0.051446429543181994,10.889820870920051,2162,1139,0,DD_WATCH
3,1.0,False,1.0,4.5678026263111535,0.09475222205486664,0.2390016117139313,0.45606963901720204,0.0399798565852317,11,0,0.5375213388653748,0.052240885204545534,10.289284662018026,2162,1139,0,DD_WATCH
4,1.0,True,0.0,2.6898884297391983,0.09980710095430267,0.14956593436861154,0.3209435209505656,0.04320225606917661,11,0,0.37883854474820056,0.05850145637186699,6.47571134537399,2162,1139,0,DD_WATCH
5,1.0,True,0.5,2.4509830655324465,0.10115961873468043,0.13537783037327777,0.3046488459825996,0.0440868891041839,11,0,0.3587472638508631,0.060880258545686246,5.8926698476756485,2162,1139,0,FAIL_DD_HARD
6,1.0,True,1.0,2.2250180915604734,0.10261920127192724,0.12136384306082482,0.2885658316973483,0.04511324063864363,11,0,0.33896067844835653,0.063253186865286,5.358792105925996,2162,1139,0,FAIL_DD_HARD
7,1.5,False,0.0,4.864361510660578,0.09657069507322585,0.24623627551921912,0.4547860635252995,0.040208048963204374,11,0,0.5494155409965051,0.05170360856289061,10.626251363639614,2162,1139,0,DD_WATCH
8,1.5,False,0.5,4.521337862099744,0.09762272142885986,0.23575957710361894,0.4365862403331455,0.040983005211666146,11,0,0.5268515031741141,0.05259154447227036,10.017798649208792,2162,1139,0,DD_WATCH
9,1.5,False,1.0,4.198592428540542,0.09867357207329813,0.22537044895718683,0.41862718767664975,0.04179490035219268,11,0,0.5046142519404089,0.05347870387970984,9.43579809030979,2162,1139,0,DD_WATCH
10,1.5,True,0.0,2.4273764634341433,0.10467913268183235,0.12899136192573635,0.2871208584135391,0.04537679747402744,11,0,0.3493868364575188,0.06309123748822573,5.537802876710452,2162,1139,0,FAIL_DD_HARD
11,1.5,True,0.5,2.2038032121797544,0.10613314694707184,0.11505589870834165,0.27124639012561413,0.04659178778573423,11,0,0.3297360066429873,0.06545871076050969,5.0373128772635765,2162,1139,0,FAIL_DD_HARD
12,1.5,True,1.0,1.9920248010066435,0.10758487599177928,0.1012914676386345,0.2555780168564507,0.048299463331937804,11,0,0.31036976780971703,0.06782033749523114,4.576352452264647,2162,1139,0,FAIL_DD_HARD
13,2.0,False,0.0,4.475716692905723,0.10048456654438957,0.1987592782304639,0.4175878529264379,0.04225458274723077,11,0,0.516250367047564,0.053181330010924496,9.70736096561549,2162,1139,0,FAIL_DD_HARD
14,2.0,False,0.5,4.157114905571073,0.1015322009152004,0.18867972630659624,0.3998606713959925,0.04312965725851665,11,0,0.49416688360733074,0.054067964341322355,9.139735324373131,2162,1139,0,FAIL_DD_HARD
15,2.0,False,1.0,3.856775826906887,0.10257866429866565,0.1786844415839044,0.38236781755705035,0.0440038307515347,11,0,0.47240326219417095,0.055953637906512574,8.442762255842293,2162,1139,0,FAIL_DD_HARD
