pair,n,n_win,win_rate,mean_r,total_r,mean_win_r,mean_loss_r,profit_factor,share_of_trades,share_of_total_r,rank_total_r,rank_mean_r,rank_gap
GBPCAD,125,95,0.76,0.5346349179982666,66.82936474978332,1.0192564710503507,-1.0,3.2276454916594437,0.03965736040609137,0.05069853422726076,1,5,-4
EURGBP,118,89,0.7542372881355932,0.5504601155595055,64.95429363602165,1.0504750696438696,-0.9840685366304399,3.2760642632653085,0.037436548223350255,0.0492760553903674,2,3,-1
GBPNZD,104,81,0.7788461538461539,0.6211702165005719,64.60170251605948,1.075216342614875,-0.977861792858496,3.8723585430213565,0.03299492385786802,0.04900857038537656,3,1,2
CHFJPY,117,87,0.7435897435897436,0.5289228163630868,61.88396951448115,1.05613758062622,-1.0,3.0627989838160383,0.03711928934010152,0.04694682581969113,4,6,-2
EURJPY,109,82,0.7522935779816514,0.5575772779501301,60.77592329656419,1.07043808898249,-1.0,3.2509601220949698,0.034581218274111675,0.04610623247700741,5,2,3
AUDUSD,112,90,0.8035714285714286,0.5234343936412553,58.62465208782059,0.8958294676424509,-1.0,3.6647569130827535,0.03553299492385787,0.04447422089920828,6,8,-2
NZDCAD,133,93,0.6992481203007519,0.4321794657457428,57.47986894418379,1.037417945636385,-0.975,2.4738427934406104,0.04219543147208122,0.043605757947214566,7,12,-5
USDCAD,104,81,0.7788461538461539,0.5372670578279615,55.875774014107996,0.9737749878284939,-1.0,3.429381478874261,0.03299492385786802,0.04238884885312525,8,4,4
USDJPY,106,80,0.7547169811320755,0.5246425145320417,55.612106540396425,1.0076513317549554,-0.9615384615384616,3.224484261615857,0.03362944162436548,0.04218882369217046,9,7,2
EURCAD,111,85,0.7657657657657657,0.478681512593087,53.13364789783266,0.9259309864980619,-0.9834802290193305,3.0779287492765306,0.03521573604060914,0.04030859902160337,10,10,0
EURCHF,124,85,0.6854838709677419,0.41033519156383536,50.881563753915586,1.052153337754534,-0.9884992296210209,2.3198345954906,0.03934010152284264,0.038600108068853126,11,15,-4
EURAUD,118,82,0.6949152542372882,0.41455835499269794,48.917885889138354,1.0197686029302058,-0.9639760986427373,2.409609808272619,0.037436548223350255,0.03711040979308064,12,14,-2
GBPJPY,100,75,0.75,0.48712442207828494,48.712442207828495,0.9828325627710464,-1.0,2.948497688313139,0.031725888324873094,0.03695455475020151,13,9,4
GBPAUD,107,73,0.6822429906542056,0.4296904377136777,45.97687683536351,1.0898251629018185,-0.9876576487196833,2.3691597337863004,0.03394670050761421,0.0348792820734958,14,13,1
CADJPY,110,78,0.7090909090909091,0.40776908657932337,44.85459952372557,0.985315378509302,-1.0,2.4017062351164236,0.03489847715736041,0.03402789264446881,15,16,-1
AUDCHF,131,94,0.7175572519083969,0.3410985912461133,44.68391545324084,0.8583395260983067,-0.972972972972973,2.241219873701134,0.041560913705583756,0.03389840716721016,16,21,-5
CADCHF,133,92,0.6917293233082706,0.33300111810769006,44.28914870832278,0.9195836189985714,-0.9832327863303854,2.098644343684862,0.04219543147208122,0.03359892661096145,17,23,-6
EURNZD,113,80,0.7079646017699115,0.3870041065267192,43.73146403751927,0.9591433004689909,-1.0,2.3251958799248267,0.0358502538071066,0.03317585218138082,18,19,-1
USDCHF,109,76,0.6972477064220184,0.38737528439912017,42.2239059995041,0.9798785092896707,-0.9771775971669964,2.3093958628654594,0.034581218274111675,0.032032178542164585,19,18,1
EURUSD,93,68,0.7311827956989247,0.4425756774760068,41.15953800526863,0.9504572502675623,-0.9388622005170242,2.7535922942728925,0.02950507614213198,0.031224720662111596,20,11,9
NZDJPY,112,77,0.6875,0.36705860436647103,41.11056368904475,0.9884488790785037,-1.0,2.174587533972708,0.03553299492385787,0.031187567442765143,21,20,1
AUDJPY,101,70,0.693069306930693,0.4036171211817142,40.765329239353136,1.00602804371336,-0.95666560711555,2.3745770840337763,0.032043147208121826,0.03092566340358038,22,17,5
GBPUSD,101,67,0.6633663366336634,0.34030318271405835,34.37062145411989,0.9915356043129738,-0.9430077657308636,2.071996082895503,0.032043147208121826,0.026074467933792086,23,22,1
AUDCAD,131,88,0.6717557251908397,0.26147753389060535,34.2535569396693,0.8731828462700206,-0.9903845007463378,1.8043283662394443,0.041560913705583756,0.025985659678395792,24,26,-2
AUDNZD,107,74,0.6915887850467289,0.31962816599682653,34.200213761660436,0.902055443417776,-0.9864208803410607,2.050636837321792,0.03394670050761421,0.025945192124256992,25,24,1
NZDUSD,91,61,0.6703296703296703,0.30267948606425327,27.543833231847046,0.9433415283909352,-1.0,1.9181277743949015,0.028870558375634518,0.020895484748106742,26,25,1
GBPCHF,109,70,0.6422018348623854,0.24241550112225338,26.42328962232562,0.9212578640839274,-0.9760195093217772,1.6941667049228324,0.034581218274111675,0.020045410551633933,27,27,0
NZDCHF,123,76,0.6178861788617886,0.19757304663933578,24.3014847366383,0.9268904102134851,-0.9817486476507781,1.5266652192231063,0.03902284263959391,0.01843575291051538,28,28,0
