pair,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AUDCAD,10,9,6,7,4,8,8,12,10,10,3,7,5,9,7,13,3
AUDCHF,6,9,11,6,7,5,8,9,8,9,7,10,11,4,9,10,2
AUDJPY,7,8,5,9,5,8,5,5,6,7,5,7,6,6,4,8,0
AUDNZD,5,6,5,7,3,5,8,7,10,7,8,4,7,12,7,4,2
AUDUSD,9,9,6,3,8,9,4,7,4,12,4,8,7,7,4,8,3
CADCHF,10,8,12,7,8,6,7,9,6,8,9,7,7,7,6,12,4
CADJPY,10,6,7,10,6,8,3,6,7,6,4,7,8,2,7,12,1
CHFJPY,9,7,3,11,5,9,8,8,7,7,9,6,7,5,7,6,3
EURAUD,4,6,4,3,10,11,12,4,9,6,5,8,5,11,7,12,1
EURCAD,6,4,10,7,6,5,4,5,5,9,7,9,7,4,8,13,2
EURCHF,6,2,12,10,9,7,4,7,5,7,12,11,4,8,7,11,2
EURGBP,8,7,9,7,5,6,0,6,7,3,13,7,4,9,11,13,3
EURJPY,8,5,3,9,5,9,4,9,3,8,5,4,6,8,8,10,5
EURNZD,6,5,3,6,10,6,9,8,7,4,7,11,6,7,7,7,4
EURUSD,5,4,3,5,8,7,5,6,6,8,5,5,6,5,9,4,2
GBPAUD,7,7,2,6,8,5,8,6,7,10,6,9,7,4,9,5,1
GBPCAD,7,7,7,8,7,9,7,9,5,5,8,10,7,7,7,11,4
GBPCHF,5,5,4,7,11,5,4,8,6,5,7,10,7,7,5,12,1
GBPJPY,8,6,7,9,6,4,3,6,5,8,4,8,6,9,4,4,3
GBPNZD,7,3,6,4,4,4,6,7,5,11,5,8,11,7,5,10,1
GBPUSD,4,8,5,6,9,4,7,6,5,7,6,4,3,7,6,9,5
NZDCAD,9,9,5,11,9,10,11,7,5,6,8,10,4,7,6,13,3
NZDCHF,10,9,8,7,8,4,6,6,4,5,7,7,6,9,10,10,7
NZDJPY,10,7,6,7,3,9,7,4,6,4,9,7,6,11,6,7,3
NZDUSD,6,5,7,5,8,6,6,4,6,5,5,8,4,4,4,7,1
USDCAD,6,6,6,5,9,4,6,6,9,8,4,6,5,5,12,5,2
USDCHF,3,4,12,5,5,5,7,8,5,5,8,8,11,5,6,10,2
USDJPY,10,11,5,8,6,12,4,5,8,5,8,6,6,3,3,5,1
