pair,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AUDCAD,6.716324977576509,3.9529004595784833,0.5269281852299483,0.7254122603466564,0.266187399142362,5.289917173104865,2.540035226536841,-2.1718393590619516,1.063355588049527,3.2344072807025435,1.7460949654089493,2.4354698312524268,1.57047443073095,1.0581356647395588,0.28882839285647866,7.597457995567675,-2.5865335320925205
AUDCHF,4.259620096847582,4.393824084316804,-0.36697192525020694,0.12341959283429826,7.0207529113256415,2.542578516837446,6.053160661169584,-1.4166158869198395,1.8283028643109407,8.02583300346866,0.5172257260748423,1.1518906230392763,-0.05999463050715903,-2.0051481767076362,6.746893267444135,4.715720242203523,1.1534244827529447
AUDJPY,2.6137406444663576,4.444352431575099,2.5522514807658725,5.3545186869009544,0.14593517032383274,0.9547274225322957,1.4451627333741477,2.949717444978728,5.289057061778859,2.4013812101716585,-0.1007866769777479,0.9806620059308406,3.090986544217637,3.5552905538042334,3.5554470971252687,1.5328854283851006,0.0
AUDNZD,-0.5581208522300825,-4.300623687942968,0.35230380446530796,-0.16904133628906992,1.0743475458265004,1.4553866366410713,3.135057846506994,5.123939393840106,6.2531780652725555,4.732529076041735,1.6138754103735775,-0.9134237095327953,5.528746478869466,-0.8445329117355662,4.296058482909448,4.894475107414934,2.526058411229217
AUDUSD,8.053271337507438,4.677450806938441,2.312670819873344,1.2185879399478146,4.344355753836786,-0.0827540787094776,3.786563768486488,5.661072084763612,-2.11636272665355,8.693785956226694,0.9716899902323393,3.874877269996364,3.9864502229493666,4.511582797477286,1.067024652488482,7.314358678652618,0.3500268138065419
CADCHF,1.3620447447816435,5.576305944896111,5.8969126076556755,-0.6093728559579767,9.753054927401184,1.276171961758871,7.880327879783021,4.173702534791916,-1.0954128518323025,-4.793726334458077,3.938359644885408,1.1153810660232084,0.8178257528777952,7.1162202563429835,3.9565283476372892,-1.001576537860073,-1.073598380403896
CADJPY,1.1333673542347458,3.420203143286591,2.8897234928681117,3.9627147407719034,5.659792643979592,-2.7762391033983658,3.0864092659792504,1.344946039409508,-1.5888196703916002,-1.93493409422817,3.1897414271131037,6.7186075798099285,5.903790867640674,2.9899882853929713,7.228088001074882,3.0264354070520136,0.6007841431304234
CHFJPY,2.6473226821628453,1.5297475201271282,2.5953526939487555,10.73105951782599,2.1303915976261085,-0.5441275522911244,0.4621032487605147,2.1738259150152275,5.843939097326427,3.840577918244675,5.993538570836346,8.33451194359291,5.318938298237004,5.384458033688348,1.597273594054116,3.6723994010180196,0.1726570343078634
EURAUD,-0.6230505102235184,0.10958069526856007,3.3521655967475095,0.821469263896866,1.4179319256454361,5.228415305912383,7.774383414101596,1.5628161914769052,1.9248397101134183,1.0190470288698186,4.883263642486222,6.339104123419849,0.3094174391405655,4.204329195359714,6.100435557201761,5.493737309721267,-1.0
EURCAD,7.570690045821654,-0.26468558929465213,2.665201455741079,5.910475134875248,-0.15479550846558743,2.41463213264937,3.626799149974126,5.996168727314768,3.730040602714398,0.6041475355025825,2.1843752611419376,-1.5848170891201159,1.089420070274769,2.969463300453686,6.931106240124998,10.077561001852102,-0.6321345737276962
