cluster_id,classifier,rank,feature,importance_mean,importance_std
0,logistic,1,L0_value,0.05613902493097125,0.01214719071045407
0,logistic,2,L1_value,0.052361085918132946,0.01154133991246538
0,logistic,3,atr14_at_signal,0.04839873430477459,0.011130547495734163
0,logistic,4,kijun_26_distance,0.04336820041518032,0.012044645175365031
0,logistic,5,L1_to_atr_proximity,0.021045206280105623,0.011733677632943307
0,logistic,6,d1_close_slope_magnitude,0.012771832234919489,0.004155724702372441
0,logistic,7,session_dead,0.012261926355886143,0.006976099415098276
0,logistic,8,session_tokyo,0.00840740068927991,0.009444890794838534
0,logistic,9,prior_session_low_distance,0.007335187536529853,0.004556532056157666
0,logistic,10,spread_percentile_100,0.002853860571981404,0.001615470257264502
0,logistic,11,session_london,0.0009845415885684438,0.008544086805635938
0,logistic,12,L1_age_d1_bars,0.0007900517967632248,0.0005690749720408577
0,logistic,13,range_close_ratio,0.0007114497047382984,0.00948256867559827
0,logistic,14,d_t_idx,0.0005250216659613005,0.0006539538138899223
0,logistic,15,d_for_l1_search_max,0.0005250216659613005,0.0006539538138899223
0,logistic,16,d1_atr_percentile_100,0.00032347784025639205,0.0006097899878689378
0,logistic,17,swing_low_distance_14,0.0001874357579056185,0.00019676086940289726
0,logistic,18,session_ldn_ny_overlap,1.0077191285284836e-05,0.006755624574751635
0,logistic,19,eur_strength_index,-6.852490073966377e-05,0.00015893874391555266
0,logistic,20,atr_percentile_100,-0.00012495717193699017,0.0010161007420265297
0,logistic,21,w1_close_slope_sign,-0.00024991434387403586,0.0013485134569522278
0,logistic,22,upper_fraction,-0.0003123929298425865,0.010214053380410482
0,logistic,23,hour_of_day,-0.0003224701211278269,0.007135405756091358
0,logistic,24,dollar_bloc_state,-0.000340609065441233,0.0009341594368992501
0,logistic,25,usd_strength_index,-0.0006650946248261235,0.001514873702093754
0,logistic,26,atr_vs_trailing_100,-0.0009039240582864316,0.0036468269280888
0,logistic,27,reject_buffer_atr,-0.0018501723199709664,0.002722909298198927
0,logistic,28,distance_to_round_number,-0.002283491545236482,0.00056950308407194
0,logistic,29,day_of_week,-0.0036932906060422434,0.002662798405754411
0,logistic,30,signal_density_28,-0.0037769312937097842,0.0038562181314460726
0,logistic,31,d1_close_slope_sign,-0.0039119656569320815,0.0037405328677709523
0,logistic,32,L0_age_d1_bars,-0.004542797831388401,0.008039662278447934
0,logistic,33,session_ny,-0.005395328214120132,0.003518516528836988
0,logistic,34,spread_vs_trailing_100,-0.010360360360360343,0.006804103511672127
0,logistic,35,prior_session_high_distance,-0.014576657194106845,0.004120904091318858
0,logistic,36,atr_14,-0.02683656811173587,0.01175195070017525
0,logistic,37,swing_high_distance_14,-0.03085031340064893,0.01647376759607071
