feature,importance,importance_std,fold,classifier,cluster_id
atr_14,0.0018067155275268254,0.0004922287055801362,1,lgbm,0
atr_percentile_100,0.0007158684165671891,0.0002446343973820915,1,lgbm,0
atr_vs_trailing_100,0.0005795125276972346,0.0001897993646780469,1,lgbm,0
d1_atr_percentile_100,0.0015510482358956467,0.00046177662124233227,1,lgbm,0
d1_close_slope_magnitude,0.007124595193454875,0.0007803322408221849,1,lgbm,0
d1_close_slope_sign,0.00023862280552235937,0.0001819853119487024,1,lgbm,0
day_of_week,0.00035793420828356126,0.0003468039875468757,1,lgbm,0
distance_to_round_number,3.408897221746088e-05,4.175029389434557e-05,1,lgbm,0
hour_of_day,-1.7044486108797053e-05,0.0001973041912866849,1,lgbm,0
kijun_26_distance,0.000409067666609797,0.0002607305018029101,1,lgbm,0
prior_session_high_distance,-0.0002386228055224704,0.0002115165100731143,1,lgbm,0
prior_session_low_distance,0.0011249360831770527,0.0003938714848574076,1,lgbm,0
range_close_ratio,-5.113345832625793e-05,0.00024463439738207915,1,lgbm,0
session_dead,3.408897221746088e-05,0.00011560132918227009,1,lgbm,0
session_ldn_ny_overlap,8.52224305436744e-05,5.389939765072365e-05,1,lgbm,0
session_london,-1.7044486108774847e-05,6.377462735254455e-05,1,lgbm,0
session_ny,0.0,0.0,1,lgbm,0
session_tokyo,-3.408897221750529e-05,4.175029389439997e-05,1,lgbm,0
spread_percentile_100,0.00047724561104478536,0.00012754925470511284,1,lgbm,0
spread_vs_trailing_100,0.00022157831941362893,0.0002779871557917134,1,lgbm,0
swing_high_distance_14,-0.0005454235554798626,0.0002059493092482328,1,lgbm,0
swing_low_distance_14,0.000886313277654649,0.00022612066066854367,1,lgbm,0
w1_close_slope_sign,0.0005113345832622462,0.00021559759060293845,1,lgbm,0
atr_14,0.006050792568604102,0.0008539270529998498,2,lgbm,0
atr_percentile_100,-0.00015340037497866277,0.000136355888869924,2,lgbm,0
atr_vs_trailing_100,-0.002232827680245397,0.000355082097426273,2,lgbm,0
d1_atr_percentile_100,-0.0025737174024202726,0.0004118986184964996,2,lgbm,0
d1_close_slope_magnitude,0.008147264359979589,0.0005101970188203735,2,lgbm,0
d1_close_slope_sign,3.4088972217549694e-05,0.00020594930924824382,2,lgbm,0
day_of_week,-0.0009374467359808847,0.0002584924303409446,2,lgbm,0
distance_to_round_number,0.0003579342082836723,0.00016525242397874736,2,lgbm,0
hour_of_day,-0.0003238452360661004,0.00027694011946940495,2,lgbm,0
kijun_26_distance,8.522243054376322e-05,0.00012052271709332624,2,lgbm,0
prior_session_high_distance,-0.0003579342082835835,0.0002248322133675274,2,lgbm,0
prior_session_low_distance,3.408897221752749e-05,0.00017548372491882813,2,lgbm,0
