config_id,n_folds,n_positive_folds,worst_fold_ratio,worst_fold_dd_pct,mean_fold_roi_pct,verdict,in_top_k
A1::a1_sl1.5_exit-sl_partial_close_1r_runner_trail_exp-max_per_currency_2,10,2,-0.8860888007390031,0.23883045783069912,-0.0716020791070061,fail,True
A1::a1_sl1.5_exit-sl_partial_close_1r_runner_trail_exp-unlimited,10,4,-0.8890681496325287,0.3104468330554208,-0.059869436883923766,fail,True
A1::a1_sl2.0_exit-sl_partial_close_1r_runner_trail_exp-max_per_currency_2,10,4,-0.9093355262549794,0.23866017711864876,-0.031192244802395706,fail,True
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,10,3,-0.9230739459235887,0.4153460919922597,-0.09983252192910028,fail,False
A1::a1_sl2.0_exit-sl_partial_close_1r_runner_trail_exp-unlimited,10,4,-0.9268400881604599,0.3363335201725157,-0.04990035859050834,fail,False
A1::a1_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,10,3,-0.934421272988501,0.3967600421598044,-0.11596220559012634,fail,False
A1::a1_sl1.5_exit-sl_plus_tp_2r_exp-unlimited,10,3,-0.9420556531369377,0.36790720880433525,-0.08261476012897487,fail,False
A1::a1_sl1.0_exit-sl_partial_close_1r_runner_trail_exp-unlimited,10,2,-0.9436554688911555,0.3391839937058481,-0.09071760825219313,fail,False
A1::a1_sl1.0_exit-sl_partial_close_1r_runner_trail_exp-max_per_currency_2,10,2,-0.945176870887906,0.3274221060518049,-0.10691630156598757,fail,False
A1::a1_sl1.5_exit-sl_plus_tp_2r_exp-max_per_currency_2,10,3,-0.9454004368147203,0.30339671194032763,-0.06114964781668577,fail,False
A1::a1_sl2.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,10,6,-0.9854152539407751,0.2867827335501405,-0.0393599478676432,fail,False
A1::a1_sl2.0_exit-sl_plus_tp_2r_exp-unlimited,10,4,-0.9898668378202093,0.37872065344776445,-0.09024578752753225,fail,False
A4::a4_sl2.0_exit-sl_partial_close_1r_runner_trail_exp-unlimited,10,1,-0.9999999999999997,0.19253849146583688,-0.09293413798546764,fail,False
A4::a4_sl1.5_exit-sl_only_exp-max_per_currency_2,10,0,-0.9999999999999998,0.24170569308114204,-0.12182973745398554,fail,False
A4::a4_sl2.0_exit-sl_only_exp-unlimited,10,1,-0.9999999999999998,0.1910361008889317,-0.09226057203201671,fail,False
A4::a4_sl2.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,10,0,-0.9999999999999999,0.1824531927955856,-0.09510042009762641,fail,False
A4::a4_sl2.0_exit-sl_plus_tp_2r_exp-unlimited,10,1,-1.0,0.1910361008889317,-0.09205687175778057,fail,False
A4::a4_sl1.0_exit-sl_plus_tp_2r_exp-unlimited,10,1,-1.0,0.3330560947707508,-0.17868917987755092,fail,False
A1::a1_sl2.0_exit-sl_only_exp-max_per_currency_2,10,3,-1.0,0.4536125409684737,-0.1406903835289923,fail,False
A1::a1_sl1.5_exit-sl_only_exp-max_per_currency_2,10,2,-1.0,0.5222635070476475,-0.22474053653951592,fail,False
A4::a4_sl1.5_exit-sl_only_exp-unlimited,10,1,-1.0,0.22935430459805786,-0.1183890579069975,fail,False
A4::a4_sl1.5_exit-sl_partial_close_1r_runner_trail_exp-unlimited,10,1,-1.0,0.22985934920441906,-0.11763108042085813,fail,False
A1::a1_sl2.0_exit-sl_only_exp-unlimited,10,3,-1.0,0.7244296060066446,-0.24242475939463662,fail,False
A4::a4_sl1.0_exit-sl_only_exp-unlimited,10,0,-1.0,0.3331573310635446,-0.17484152558931454,fail,False
A1::a1_sl1.0_exit-sl_only_exp-max_per_currency_2,10,2,-1.0000000000000002,0.6104750825656228,-0.20079352180341506,fail,False
A1::a1_sl1.0_exit-sl_only_exp-unlimited,10,3,-1.0000000000000002,0.8240779296475528,-0.24085550524902127,fail,False
A4::a4_sl2.0_exit-sl_only_exp-max_per_currency_2,10,0,-1.0000000000000002,0.1824531927955856,-0.09484184242127003,fail,False
A1::a1_sl1.5_exit-sl_only_exp-unlimited,10,3,-1.0000000000000002,0.7725150142599012,-0.281712730146248,fail,False
A4::a4_sl1.5_exit-sl_plus_tp_2r_exp-max_per_currency_2,10,0,-1.0000000000000002,0.24023555145461564,-0.12407151068917092,fail,False
A4::a4_sl1.5_exit-sl_partial_close_1r_runner_trail_exp-max_per_currency_2,10,0,-1.0000000000000002,0.23981339421850975,-0.12013624824787801,fail,False
A4::a4_sl1.0_exit-sl_plus_tp_2r_exp-max_per_currency_2,10,0,-1.0000000000000002,0.34108468167456674,-0.18085346932384544,fail,False
A4::a4_sl1.0_exit-sl_partial_close_1r_runner_trail_exp-max_per_currency_2,10,0,-1.0000000000000002,0.32164248184281496,-0.15905898572003835,fail,False
A4::a4_sl2.0_exit-sl_partial_close_1r_runner_trail_exp-max_per_currency_2,10,0,-1.0000000000000002,0.18231355842581182,-0.09510943156177783,fail,False
A4::a4_sl1.5_exit-sl_plus_tp_2r_exp-unlimited,10,1,-1.0000000000000002,0.22878340056983457,-0.1204254453196402,fail,False
A4::a4_sl1.0_exit-sl_only_exp-max_per_currency_2,10,0,-1.0000000000000004,0.34688951220040665,-0.17818447044594812,fail,False
A4::a4_sl1.0_exit-sl_partial_close_1r_runner_trail_exp-unlimited,10,1,-1.0000000000000004,0.30415713519655657,-0.1554929054938577,fail,False
