trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
1,AUD_CAD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.97558,0.9730573275,2021-03-12 10:00:00,0.9730423275,stoploss,10,-1.005946075,0.6183917952,-1.014796792,2,0.2,0.3,2021
2,AUD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.718705,0.7164804719,2021-03-15 17:00:00,0.7164254719,stoploss,41,-1.024724345,1.476717676,-1.094614168,10,1.1,1.1,2021
3,AUD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,84.476,84.23323133,2021-03-12 13:00:00,84.23123133,stoploss,13,-1.008238295,1.239863472,-1.099812449,2,0.4,0.4,2021
4,AUD_NZD,2021-03-12 00:00:00,2021-03-12 01:00:00,1.077445,1.075523413,2021-03-15 08:00:00,1.075448413,stoploss,32,-1.039030235,2.261151594,-1.693912184,21,1.5,1.5,2021
5,AUD_USD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.778375,0.7755412615,2021-03-12 09:00:00,0.7755262615,stoploss,9,-1.005293361,0.5910919519,-1.240410872,2,0.3,0.3,2021
6,CAD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.736585,0.7346024867,2021-03-19 01:00:00,0.742105,time_exit,120,2.784344519,5.530858271,-0.04287487032,34,1.7,1.5,2021
7,CAD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,86.5645,86.34770829,2021-03-19 01:00:00,87.1945,time_exit,120,2.906015229,6.999806523,-0.01614452905,104,0.5,0.5,2021
8,CHF_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,117.354,117.0740952,2021-03-12 11:00:00,117.0735952,stoploss,11,-1.001786322,0.6823748616,-1.036066544,9,0.6,0.1,2021
9,EUR_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,1.106975,1.104935164,2021-03-16 12:00:00,1.104930164,stoploss,60,-1.002451177,2.13987774,-1.438841046,21,0.7,0.1,2021
10,NZD_CAD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.90511,0.9023796515,2021-03-12 10:00:00,0.9022846515,stoploss,10,-1.034794093,0.3259657175,-1.073123092,0,1.8,1.9,2021
11,NZD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.66718,0.6647426646,2021-03-15 23:00:00,0.6645826646,stoploss,47,-1.06564546,1.411377382,-1.284189304,34,0.8,3.2,2021
12,NZD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,78.3755,78.11719998,2021-03-12 13:00:00,78.11669998,stoploss,13,-1.001935733,0.8846302003,-1.310491566,2,0.5,0.1,2021
13,NZD_USD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.7222,0.7193731838,2021-03-12 08:00:00,0.7193631838,stoploss,8,-1.003537549,0.392667909,-1.011738937,0,0.2,0.2,2021
14,USD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.923865,0.9211942072,2021-03-19 01:00:00,0.927525,time_exit,120,1.370379616,3.233122399,-0.9416679599,16,0.1,0.1,2021
15,NZD_USD,2021-03-12 09:00:00,2021-03-12 10:00:00,0.71905,0.7164576963,2021-03-12 13:00:00,0.7164476963,stoploss,4,-1.003857573,0.1890210652,-1.153414255,0,0.2,0.2,2021
16,AUD_USD,2021-03-12 10:00:00,2021-03-12 11:00:00,0.774725,0.7719853176,2021-03-15 17:00:00,0.7719703176,stoploss,31,-1.005475087,1.031141422,-1.512949096,16,0.3,0.3,2021
17,AUD_CAD,2021-03-12 11:00:00,2021-03-12 12:00:00,0.9729,0.9705505724,2021-03-12 15:00:00,0.9705355724,stoploss,4,-1.006384534,0.1489724536,-1.332239371,0,0.2,0.3,2021
18,NZD_CAD,2021-03-12 11:00:00,2021-03-12 12:00:00,0.90119,0.8988061917,2021-03-12 15:00:00,0.8987211917,stoploss,4,-1.03565723,0.01677987289,-1.443069068,0,1.6,1.7,2021
19,CHF_JPY,2021-03-12 12:00:00,2021-03-12 13:00:00,117.1415,116.8620146,2021-03-19 13:00:00,117.2295,time_exit,120,0.3148643353,3.715756957,-0.4883975201,93,0.1,0.1,2021
20,AUD_JPY,2021-03-12 14:00:00,2021-03-12 15:00:00,84.474,84.18688411,2021-03-15 17:00:00,84.18488411,stoploss,27,-1.006965828,0.8881431225,-1.264297857,12,0.4,0.4,2021
21,NZD_JPY,2021-03-12 14:00:00,2021-03-12 15:00:00,78.2115,77.93385819,2021-03-18 21:00:00,77.93335819,stoploss,103,-1.001800881,3.337033417,-1.042710388,90,0.1,0.1,2021
22,NZD_USD,2021-03-12 14:00:00,2021-03-12 15:00:00,0.7178,0.7150482716,2021-03-12 17:00:00,0.7150382716,stoploss,3,-1.00363408,0.1962402963,-1.003005959,0,0.2,0.2,2021
23,AUD_CAD,2021-03-12 16:00:00,2021-03-12 17:00:00,0.9705,0.9677230107,2021-03-12 17:00:00,0.9677130107,stoploss,1,-1.003601022,0.01800511075,-1.087508689,0,0.2,0.2,2021
24,NZD_CAD,2021-03-12 16:00:00,2021-03-12 17:00:00,0.89801,0.8953376104,2021-03-12 19:00:00,0.8952476104,stoploss,3,-1.033677724,0,-1.160010481,0,1.6,1.8,2021
25,AUD_CAD,2021-03-12 18:00:00,2021-03-12 19:00:00,0.969085,0.9660347388,2021-03-15 07:00:00,0.9660247388,stoploss,13,-1.003278408,0.08032099055,-1.188422819,0,0.3,0.2,2021
26,NZD_USD,2021-03-12 18:00:00,2021-03-12 19:00:00,0.71868,0.7154016057,2021-03-17 18:00:00,0.7153916057,stoploss,72,-1.003050274,0.8967804765,-1.027942247,8,0.2,0.2,2021
27,NZD_CAD,2021-03-12 20:00:00,2021-03-12 21:00:00,0.895785,0.8930913676,2021-03-16 23:00:00,0.8928313676,stoploss,51,-1.096523937,1.160143473,-1.230680196,31,1.5,5.2,2021
28,AUD_CAD,2021-03-15 08:00:00,2021-03-15 09:00:00,0.964995,0.9625716942,2021-03-16 23:00:00,0.9624216942,stoploss,39,-1.061898915,1.174016088,-1.273054353,14,0.3,3,2021
29,AUD_NZD,2021-03-15 09:00:00,2021-03-15 10:00:00,1.075805,1.073666412,2021-03-22 11:00:00,1.078805,time_exit,120,1.402794793,3.845995725,-0.5026681343,82,1.5,1.5,2021
30,AUD_CHF,2021-03-15 18:00:00,2021-03-15 19:00:00,0.717735,0.7154648997,2021-03-16 12:00:00,0.7154098997,stoploss,18,-1.024228004,0.8171444977,-1.279679119,1,1.1,1.1,2021
31,AUD_JPY,2021-03-15 18:00:00,2021-03-15 19:00:00,84.444,84.17383274,2021-03-17 18:00:00,84.17183274,stoploss,48,-1.007402822,0.8550258859,-1.188152854,3,0.4,0.4,2021
32,AUD_USD,2021-03-15 18:00:00,2021-03-15 19:00:00,0.773645,0.7705349568,2021-03-17 17:00:00,0.7705199568,stoploss,47,-1.004823084,0.7443626414,-1.001593792,3,0.3,0.3,2021
33,NZD_CHF,2021-03-16 00:00:00,2021-03-16 01:00:00,0.66797,0.6655009031,2021-03-16 11:00:00,0.6654709031,stoploss,11,-1.012150191,0.1134017868,-1.210969081,0,0.8,0.6,2021
34,NZD_CHF,2021-03-16 12:00:00,2021-03-16 13:00:00,0.664815,0.6627233269,2021-03-17 20:00:00,0.6627033269,stoploss,32,-1.009561723,1.450991533,-1.101988627,31,0.5,0.4,2021
35,AUD_CHF,2021-03-16 13:00:00,2021-03-16 14:00:00,0.716565,0.7145132225,2021-03-17 19:00:00,0.7144532225,stoploss,30,-1.029242937,0.7481318063,-1.376854953,2,1.1,1.2,2021
36,EUR_CHF,2021-03-16 13:00:00,2021-03-16 14:00:00,1.105465,1.103652435,2021-03-16 15:00:00,1.103647435,stoploss,2,-1.002758522,0.2896447691,-1.955791822,0,0.1,0.1,2021
37,EUR_CHF,2021-03-16 16:00:00,2021-03-16 17:00:00,1.102505,1.100380311,2021-03-16 23:00:00,1.100350311,stoploss,7,-1.014119716,0.002353286027,-1.070745142,0,0.1,0.6,2021
38,AUD_CAD,2021-03-17 00:00:00,2021-03-17 01:00:00,0.963595,0.9610752636,2021-03-17 18:00:00,0.9610602636,stoploss,18,-1.005953004,0.3591645566,-1.053681655,11,0.7,0.3,2021
39,EUR_CHF,2021-03-17 00:00:00,2021-03-17 01:00:00,1.100685,1.098844242,2021-03-24 02:00:00,1.10634,time_exit,120,3.072104425,4.207506415,-0.04074409052,39,0.5,0.4,2021
40,NZD_CAD,2021-03-17 00:00:00,2021-03-17 01:00:00,0.894795,0.8923251521,2021-03-23 01:00:00,0.8922701521,stoploss,96,-1.022268577,2.637814223,-1.103306793,20,1.5,1.1,2021
41,AUD_USD,2021-03-17 18:00:00,2021-03-17 19:00:00,0.770415,0.7681177438,2021-03-23 08:00:00,0.7681027438,stoploss,85,-1.006529528,6.305347993,-1.382083526,14,0.3,0.3,2021
42,AUD_CAD,2021-03-17 19:00:00,2021-03-17 20:00:00,0.96157,0.9593074652,2021-03-23 22:00:00,0.9592924652,stoploss,98,-1.006629732,4.578935149,-1.184512181,23,0.2,0.3,2021
43,NZD_USD,2021-03-17 19:00:00,2021-03-17 20:00:00,0.71529,0.713169024,2021-03-23 01:00:00,0.713159024,stoploss,77,-1.004714811,5.478609831,-1.395583916,13,0.2,0.2,2021
44,AUD_CHF,2021-03-17 20:00:00,2021-03-17 21:00:00,0.718725,0.7160302537,2021-03-22 10:00:00,0.7159702537,stoploss,61,-1.022265547,1.976067271,-1.148531118,16,1.1,1.2,2021
45,EUR_USD,2021-03-18 00:00:00,2021-03-18 01:00:00,1.197845,1.194768125,2021-03-18 09:00:00,1.194763125,stoploss,9,-1.001625025,0.3428803189,-1.155392923,8,0.1,0.1,2021
46,EUR_USD,2021-03-18 10:00:00,2021-03-18 11:00:00,1.194745,1.191483514,2021-03-18 15:00:00,1.191478514,stoploss,5,-1.001533043,0.09044955671,-1.135985111,0,0.1,0.1,2021
47,EUR_USD,2021-03-18 16:00:00,2021-03-18 17:00:00,1.192005,1.188717032,2021-03-19 15:00:00,1.188712032,stoploss,23,-1.001520696,0.5733024311,-1.406643896,1,0.1,0.1,2021
48,CAD_CHF,2021-03-19 02:00:00,2021-03-19 03:00:00,0.742385,0.7400173035,2021-03-22 14:00:00,0.7399573035,stoploss,35,-1.025341086,0.922837875,-1.214260362,9,1.5,1.2,2021
49,USD_CHF,2021-03-19 02:00:00,2021-03-19 03:00:00,0.928105,0.9251036488,2021-03-22 13:00:00,0.9250986488,stoploss,34,-1.001665916,1.294416997,-1.204457514,12,0.1,0.1,2021
50,USD_CHF,2021-03-22 14:00:00,2021-03-22 15:00:00,0.925175,0.9224294391,2021-03-22 17:00:00,0.9224244391,stoploss,3,-1.001821122,0.358760937,-1.058071596,1,0.1,0.1,2021
51,USD_CHF,2021-03-22 18:00:00,2021-03-22 19:00:00,0.923095,0.9200845084,2021-03-29 20:00:00,0.938035,time_exit,120,4.962644662,6.213270977,-0.2042855734,91,0.1,0.1,2021
52,AUD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.95974,0.956905978,2021-03-24 07:00:00,0.956890978,stoploss,7,-1.005292831,0.02117132466,-1.220879722,0,0.4,0.3,2021
53,CHF_JPY,2021-03-24 00:00:00,2021-03-24 01:00:00,116.289,115.9854331,2021-03-24 09:00:00,115.9849331,stoploss,9,-1.001647083,0.003294166467,-1.040956603,0,0.2,0.1,2021
54,NZD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.881145,0.8777735357,2021-03-24 09:00:00,0.8776935357,stoploss,9,-1.023728562,0.04894015952,-1.045539772,0,1.5,1.6,2021
55,NZD_USD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.70012,0.6969594883,2021-03-24 09:00:00,0.6969494883,stoploss,9,-1.003164045,0.06960898051,-1.085267287,0,0.2,0.2,2021
56,AUD_CAD,2021-03-24 08:00:00,2021-03-24 09:00:00,0.95636,0.953620309,2021-03-24 22:00:00,0.953600309,stoploss,14,-1.007300093,0.9964627368,-1.05851353,5,0.2,0.4,2021
57,CHF_JPY,2021-03-24 10:00:00,2021-03-24 11:00:00,116.1675,115.8627448,2021-03-31 12:00:00,117.3185,time_exit,120,3.776802086,4.562678801,-0.3199289343,118,0.1,0.1,2021
