config_id,arch,exit_policy,sl,exp,n_triage_folds_traded,worst_roi_pct,worst_dd_base_pct,worst_dd_at_0p40_pct,worst_ratio,min_trades,screened_out,f1_roi,f6_roi,f8_roi,f1_dd,f6_dd,f8_dd,f1_n,f6_n,f8_n
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::exp2,A3,sl_partial_close_1r_runner_trail,3.5,2,2,-0.032332919820638906,0.07722703811234911,0.061781630489879294,-0.41867357095323665,86,False,0.0,-0.032332919820638906,0.021746336340715544,0.0,0.07722703811234911,0.03706520735581132,0,95,86
A3::cl0::sl_plus_tp_3r::sl3.5::n5::exp2,A3,sl_plus_tp_3r,3.5,2,2,-0.046599451636353484,0.09152608909206647,0.07322087127365318,-0.5091384554788406,46,False,0.0,-0.046599451636353484,-0.007511163918640373,0.0,0.09152608909206647,0.03806665474764794,0,53,46
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::exp2,A3,sl_partial_close_1r_runner_trail,3.0,2,2,-0.054918913355174404,0.08229321049639592,0.06583456839711674,-0.6673565537655092,93,False,0.0,-0.054918913355174404,0.009700730017174308,0.0,0.08229321049639592,0.033047413708018135,0,106,93
A3::cl0::sl_partial_close_1r_runner_trail::sl2.5::n5::exp2,A3,sl_partial_close_1r_runner_trail,2.5,2,2,-0.06825263759038025,0.09758091119222105,0.07806472895377685,-0.6994466105766515,98,False,0.0,-0.06825263759038025,-0.007179699197331302,0.0,0.09758091119222105,0.05093549686491588,0,116,98
A1::full::sl_plus_tp_3r::sl2.5::expinf,A1,sl_plus_tp_3r,2.5,inf,3,-0.12515763536033297,0.19917892862693176,0.15934314290154541,-0.6283678510730272,197,True,-0.12515763536033297,-0.055584042724808436,0.08522346538130576,0.19917892862693176,0.18990810007930675,0.19268740288211025,247,197,232
A1::full::sl_partial_close_1r_runner_trail::sl2.5::expinf,A1,sl_partial_close_1r_runner_trail,2.5,inf,3,-0.09166397855665764,0.1591251789008374,0.12730014312066992,-0.7114234851354476,365,True,-0.09166397855665764,-0.027282364353011124,-0.03279543895593351,0.12884587095013567,0.10497882895116724,0.1591251789008374,413,365,407
A3::cl0::sl_plus_tp_3r::sl2.5::n5::exp2,A3,sl_plus_tp_3r,2.5,2,2,-0.0871639347540526,0.12124944878576033,0.09699955902860827,-0.7188810805075531,53,True,0.0,-0.0871639347540526,0.06731263285450506,0.0,0.12124944878576033,0.06476001954388844,0,69,53
A3::cl0::sl_plus_tp_3r::sl3.0::n5::exp2,A3,sl_plus_tp_3r,3.0,2,2,-0.07918294685435989,0.10997568429335558,0.08798054743468448,-0.7200041296687244,51,True,0.0,-0.07918294685435989,-0.0006373720399870386,0.0,0.10997568429335558,0.05131789425421708,0,60,51
A3::cl0::sl_plus_tp_2r::sl3.5::n5::exp2,A3,sl_plus_tp_2r,3.5,2,2,-0.07381891746898206,0.10037536030761456,0.08030028824609164,-0.7354286673816512,51,True,0.0,-0.07381891746898206,0.0010440773879905052,0.0,0.10037536030761456,0.044671045287551774,0,56,51
A3::cl0::sl_plus_tp_2r::sl3.0::n5::exp2,A3,sl_plus_tp_2r,3.0,2,2,-0.08824276050862423,0.11633964554536895,0.09307171643629517,-0.7584926023709795,56,True,0.0,-0.08824276050862423,0.016033244555087922,0.0,0.11633964554536895,0.043569436022342686,0,64,56
A3::cl0::sl_plus_tp_2r::sl2.5::n5::exp2,A3,sl_plus_tp_2r,2.5,2,2,-0.08484755518897091,0.1106411751277727,0.08851294010221816,-0.7668714209785433,62,True,0.0,-0.08484755518897091,0.03933261504637375,0.0,0.1106411751277727,0.05182650933209662,0,72,62
A3::cl0::sl_partial_close_1r_runner_trail::sl2.5::n5::expinf,A3,sl_partial_close_1r_runner_trail,2.5,inf,2,-0.09869735904920518,0.12491967644499449,0.0999357411559956,-0.7900865728920159,105,True,0.0,-0.09869735904920518,-0.014960599769264338,0.0,0.12491967644499449,0.05568615928951472,0,127,105
A1::full::sl_only::sl3.0::exp2,A1,sl_only,3.0,2,3,-0.19331366800876892,0.27531100232913347,0.22024880186330678,-0.7995404837451467,18,True,-0.19331366800876892,-0.18987039266544037,0.11741086968110648,0.27531100232913347,0.2374743950125751,0.06302197772076705,61,24,18
A3::cl0::sl_plus_tp_2r::sl2.5::n5::expinf,A3,sl_plus_tp_2r,2.5,inf,2,-0.10783223753447158,0.1327901871375608,0.10623214971004864,-0.8120497444797284,67,True,0.0,-0.10783223753447158,0.035533229494064456,0.0,0.1327901871375608,0.06127617122561766,0,83,67
A1::full::sl_partial_close_1r_runner_trail::sl3.5::expinf,A1,sl_partial_close_1r_runner_trail,3.5,inf,3,-0.13205662090579906,0.18936613983534104,0.15149291186827285,-0.8151243829783125,301,True,-0.13205662090579906,-0.1287647367352297,-0.007804725789932632,0.16200793849803485,0.18936613983534104,0.12728990214565036,369,301,379
A3::cl0::sl_plus_tp_3r::sl3.5::n5::expinf,A3,sl_plus_tp_3r,3.5,inf,2,-0.09734286947009285,0.11875580094846741,0.09500464075877393,-0.8196893852143995,57,True,0.0,-0.09734286947009285,0.03062681706743331,0.0,0.11875580094846741,0.04928620896964823,0,80,57
A1::full::sl_partial_close_1r_runner_trail::sl3.0::expinf,A1,sl_partial_close_1r_runner_trail,3.0,inf,3,-0.15400690343669732,0.18780538773013333,0.15024431018410667,-0.8200345330773859,336,True,-0.15400690343669732,-0.13360679378905194,0.018205567411221812,0.18780538773013333,0.18094114711251327,0.12312195353591857,394,336,390
A1::full::sl_only::sl2.5::exp2,A1,sl_only,2.5,2,3,-0.19133926459703454,0.3036753391412768,0.24294027131302146,-0.8249474013097375,25,True,-0.19133926459703454,-0.17578702808366398,0.12508266338841745,0.3036753391412768,0.21308877124114048,0.077833038502299,72,26,25
A3::cl0::sl_plus_tp_2r::sl3.0::n5::expinf,A3,sl_plus_tp_2r,3.0,inf,2,-0.12534852844070576,0.15175641364630124,0.121405130917041,-0.8259850468847771,64,True,0.0,-0.12534852844070576,0.0058395291553694495,0.0,0.15175641364630124,0.0578028105234597,0,83,64
A1::full::sl_plus_tp_2r::sl3.5::expinf,A1,sl_plus_tp_2r,3.5,inf,3,-0.14409990781388726,0.19056196386631144,0.15244957109304916,-0.8318198194462033,181,True,-0.14409990781388726,-0.1255966371219882,0.07467040666737157,0.17323452080021845,0.19056196386631144,0.11977386335101683,225,181,212
A3::cl0::sl_partial_close_1r_runner_trail::sl3.5::n5::expinf,A3,sl_partial_close_1r_runner_trail,3.5,inf,2,-0.08444969438142469,0.10015514115574767,0.08012411292459815,-0.8431888109478074,99,True,0.0,-0.08444969438142469,0.035970238854373005,0.0,0.10015514115574767,0.039403903406296105,0,124,99
A1::full::sl_plus_tp_3r::sl2.5::exp2,A1,sl_plus_tp_3r,2.5,2,3,-0.1068961085267458,0.12633751688898476,0.10107001351118781,-0.8461153199700568,117,True,-0.1068961085267458,0.004566962398762753,0.1283522307470859,0.12633751688898476,0.09290468548539714,0.08543172072261804,138,117,118
A3::cl0::sl_partial_close_1r_runner_trail::sl3.0::n5::expinf,A3,sl_partial_close_1r_runner_trail,3.0,inf,2,-0.09915705563832311,0.11703972125427253,0.09363177700341803,-0.8472085765045633,101,True,0.0,-0.09915705563832311,0.01485936822788525,0.0,0.11703972125427253,0.03790459009130789,0,122,101
A1::full::sl_plus_tp_2r::sl2.5::expinf,A1,sl_plus_tp_2r,2.5,inf,3,-0.1871421349966581,0.22081027996170483,0.17664822396936386,-0.8475245583181825,217,True,-0.1871421349966581,-0.0771366388912712,0.060699109961027675,0.22081027996170483,0.16425472661392812,0.17047658193227672,266,217,249
A1::full::sl_partial_close_1r_runner_trail::sl2.5::exp2,A1,sl_partial_close_1r_runner_trail,2.5,2,3,-0.1238166465098639,0.1455955321255455,0.1164764257004364,-0.8504151514972185,266,True,-0.1238166465098639,-0.029644991862204595,0.007867581063159657,0.1455955321255455,0.08357991474559161,0.10965324281259357,278,266,272
A3::cl0::sl_plus_tp_3r::sl2.5::n5::expinf,A3,sl_plus_tp_3r,2.5,inf,2,-0.12731347807027504,0.14746897215597604,0.11797517772478083,-0.8633238315082118,62,True,0.0,-0.12731347807027504,0.044605112568680605,0.0,0.14746897215597604,0.0754641503452185,0,82,62
A1::full::sl_plus_tp_2r::sl2.5::exp2,A1,sl_plus_tp_2r,2.5,2,3,-0.14452593815668124,0.16715188318332294,0.13372150654665835,-0.8646384079213346,140,True,-0.14452593815668124,-0.08241452308640917,0.021558504829396474,0.16715188318332294,0.14336914512117344,0.13211328932182312,163,140,158
A1::full::sl_partial_close_1r_runner_trail::sl3.0::exp2,A1,sl_partial_close_1r_runner_trail,3.0,2,3,-0.11613640339250375,0.13333352283633,0.10666681826906399,-0.8710217874844866,217,True,-0.11613640339250375,-0.03677947240907331,0.03296976188457057,0.13333352283633,0.101337259360934,0.08548591000139087,232,217,225
A1::full::sl_partial_close_1r_runner_trail::sl3.5::exp2,A1,sl_partial_close_1r_runner_trail,3.5,2,3,-0.11837980532856707,0.13522702815307205,0.10818162252245765,-0.8754152697533621,159,True,-0.11837980532856707,-0.09217854372471479,0.06386388034202684,0.13522702815307205,0.12689196622545507,0.03837553425361288,197,159,205
A1::full::sl_plus_tp_3r::sl3.0::expinf,A1,sl_plus_tp_3r,3.0,inf,3,-0.20150662358710147,0.23289729012442892,0.18631783209954314,-0.8838454631414953,182,True,-0.20150662358710147,-0.18157285629102937,0.1868980825016926,0.23289729012442892,0.2054350719249676,0.11776589142471032,222,182,211
A1::full::sl_plus_tp_2r::sl3.0::expinf,A1,sl_plus_tp_2r,3.0,inf,3,-0.19270658880855762,0.2174468741887029,0.17395749935096233,-0.8862237708752926,197,True,-0.19270658880855762,-0.0809057037488824,0.13663774523514127,0.2174468741887029,0.1842150877152569,0.11297341682621212,252,197,233
A3::cl0::sl_plus_tp_3r::sl3.0::n5::expinf,A3,sl_plus_tp_3r,3.0,inf,2,-0.14637231778983728,0.15897330105205226,0.12717864084164182,-0.9207352229662196,60,True,0.0,-0.14637231778983728,0.041730669166696543,0.0,0.15897330105205226,0.044189672167988296,0,82,60
A1::full::sl_plus_tp_2r::sl3.5::exp2,A1,sl_plus_tp_2r,3.5,2,3,-0.1234694769419854,0.1351881227949101,0.1081504982359281,-0.9243698239362237,99,True,-0.1008255517234401,-0.1234694769419854,0.06714280323638322,0.1351881227949101,0.13357151406805778,0.050588553895485215,122,99,100
A1::full::sl_plus_tp_3r::sl3.0::exp2,A1,sl_plus_tp_3r,3.0,2,3,-0.19064513230908964,0.20583775737413093,0.16467020589930476,-0.9261912621918672,97,True,-0.19064513230908964,-0.12884869857185388,0.038436733353591324,0.20583775737413093,0.1488489960437626,0.05837536588589123,111,97,97
A1::full::sl_plus_tp_2r::sl3.0::exp2,A1,sl_plus_tp_2r,3.0,2,3,-0.17409886108018846,0.18785332279549727,0.15028265823639783,-0.9267808441680729,115,True,-0.17409886108018846,-0.07701158658550156,0.04406602363889389,0.18785332279549727,0.10317272967027905,0.11801913808522632,140,115,118
A3::cl0::sl_plus_tp_2r::sl3.5::n5::expinf,A3,sl_plus_tp_2r,3.5,inf,2,-0.1366824454321679,0.13876820723882483,0.11101456579105987,-0.9849694548329269,59,True,0.0,-0.1366824454321679,-0.0016614769797561602,0.0,0.13876820723882483,0.058869295700360334,0,82,59
A1::full::sl_plus_tp_3r::sl3.5::expinf,A1,sl_plus_tp_3r,3.5,inf,3,-0.19982798896764453,0.2134119541192509,0.17072956329540073,-0.9851084756184634,159,True,-0.16734633851547642,-0.19982798896764453,0.17219535167379485,0.2134119541192509,0.20284871556118733,0.11200089110610481,191,159,189
A3::cl0::sl_only::sl3.5::n5::exp2,A3,sl_only,3.5,2,2,-0.1789056916883094,0.1812690655209535,0.1450152524167628,-0.9869620675438914,21,True,0.0,-0.1789056916883094,0.08259611110516496,0.0,0.1812690655209535,0.07678885423138407,0,30,21
A3::cl0::sl_only::sl3.0::n5::expinf,A3,sl_only,3.0,inf,2,-0.3214617441405231,0.32454016668159025,0.2596321333452722,-0.99051450989089,42,True,0.0,-0.3214617441405231,0.10992676609578855,0.0,0.32454016668159025,0.09655214951407239,0,65,42
A3::cl0::sl_only::sl3.5::n5::expinf,A3,sl_only,3.5,inf,2,-0.29016622511586565,0.29220707451109945,0.23376565960887957,-0.993015742693265,39,True,0.0,-0.29016622511586565,0.10600654783492414,0.0,0.29220707451109945,0.09183645518316866,0,58,39
A3::cl0::sl_only::sl3.0::n5::exp2,A3,sl_only,3.0,2,2,-0.1868958864421496,0.1880916562453859,0.15047332499630872,-0.993642621756298,25,True,0.0,-0.1868958864421496,0.05856801570775905,0.0,0.1880916562453859,0.08100146991604044,0,31,25
A1::full::sl_only::sl3.0::expinf,A1,sl_only,3.0,inf,3,-0.4638452208921462,0.5174215872191237,0.413937269775299,-0.9967457016342585,87,True,-0.367213318096686,-0.4638452208921462,0.24693750707480144,0.5174215872191237,0.46535964000810665,0.1300426598755407,149,100,87
A1::full::sl_only::sl3.5::expinf,A1,sl_only,3.5,inf,3,-0.4535282733326361,0.464941444222194,0.37195315537775525,-0.9984342553674475,75,True,-0.34413643822646334,-0.4535282733326361,0.14969327071224847,0.464941444222194,0.45423949638599587,0.12765475410175595,133,95,75
A1::full::sl_only::sl2.5::expinf,A1,sl_only,2.5,inf,3,-0.47659212252193306,0.5350335543966893,0.4280268435173515,-0.9984396769564917,107,True,-0.36630266160283054,-0.47659212252193306,0.11697900335584221,0.5350335543966893,0.4773369223213484,0.15034639670303276,160,107,115
A1::full::sl_plus_tp_3r::sl3.5::exp2,A1,sl_plus_tp_3r,3.5,2,3,-0.1578394640915205,0.18051615341392413,0.14441292273113931,-1.0,76,True,-0.1578394640915205,-0.13330677816871084,0.07998598048902728,0.18051615341392413,0.13330677816871084,0.04343887437374493,97,76,80
