trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
AUD_CAD_2010-03-11T20:00:00,0.0,3.0,0.15853456990832432,0.75
AUD_CAD_2011-02-21T12:00:00,0.0,0.0,0.0,0.0
AUD_CAD_2012-06-11T00:00:00,0.5588235294117647,37.0,0.1847598090978959,0.9958333333333333
AUD_CAD_2014-11-17T08:00:00,0.0,0.0,0.0,0.0
AUD_CAD_2015-05-08T00:00:00,0.5436893203883495,7.0,0.1764701231657989,0.1935483870967742
AUD_CAD_2015-07-21T04:00:00,0.5,2.0,0.23368960506496972,0.11764705882352941
AUD_CAD_2015-08-18T12:00:00,0.36363636363636365,5.0,0.1731520762841912,0.75
AUD_CAD_2016-02-12T16:00:00,0.42105263157894735,8.0,0.16477434857151785,0.6949152542372882
AUD_CAD_2016-02-24T16:00:00,0.0,0.0,0.0,0.0
AUD_CAD_2016-06-28T16:00:00,0.542016806722689,25.0,0.22882675858569826,0.7791666666666667
AUD_CAD_2017-10-18T00:00:00,0.6086956521739131,9.0,0.1404055182309147,0.5757575757575758
AUD_CAD_2017-10-27T20:00:00,0.5,11.0,0.2101938036203148,0.5925925925925926
AUD_CAD_2018-03-01T00:00:00,0.5196078431372549,18.0,0.23977687122472524,0.4827586206896552
AUD_CAD_2019-02-27T08:00:00,0.0,0.0,0.0,0.0
AUD_CAD_2019-03-06T04:00:00,0.5423728813559322,20.0,0.3524548145703563,0.7458333333333333
AUD_CAD_2019-03-20T16:00:00,0.5389221556886228,13.0,0.46615569375897503,0.6010362694300518
AUD_CAD_2019-07-17T08:00:00,0.4838709677419355,8.0,0.36152481391676017,0.5581395348837209
AUD_CAD_2019-09-05T08:00:00,0.5068493150684932,15.0,0.32463513184180603,0.3958333333333333
AUD_CAD_2020-05-28T20:00:00,0.55,30.0,0.2532005579464761,0.9625
AUD_CAD_2020-10-02T04:00:00,0.6363636363636364,2.0,0.3563188716124257,0.26666666666666666
AUD_CAD_2021-02-15T12:00:00,0.48,17.0,0.1889834659748114,0.8518518518518519
AUD_CAD_2021-02-16T12:00:00,0.45652173913043476,12.0,0.13634602586146172,0.8333333333333334
AUD_CAD_2021-06-28T08:00:00,0.3333333333333333,0.0,0.0,0.0
AUD_CAD_2022-06-20T20:00:00,1.0,0.0,0.0,0.0
AUD_CAD_2023-10-03T04:00:00,0.5277777777777778,7.0,0.2522804085449699,0.68
AUD_CAD_2024-06-20T16:00:00,1.0,2.0,0.3687769569454956,0.3076923076923077
AUD_CAD_2025-04-23T16:00:00,0.48325358851674644,12.0,0.4054976163431778,0.3625
AUD_CAD_2025-08-12T08:00:00,0.5,6.0,0.20348588438124238,0.2702702702702703
AUD_CAD_2025-08-27T08:00:00,0.5104602510460251,29.0,0.21832723903548223,0.7041666666666667
AUD_CAD_2025-10-30T08:00:00,0.8333333333333334,5.0,0.138377393950948,0.5714285714285714
AUD_CHF_2010-03-31T08:00:00,0.0,0.0,0.0,0.0
AUD_CHF_2010-05-17T00:00:00,1.0,1.0,0.0,0.3333333333333333
AUD_CHF_2010-05-17T08:00:00,0.0,0.0,0.0,0.0
AUD_CHF_2010-06-01T00:00:00,0.6,5.0,0.09752630417451334,0.6363636363636364
AUD_CHF_2010-11-17T04:00:00,0.5428571428571428,6.0,0.24232371108587936,0.36
AUD_CHF_2011-01-10T04:00:00,0.5357142857142857,5.0,0.4610575073868345,0.375
AUD_CHF_2011-05-12T00:00:00,0.4444444444444444,3.0,0.27672281490062833,0.1951219512195122
AUD_CHF_2012-10-30T12:00:00,0.5026178010471204,19.0,0.2679667690463514,0.2761904761904762
AUD_CHF_2014-01-09T04:00:00,0.4,6.0,0.19221875092322516,0.4642857142857143
AUD_CHF_2014-03-07T16:00:00,0.0,0.0,0.0,0.0
AUD_CHF_2014-11-11T04:00:00,0.5454545454545454,7.0,0.2810389493412153,0.3333333333333333
AUD_CHF_2017-04-18T04:00:00,0.0,0.0,0.0,0.0
AUD_CHF_2017-08-18T20:00:00,0.6,3.0,0.08949058437986965,0.10344827586206896
