trade_id,pair,entry_time,bars_held,final_r,mfe_r,mae_r
AUD_CHF_2025-04-28T16:00:00,AUD_CHF,2025-04-28T20:00:00,200,-1.003516525166219,3.2167413957937736,-1.0153966417441385
AUD_JPY_2015-02-27T12:00:00,AUD_JPY,2015-02-27T16:00:00,42,-1.004994560125325,1.3820661375353158,-1.3763580688206762
AUD_NZD_2011-05-18T04:00:00,AUD_NZD,2011-05-18T08:00:00,15,-1.0232604729114,0.3534580557623212,-1.0623968171053368
AUD_NZD_2025-01-20T04:00:00,AUD_NZD,2025-01-20T08:00:00,38,-1.0122661613894008,0.326279892956852,-1.1064077573199955
AUD_USD_2013-01-14T12:00:00,AUD_USD,2013-01-14T16:00:00,15,-1.0096466026394044,0.4572489651068736,-1.1884614451724476
AUD_USD_2018-09-24T12:00:00,AUD_USD,2018-09-24T16:00:00,17,-1.01926883583207,1.293420605228483,-1.1224096872187603
AUD_USD_2022-10-28T08:00:00,AUD_USD,2022-10-28T12:00:00,21,-1.0005762904283406,0.876537741497752,-1.056340355138346
CAD_CHF_2023-02-15T08:00:00,CAD_CHF,2023-02-15T12:00:00,15,-1.0037435321997783,0.5353251045703559,-1.0344627312093402
CAD_JPY_2015-05-22T08:00:00,CAD_JPY,2015-05-22T12:00:00,160,-1.0168807478698791,4.02418272831506,-1.1356992039127458
CAD_JPY_2015-11-27T04:00:00,CAD_JPY,2015-11-27T08:00:00,27,-1.0185401823580749,1.7267089836156642,-1.1779195858165423
CAD_JPY_2021-08-27T12:00:00,CAD_JPY,2021-08-27T16:00:00,77,-1.0008912317792362,2.029334761338537,-1.4054725158677597
CHF_JPY_2014-06-23T00:00:00,CHF_JPY,2014-06-23T04:00:00,20,-1.0013446839570836,0.9170744587365376,-1.32854774960662
CHF_JPY_2020-02-25T04:00:00,CHF_JPY,2020-02-25T08:00:00,19,-1.004574026222924,0.6700948416571137,-1.246422145744427
EUR_AUD_2020-10-30T08:00:00,EUR_AUD,2020-10-30T12:00:00,11,-1.0023067882294283,0.5914605020271569,-1.658119379317939
EUR_AUD_2021-04-22T16:00:00,EUR_AUD,2021-04-22T20:00:00,69,-1.0091688159098582,1.0882238382989913,-1.112291980062349
EUR_CAD_2012-06-15T08:00:00,EUR_CAD,2012-06-15T12:00:00,35,-1.0272838744744894,1.4787859965168937,-1.2511605294726449
EUR_CAD_2015-02-13T12:00:00,EUR_CAD,2015-02-13T16:00:00,29,-1.0003918173827415,0.6245569080977467,-1.200528460734936
EUR_CAD_2019-12-12T08:00:00,EUR_CAD,2019-12-12T12:00:00,24,-1.0117149593840309,1.7035503437611668,-1.2740018330134064
EUR_CHF_2014-05-01T08:00:00,EUR_CHF,2014-05-01T12:00:00,7,-1.002760357744473,0.7673794529521012,-1.3801788722163206
EUR_CHF_2017-09-01T12:00:00,EUR_CHF,2017-09-01T16:00:00,31,-1.0127659105770068,1.0799960348135198,-1.049357849428764
EUR_CHF_2019-10-15T12:00:00,EUR_CHF,2019-10-15T16:00:00,120,-1.0011220835540486,1.8357286944490177,-1.0210960341984172
EUR_CHF_2020-03-27T08:00:00,EUR_CHF,2020-03-27T12:00:00,30,-1.0008535718414824,0.3414287365868037,-1.0123362039798705
EUR_CHF_2021-06-24T16:00:00,EUR_CHF,2021-06-24T20:00:00,35,-1.0036422184289209,1.1290877129520418,-1.1108766208077767
