trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
1,AUD_CAD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.97558,0.9705346549,2021-03-12 15:00:00,0.9705196549,stoploss,15,-1.002973037,0.3091958976,-1.151556516,2,0.2,0.3,2021
2,AUD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.718705,0.7142559438,2021-03-17 19:00:00,0.7141959438,stoploss,91,-1.013486006,0.7383588379,-1.115967011,10,1.1,1.2,2021
3,AUD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,84.476,83.99046267,2021-03-19 01:00:00,84.538,time_exit,120,0.1276935802,1.997786658,-0.7517444642,104,0.4,0.4,2021
4,AUD_NZD,2021-03-12 00:00:00,2021-03-12 01:00:00,1.077445,1.073601826,2021-03-19 01:00:00,1.082135,time_exit,120,1.220345337,1.713427301,-0.8469560918,115,1.5,1.5,2021
5,AUD_USD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.778375,0.7727075231,2021-03-12 17:00:00,0.7726925231,stoploss,17,-1.00264668,0.295545976,-1.043674297,2,0.3,0.3,2021
6,CAD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.736585,0.7326199734,2021-03-19 01:00:00,0.742105,time_exit,120,1.39217226,2.765429135,-0.02143743516,34,1.7,1.5,2021
7,CAD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,86.5645,86.13091659,2021-03-19 01:00:00,87.1945,time_exit,120,1.453007614,3.499903262,-0.008072264524,104,0.5,0.5,2021
8,CHF_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,117.354,116.7941904,2021-03-19 01:00:00,117.469,time_exit,120,0.2054269871,1.475501664,-0.6234262479,105,0.6,0.6,2021
9,EUR_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,1.106975,1.102895328,2021-03-16 15:00:00,1.102890328,stoploss,63,-1.001225589,1.06993887,-1.2390701,21,0.7,0.1,2021
10,NZD_CAD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.90511,0.899649303,2021-03-12 13:00:00,0.899564303,stoploss,13,-1.015565779,0.1629828588,-1.06579802,0,1.8,1.7,2021
11,NZD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.66718,0.6623053293,2021-03-19 01:00:00,0.6648,time_exit,120,-0.488238106,0.705688691,-0.9785276326,34,0.8,0.8,2021
12,NZD_JPY,2021-03-12 00:00:00,2021-03-12 01:00:00,78.3755,77.85889996,2021-03-19 01:00:00,78.107,time_exit,120,-0.5197444393,1.475996778,-0.8778551331,104,0.5,0.4,2021
13,NZD_USD,2021-03-12 00:00:00,2021-03-12 01:00:00,0.7222,0.7165463676,2021-03-12 13:00:00,0.7165363676,stoploss,13,-1.001768774,0.1963339545,-1.08602746,0,0.2,0.2,2021
14,USD_CHF,2021-03-12 00:00:00,2021-03-12 01:00:00,0.923865,0.9185234144,2021-03-19 01:00:00,0.927525,time_exit,120,0.6851898078,1.6165612,-0.47083398,16,0.1,0.1,2021
15,NZD_CAD,2021-03-12 14:00:00,2021-03-12 15:00:00,0.900535,0.8956823566,2021-03-12 17:00:00,0.8956023566,stoploss,3,-1.01648586,0.02575915612,-1.039639541,0,1.7,1.6,2021
16,NZD_USD,2021-03-12 14:00:00,2021-03-12 15:00:00,0.7178,0.7122965432,2021-03-19 15:00:00,0.71674,time_exit,120,-0.1926062168,1.65532324,-0.6486832017,90,0.2,0.2,2021
17,AUD_CAD,2021-03-12 16:00:00,2021-03-12 17:00:00,0.9705,0.9649460214,2021-03-15 08:00:00,0.9649360214,stoploss,16,-1.001800511,0.009002555374,-1.085708178,0,0.2,0.2,2021
18,AUD_USD,2021-03-12 18:00:00,2021-03-12 19:00:00,0.777135,0.7698500013,2021-03-19 19:00:00,0.775325,time_exit,120,-0.2484557769,1.06588901,-0.9917640819,86,0.3,0.3,2021
19,NZD_CAD,2021-03-12 18:00:00,2021-03-12 19:00:00,0.89623,0.8905898587,2021-03-19 19:00:00,0.896315,time_exit,120,0.01507054434,0.9006866501,-0.6666499615,74,1.8,1.5,2021
20,AUD_CAD,2021-03-15 09:00:00,2021-03-15 10:00:00,0.96528,0.9604481464,2021-03-22 11:00:00,0.965055,time_exit,120,-0.04656598006,1.376283411,-0.8982060155,81,0.2,0.5,2021
21,EUR_CHF,2021-03-16 16:00:00,2021-03-16 17:00:00,1.102505,1.098255623,2021-03-23 18:00:00,1.107375,time_exit,120,1.146050295,1.394321971,-0.5353725711,47,0.1,0.1,2021
22,AUD_CHF,2021-03-17 20:00:00,2021-03-17 21:00:00,0.718725,0.7133355074,2021-03-23 04:00:00,0.7132805074,stoploss,79,-1.010205042,0.9880336356,-1.140181538,16,1.1,1.1,2021
23,EUR_USD,2021-03-18 00:00:00,2021-03-18 01:00:00,1.197845,1.191691249,2021-03-18 15:00:00,1.191686249,stoploss,15,-1.000812513,0.1714401594,-1.105829654,8,0.1,0.1,2021
