trade_id,cluster_label
1,5
2,0
3,2
4,2
5,5
6,0
7,3
8,3
9,0
10,5
11,0
12,4
13,5
14,5
15,1
16,4
17,1
18,2
19,4
20,2
21,0
22,0
23,4
24,2
25,0
26,3
27,5
28,2
29,5
30,1
31,3
32,1
33,2
34,3
35,3
36,2
37,2
38,3
39,0
40,0
41,1
42,0
43,5
44,2
45,5
46,2
47,0
48,5
49,0
50,0
51,5
52,0
53,2
54,0
55,0
56,3
57,1
58,2
59,5
60,0
61,1
62,0
63,0
64,2
65,0
66,0
67,5
68,0
69,0
70,1
71,3
72,0
73,4
74,2
75,3
76,0
77,0
78,0
79,1
80,3
81,3
82,2
83,3
84,2
85,0
86,4
87,3
88,4
89,0
90,2
91,5
92,3
93,2
94,3
95,5
96,1
97,1
98,2
99,4
100,2
101,0
102,0
103,0
104,1
105,1
106,2
107,3
108,1
109,3
110,2
111,4
112,0
113,2
114,1
115,0
116,3
117,2
118,3
119,0
120,3
121,2
122,4
123,3
124,2
125,0
126,0
127,0
128,5
129,4
130,0
131,0
132,0
133,3
134,5
135,2
136,5
137,4
138,0
139,1
140,2
141,0
142,0
143,4
144,1
145,0
146,5
147,0
148,5
149,4
150,2
151,3
152,0
153,2
154,0
155,3
156,2
157,2
158,0
159,0
160,0
161,0
162,0
163,5
164,3
165,0
166,0
167,0
168,0
169,3
170,3
171,3
172,3
173,2
174,3
175,3
176,0
177,3
178,4
179,0
180,0
181,2
182,4
183,5
184,1
185,0
186,5
187,3
188,5
189,5
190,2
191,0
192,4
193,1
194,1
195,1
196,1
197,0
198,2
199,1
200,5
201,0
202,0
203,3
204,0
205,5
206,3
207,2
208,5
209,0
210,3
211,1
212,4
213,2
214,1
215,1
216,0
217,2
218,5
219,2
220,0
221,0
222,3
223,3
224,2
225,0
226,0
227,2
228,4
229,5
230,4
231,0
232,5
233,2
234,2
235,5
236,1
237,0
238,3
239,2
240,0
241,1
242,3
243,3
244,3
245,3
246,1
247,0
248,3
249,1
250,1
251,0
252,0
253,5
254,0
255,1
256,1
257,0
258,5
259,0
260,3
261,2
262,1
263,1
264,1
265,4
266,3
267,2
268,3
269,3
270,0
271,2
272,0
273,1
274,0
275,5
276,3
277,4
278,0
279,2
280,4
281,0
282,0
283,4
284,5
285,4
286,2
287,2
288,0
289,2
290,1
291,0
292,0
293,4
294,0
295,0
296,0
297,1
298,4
299,0
300,0
301,0
302,0
303,3
304,1
305,3
306,3
307,0
308,0
309,2
310,0
311,4
312,1
313,5
314,5
315,0
316,0
317,4
318,0
319,5
320,4
321,2
322,3
323,5
324,2
325,4
326,0
327,4
328,4
329,1
330,3
331,5
332,0
333,4
334,4
335,5
336,0
337,5
338,0
339,4
340,0
341,3
342,0
343,3
344,1
345,4
346,2
347,5
348,1
349,0
350,0
351,0
352,4
353,0
354,0
355,5
356,3
357,2
358,5
359,3
360,3
361,1
362,0
363,0
364,2
365,0
366,0
367,4
368,5
369,5
370,5
371,3
372,0
373,5
374,1
375,1
376,1
377,2
378,1
379,5
380,5
381,2
382,1
383,1
384,1
385,2
386,1
387,2
388,3
389,0
390,0
391,4
392,0
393,3
394,2
395,3
396,1
397,0
398,3
399,0
400,0
401,2
402,0
403,0
404,2
405,2
406,5
407,2
408,3
409,1
410,1
411,3
412,0
413,2
414,3
415,0
416,5
417,3
418,0
419,3
420,0
421,3
422,0
423,0
424,2
425,2
426,3
427,3
428,3
429,4
430,4
431,3
432,1
433,3
434,1
435,3
436,3
437,5
438,5
439,0
440,5
441,0
442,5
443,0
