trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
1,0.5,2,0,0.1428571429
2,0.4634146341,3,0.4472858714,0.1111111111
3,0.5,9,0.525191338,0.8666666667
4,0.52,16,0.2081612515,0.9583333333
5,0.6666666667,2,0,0.125
6,0.5416666667,18,0.224462556,0.2833333333
7,0.5083333333,31,0.2583124651,0.8666666667
8,0.57,21,0.3295763402,0.875
9,0.4,7,0.1446194578,0.3387096774
10,0.3333333333,0,0,0
11,0.4915254237,8,0.3015588302,0.2833333333
12,0.4810126582,11,0.635888448,0.8666666667
13,1,0,0,0
14,0.5046728972,8,0.0655236155,0.1333333333
15,0,0,0,0
16,0.5,7,0.6141594464,0.75
17,0,0,0,0
18,0.6086956522,8,0.2045298937,0.7166666667
19,0.4827586207,8,0.5549506328,0.6166666667
20,0.55,16,0.4677293998,0.675
21,0.5108695652,6,0.3306366867,0.3916666667
22,0.512195122,9,0.2449210139,0.2051282051
23,0.5,2,0.4663822346,0.5714285714
24,0.5416666667,3,0.4425225662,0.6621621622
25,0.5454545455,4,0.3188753298,0.2432432432
26,0.5681818182,21,0.2223998316,0.95
27,0.6666666667,2,0.08592643343,0.6470588235
28,0.4,6,0.3153919037,0.6785714286
29,0.3529411765,4,0,0.1333333333
30,0,0,0,0
31,0.5609756098,28,0.202591238,0.9083333333
32,0,0,0,0
33,0.4666666667,5,0.3686111922,0.8333333333
34,0.5087719298,22,0.3217818033,0.6583333333
35,0.5042016807,24,0.2488139679,0.65
36,0.5411764706,21,0.5759471242,0.8416666667
37,0.4920634921,13,0.3177176361,0.9416666667
38,0.5833333333,31,0.1879008715,0.9666666667
39,0.4358974359,10,0.2913936424,0.3909090909
40,0.4642857143,15,0.2240901075,0.3214285714
41,0,0,0,0
42,0.5546218487,16,0.233568099,0.4583333333
43,0.5,1,0,0.04347826087
44,0.5612244898,16,0.1086159657,0.9416666667
45,0.4468085106,7,0.07386042757,0.125
46,0.4731182796,13,0.2067205155,0.6333333333
47,0.4821428571,4,0.2616103447,0.2173913043
48,0.6666666667,3,0,0.2857142857
49,0.5847457627,12,0.1406657905,0.6
50,0.5454545455,4,0.3265456108,0.3157894737
51,0.4,1,0,0.03333333333
52,0.4634146341,8,0.1334191055,0.2325581395
53,0.5,1,0,0.9591836735
54,0.4736842105,11,0.1259474458,0.2386363636
55,0.5555555556,7,0.3577225423,0.33
56,0.5267857143,21,0.2826857737,0.5666666667
57,0.2,6,0.120537061,0.2916666667
58,0.5247524752,15,0.271482625,0.7583333333
59,0.5238095238,7,0.112239861,0.1071428571
60,0.5066666667,7,0.2635798128,0.1071428571
61,0,0,0,0
62,0.5277777778,6,0.1691411059,0.6416666667
63,0.4931506849,12,0.4930581736,0.3826086957
64,0.5283018868,12,0.3696948159,0.9166666667
65,0.7142857143,7,0.3797229601,0.4838709677
66,0.5384615385,9,0.4434632121,0.3636363636
67,0.5555555556,6,0.0390258607,0.4444444444
68,0.3684210526,7,0.4272001292,0.40625
69,0.5212765957,10,0.5023697459,0.3
70,0,0,0,0
71,0.5210084034,25,0.126613031,0.5
72,0.4651162791,7,0.2051454919,0.2307692308
73,0.4716981132,5,0.7865908045,0.5894736842
74,0.5378151261,16,0.3670841113,0.7
75,0.5423728814,23,0.1609577089,0.5
76,0.2222222222,3,0.2462063428,0.5384615385
77,0.4929577465,19,0.1982634811,0.4494382022
78,0.380952381,6,0.1701439774,0.3888888889
79,0,0,0,0
80,0.5529411765,19,0.160602919,0.7916666667
81,0.5916666667,21,0.3117203172,0.775
82,0.6666666667,4,0.293370597,0.6666666667
83,0.5775862069,19,0.1719259249,0.8083333333
84,0.5223880597,11,0.3323487241,0.8
85,0.4754098361,8,0.2070780815,0.4
86,0.5192307692,8,0.904367042,0.3894736842
87,0.5166666667,20,0.2265957309,0.8
88,0.5,4,0.5966192906,0.619047619
89,0.537037037,6,0.4537404131,0.3166666667
90,0.5,14,0.1791510004,0.925
91,0.4666666667,7,0.1457413723,0.2089552239
92,0.5060240964,22,0.2078174363,0.7666666667
93,0.4179104478,15,0.4164931425,0.5714285714
94,0.5294117647,24,0.5170784912,0.975
95,0.6,7,0.1206973936,0.225
96,0,0,0,0
97,0,2,0,0.2142857143
98,0.5365853659,14,0.2785489371,0.6333333333
99,0.45,5,0.5269968724,0.45
100,0.5576923077,11,0.0608785095,0.7666666667
101,0.5384615385,18,0.1628237636,0.375
102,0.4705882353,11,0.3630566312,0.4
103,0.5227272727,5,0.4731764346,0.3
104,0,0,0,0
105,0,0,0,0
106,0.4157303371,14,0.3323322407,0.625
107,0.6,26,0.1317436874,0.9333333333
108,0,0,0,0
109,0.5916666667,22,0.276313786,0.9916666667
110,0.5315315315,12,0.3420674841,0.9583333333
111,0.25,4,0.573655647,0.2741935484
112,0.4252873563,12,0.1987272827,0.376146789
113,0.3333333333,3,0,0.8181818182
114,0,0,0,0
115,0.5,11,0.224605428,0.3829787234
116,0.4913793103,21,0.2229361245,0.975
117,0.5593220339,12,0.2817957564,0.9333333333
118,0.5,24,0.2842715873,0.875
119,0.5740740741,6,0.3279203931,0.3943661972
120,0.55,29,0.396982909,0.85
121,0.4761904762,14,0.4888438141,0.725
122,0.5294117647,10,0.6539410348,0.975
123,0.525,25,0.3614876039,1
124,0.5,8,0.3041212519,0.9285714286
125,0.5194805195,9,0.1778863608,0.145631068
126,0.5583333333,11,0.3444296416,0.4833333333
127,0.4651162791,6,0.5204239401,0.2580645161
128,0.3333333333,1,0,0.125
129,0.7692307692,4,0.6452534365,0.3636363636
130,0.4285714286,4,0.3700958014,0.1016949153
131,0.4915254237,13,0.3830687791,0.5583333333
132,0.5416666667,8,0.3043417044,0.5526315789
133,0.5641025641,20,0.2646513756,0.675
134,0.75,2,0,0.2
135,0.5185185185,7,0.222628157,0.8666666667
136,0.59375,3,0.1428689943,0.06896551724
137,0.5526315789,4,0.535878268,0.5483870968
138,0.5486725664,10,0.2996228302,0.2583333333
139,0,0,0,0
140,0.5106382979,13,0.478364303,1
141,0.5,3,0.3440851349,0.1428571429
142,0.4444444444,7,0.3000391791,0.4
143,0.5826086957,12,0.5912009967,0.7166666667
144,0,1,0,0.5
145,0.4444444444,6,0.2583877883,0.3111111111
146,0.8333333333,6,0,0.125
147,0.55,4,0.4445533849,0.3
148,0.625,8,0.0431381645,0.5625
149,0.5454545455,3,0.5860207866,0.3243243243
150,0.4918032787,9,0.3346208648,0.6666666667
151,0.575,20,0.2295715687,0.9416666667
152,0.4736842105,8,0.1698717676,0.1612903226
153,0.4951456311,9,0.5065558924,0.9166666667
154,0.3333333333,5,0.4564459378,0.358974359
155,0.575,21,0.187305277,1
156,0.474137931,11,0.5649192648,0.9166666667
157,0.5,8,0.1222057293,0.8083333333
158,0.546875,9,0.1488943294,0.4623655914
159,0.5217391304,11,0.1552673691,0.5606060606
160,0.5416666667,19,0.1454552734,0.3
161,0.5652173913,7,0.2102333292,0.3265306122
162,0.4166666667,5,0.1563602369,0.3260869565
163,0.625,2,0.2157290713,0.2
164,0.6,42,0.2015208388,0.9666666667
165,0.4621848739,11,0.2956339515,0.3666666667
166,0.5094339623,15,0.0677975379,0.175
167,0.5714285714,12,0.2306341713,0.5416666667
168,0.5588235294,8,0.1403453256,0.4769230769
169,0.5966386555,29,0.2356952251,1
170,0.5677966102,40,0.2249746905,0.975
171,0.5833333333,20,0.318568443,0.8583333333
172,0.65,36,0.154300189,0.9083333333
173,0.4661016949,13,0.3311542301,0.8833333333
174,0.6095238095,30,0.3662184337,0.6916666667
175,0.5700934579,26,0.171662982,0.7333333333
176,0.5074626866,7,0.4657491578,0.2083333333
177,0.55,26,0.314828497,0.6583333333
178,0.5132743363,10,0.6329578012,0.5833333333
179,0.4905660377,8,0.3204050642,0.4166666667
180,0.4415584416,8,0.3061083213,0.2
181,0.495049505,10,0.3958676596,0.625
182,0.484375,5,0.7541803885,0.5166666667
183,0.5294117647,1,0,0.01234567901
184,0,0,0,0
185,0.5363636364,14,0.286248006,0.3666666667
186,0.6666666667,2,0,0.04
187,0.580952381,24,0.2988977002,0.6
188,0.5573770492,10,0.07953723535,0.2166666667
189,0.4444444444,1,0,0.08333333333
190,0.5625,6,0.4507120739,0.7169811321
191,0.5,7,0.3532913079,0.09649122807
192,0.6071428571,10,0.6490529448,0.45
193,0,1,0,0.1
194,0,0,0,0
195,0,2,0,0.75
196,0,0,0,0
197,0.5,8,0.4072490419,0.1333333333
198,0.4943820225,15,0.2184439064,0.6916666667
199,0,0,0,0
200,0.5625,5,0.1668152954,0.2093023256
201,0.5,3,0.326797313,0.2727272727
202,0.4489795918,10,0.5109187486,0.2083333333
203,0.575,39,0.1887132789,0.9416666667
204,0.4545454545,9,0.2201529662,0.2328767123
205,0.4,1,0,0.01538461538
206,0.5798319328,24,0.3591312141,0.925
207,0.5267857143,16,0.1779158046,0.8
208,0.6666666667,3,0.09593529684,0.2608695652
209,0.4117647059,7,0.235985432,0.3888888889
210,0.5546218487,31,0.243264761,0.525
211,0,1,0,0.05
212,0.5555555556,4,0.5930120421,0.3333333333
213,0.4778761062,11,0.2509026824,0.975
214,0,1,0,0.2857142857
215,0,0,0,0
216,0.4736842105,13,0.2250246366,0.4567901235
217,0.5238095238,14,0.2383659613,0.9833333333
218,0.5,4,0.08318597303,0.1875
219,0.5789473684,5,0.4652809572,0.9142857143
220,0.4854368932,11,0.1686029873,0.6293103448
221,0.5729166667,11,0.3144218138,0.3416666667
222,0.4857142857,25,0.2310339567,0.6071428571
223,0.5393258427,19,0.2409542774,0.875
224,0.4285714286,10,0.2127185449,0.8416666667
225,0.5546218487,17,0.0764415671,0.325
226,0.3636363636,6,0.5336473293,0.1833333333
227,0.5866666667,15,0.2916072428,0.9666666667
228,0.5,6,0.880733264,0.7083333333
229,0.4782608696,5,0.1625801849,0.2
230,0.4,4,0.6872443604,0.4416666667
231,0.5169491525,12,0.1702524984,0.1666666667
232,0.4,0,0,0
233,0.5595238095,16,0.4759275207,1
234,0.5945945946,7,0.1053351888,0.9666666667
235,0.5833333333,6,0.0329390162,0.1489361702
236,0,1,0,0.08064516129
237,0.48,5,0.3059489295,0.2195121951
238,0.5638297872,21,0.228102033,0.7333333333
239,0.5263157895,13,0.1563295555,0.8083333333
240,0.5185185185,12,0.3989371208,0.3606557377
241,0,2,0,0.375
242,0.5789473684,39,0.327908502,0.9833333333
243,0.5043478261,37,0.2422837505,0.9666666667
244,0.547826087,29,0.1283554346,0.5916666667
245,0.4833333333,21,0.130615563,0.5583333333
246,0,1,0,0.3055555556
247,0.5083333333,12,0.1360643744,0.2583333333
248,0.4789915966,21,0.2176399425,0.55
249,0,0,0,0
250,0,0,0,0
251,0.4786324786,19,0.2417691553,0.5083333333
252,0.4408602151,14,0.1177215751,0.4
253,1,1,0,0.6363636364
254,0.4857142857,10,0.3425210488,0.3916666667
255,0,0,0,0
256,0,0,0,0
257,0.5,7,0.2506070345,0.2653061224
258,0.5652173913,9,0.1165565492,0.225
259,0.5,3,0.4541729166,0.3055555556
260,0.568627451,25,0.4151539685,1
261,0.5408163265,13,0.4189656904,1
262,0,0,0,0
263,0,0,0,0
264,0,1,0,0.0625
265,0.5,7,0.7756427721,0.8666666667
266,0.5555555556,30,0.1719877885,0.95
267,0.5172413793,12,0.2381250562,0.9833333333
268,0.5294117647,26,0.2457622391,0.9833333333
269,0.6166666667,42,0.194010224,0.875
270,0.4,5,0.3057844811,0.2459016393
271,0.5166666667,17,0.3665190901,0.9
272,0.5064935065,10,0.2167304017,0.3870967742
273,0,0,0,0
274,0.625,5,0.2440272466,0.2666666667
275,0.6666666667,4,0.1129867015,0.2580645161
276,0.5086206897,23,0.2116556141,0.5833333333
277,0.5,4,0.7385633053,0.6140350877
278,0.5697674419,13,0.2313015222,0.5583333333
279,0.5614035088,16,0.3370411686,0.7079646018
280,0.5,6,1.076442087,0.7311827957
