trade_id,cluster_id
AUD_CAD_2010-03-11T20:00:00,1
AUD_CAD_2011-02-21T12:00:00,2
AUD_CAD_2012-06-11T00:00:00,0
AUD_CAD_2014-11-17T08:00:00,2
AUD_CAD_2015-05-08T00:00:00,1
AUD_CAD_2015-07-21T04:00:00,1
AUD_CAD_2015-08-18T12:00:00,1
AUD_CAD_2016-02-12T16:00:00,1
AUD_CAD_2016-02-24T16:00:00,2
AUD_CAD_2016-06-28T16:00:00,0
AUD_CAD_2017-10-18T00:00:00,1
AUD_CAD_2017-10-27T20:00:00,1
AUD_CAD_2018-03-01T00:00:00,1
AUD_CAD_2019-02-27T08:00:00,2
AUD_CAD_2019-03-06T04:00:00,0
AUD_CAD_2019-03-20T16:00:00,3
AUD_CAD_2019-07-17T08:00:00,3
AUD_CAD_2019-09-05T08:00:00,1
AUD_CAD_2020-05-28T20:00:00,0
AUD_CAD_2020-10-02T04:00:00,1
AUD_CAD_2021-02-15T12:00:00,0
AUD_CAD_2021-02-16T12:00:00,0
AUD_CAD_2021-06-28T08:00:00,2
AUD_CAD_2022-06-20T20:00:00,1
AUD_CAD_2023-10-03T04:00:00,1
AUD_CAD_2024-06-20T16:00:00,1
AUD_CAD_2025-04-23T16:00:00,3
AUD_CAD_2025-08-12T08:00:00,1
AUD_CAD_2025-08-27T08:00:00,0
AUD_CAD_2025-10-30T08:00:00,1
AUD_CHF_2010-03-31T08:00:00,2
AUD_CHF_2010-05-17T00:00:00,1
AUD_CHF_2010-05-17T08:00:00,2
AUD_CHF_2010-06-01T00:00:00,1
AUD_CHF_2010-11-17T04:00:00,1
AUD_CHF_2011-01-10T04:00:00,3
AUD_CHF_2011-05-12T00:00:00,1
AUD_CHF_2012-10-30T12:00:00,1
AUD_CHF_2014-01-09T04:00:00,1
AUD_CHF_2014-03-07T16:00:00,2
AUD_CHF_2014-11-11T04:00:00,1
AUD_CHF_2017-04-18T04:00:00,2
AUD_CHF_2017-08-18T20:00:00,1
AUD_CHF_2017-12-18T20:00:00,0
AUD_CHF_2018-05-01T08:00:00,0
AUD_CHF_2018-07-16T12:00:00,2
AUD_CHF_2018-07-16T16:00:00,1
AUD_CHF_2018-10-02T20:00:00,2
AUD_CHF_2018-10-16T08:00:00,0
AUD_CHF_2019-02-27T08:00:00,2
AUD_CHF_2019-05-01T08:00:00,2
AUD_CHF_2019-10-15T12:00:00,0
AUD_CHF_2020-06-17T20:00:00,1
AUD_CHF_2020-11-09T08:00:00,0
AUD_CHF_2021-04-02T08:00:00,1
AUD_CHF_2021-04-05T16:00:00,1
AUD_CHF_2021-06-29T04:00:00,2
AUD_CHF_2022-08-15T08:00:00,2
AUD_CHF_2023-03-21T08:00:00,2
AUD_CHF_2023-03-21T12:00:00,2
AUD_CHF_2023-05-11T12:00:00,2
AUD_CHF_2023-05-17T20:00:00,1
AUD_CHF_2024-09-13T20:00:00,0
