trade_id,pair,entry_time,bars_held,final_r,mfe_r,mae_r
AUD_CAD_2011-02-21T12:00:00,AUD_CAD,2011-02-21T16:00:00,3,-1.0379410323336045,0.0424939562136416,-1.150372100354779
AUD_CAD_2014-11-17T08:00:00,AUD_CAD,2014-11-17T12:00:00,11,-1.0043118534576687,0.1832537719508458,-1.3603897658939066
AUD_CAD_2016-02-24T16:00:00,AUD_CAD,2016-02-24T20:00:00,5,-1.0290879040636975,0.325378647782328,-1.2358976912646178
AUD_CAD_2019-02-27T08:00:00,AUD_CAD,2019-02-27T12:00:00,7,-1.035677466825776,0.0909775404057391,-1.6340279806206834
AUD_CAD_2021-06-28T08:00:00,AUD_CAD,2021-06-28T12:00:00,12,-1.002492671635992,0.5085050137427518,-1.2538138329048638
AUD_CHF_2010-03-31T08:00:00,AUD_CHF,2010-03-31T12:00:00,1,-1.0347572615595768,0.1292970130016356,-1.233187640133904
AUD_CHF_2010-05-17T08:00:00,AUD_CHF,2010-05-17T12:00:00,1,-1.025407487607542,-0.0284563861204473,-1.1230109522535805
AUD_CHF_2014-03-07T16:00:00,AUD_CHF,2014-03-07T20:00:00,11,-1.0039309599725257,0.1383697910327344,-1.366401686448261
AUD_CHF_2017-04-18T04:00:00,AUD_CHF,2017-04-18T08:00:00,1,-1.0350785816383106,0.165716058084529,-1.0584054804667875
AUD_CHF_2018-07-16T12:00:00,AUD_CHF,2018-07-16T16:00:00,5,-1.0010991416241797,0.2110351918409678,-1.0265982769762874
AUD_CHF_2018-10-02T20:00:00,AUD_CHF,2018-10-03T00:00:00,8,-1.0195662376294596,0.2357731634349368,-1.2219115399594631
AUD_CHF_2019-02-27T08:00:00,AUD_CHF,2019-02-27T12:00:00,6,-1.021372408116586,0.5428591661613158,-1.273795523748543
AUD_CHF_2019-05-01T08:00:00,AUD_CHF,2019-05-01T12:00:00,1,-1.0308121594632598,0.0677867508192292,-1.4173593353104348
AUD_CHF_2021-06-29T04:00:00,AUD_CHF,2021-06-29T08:00:00,2,-1.0383141111572811,0.1883777131899722,-1.1877374458758168
AUD_CHF_2022-08-15T08:00:00,AUD_CHF,2022-08-15T12:00:00,0,-1.0012006108978817,0.0084042762850984,-1.0985589715519315
AUD_CHF_2023-03-21T08:00:00,AUD_CHF,2023-03-21T12:00:00,1,-1.0024669914113662,0.0222029227023143,-1.0616286373588355
AUD_CHF_2023-03-21T12:00:00,AUD_CHF,2023-03-21T16:00:00,14,-1.0024856881268325,0.3272822700325315,-1.0547603284845493
AUD_CHF_2023-05-11T12:00:00,AUD_CHF,2023-05-11T16:00:00,6,-1.0032970027911607,-0.001099000930398,-1.0495458885232458
AUD_JPY_2013-12-11T08:00:00,AUD_JPY,2013-12-11T12:00:00,1,-1.000711993593635,0.2499097513668942,-1.0160148581212454
AUD_JPY_2018-08-30T04:00:00,AUD_JPY,2018-08-30T08:00:00,2,-1.0181020983773683,0.3276479806300044,-1.156724086312566
AUD_JPY_2020-09-14T08:00:00,AUD_JPY,2020-09-14T12:00:00,14,-1.008308559769557,0.7791582717228898,-1.1835081805080094
AUD_JPY_2021-04-07T04:00:00,AUD_JPY,2021-04-07T08:00:00,5,-1.0009632548423115,0.1608635586670334,-1.0393519748606506
AUD_JPY_2023-08-02T04:00:00,AUD_JPY,2023-08-02T08:00:00,6,-1.0042808225001756,-0.0023782347223056,-1.0801942108783649
AUD_JPY_2025-03-19T20:00:00,AUD_JPY,2025-03-20T00:00:00,3,-1.004526146356975,0.1900981469927428,-1.4166838097317085
AUD_NZD_2010-04-16T08:00:00,AUD_NZD,2010-04-16T12:00:00,4,-1.0629152863815403,0.4643148134959117,-1.031810696657588
AUD_NZD_2010-04-21T20:00:00,AUD_NZD,2010-04-22T00:00:00,7,-1.0657359457489697,0.2129844642266768,-1.6736371787686917
AUD_NZD_2013-06-26T12:00:00,AUD_NZD,2013-06-26T16:00:00,13,-1.032477728381473,0.777591766056847,-1.2934879899627914
AUD_NZD_2016-11-16T08:00:00,AUD_NZD,2016-11-16T12:00:00,3,-1.0342690500778715,0.0853366541155266,-1.0233679072276274
