trade_id,pair,entry_time,bars_held,final_r,mfe_r,mae_r
AUD_CAD_2010-03-11T20:00:00,AUD_CAD,2010-03-12T00:00:00,4,-1.041071132100594,0.4895678946391781,-1.0957778044440651
AUD_CAD_2015-05-08T00:00:00,AUD_CAD,2015-05-08T04:00:00,124,-1.0054578388607909,2.2747059518725687,-1.2086080943967044
AUD_CAD_2015-07-21T04:00:00,AUD_CAD,2015-07-21T08:00:00,17,-1.0081709652120556,1.248523484403112,-1.2812073452513757
AUD_CAD_2015-08-18T12:00:00,AUD_CAD,2015-08-18T16:00:00,24,-1.0335384652262063,1.1582469967658764,-3.792966427792889
AUD_CAD_2016-02-12T16:00:00,AUD_CAD,2016-02-12T20:00:00,59,-1.0210871934183792,1.3638019743374663,-1.8816642127050844
AUD_CAD_2017-10-18T00:00:00,AUD_CAD,2017-10-18T04:00:00,33,-1.0128475637596914,1.4637045854792117,-1.118655730218928
AUD_CAD_2017-10-27T20:00:00,AUD_CAD,2017-10-30T00:00:00,27,-1.0120603002077295,1.3938261240069136,-1.2387651213361803
AUD_CAD_2018-03-01T00:00:00,AUD_CAD,2018-03-01T04:00:00,116,-1.0010246874838746,6.448358335970293,-1.1220327948335396
AUD_CAD_2019-03-20T16:00:00,AUD_CAD,2019-03-20T20:00:00,193,-1.0439769522414133,3.663280121709593,-1.7216976802512312
AUD_CAD_2019-07-17T08:00:00,AUD_CAD,2019-07-17T12:00:00,43,-1.0154138486553643,2.667997076346937,-1.3648262354841685
AUD_CAD_2019-09-05T08:00:00,AUD_CAD,2019-09-05T12:00:00,96,-1.010678787231634,3.277319801389898,-1.030502967853118
AUD_CAD_2020-10-02T04:00:00,AUD_CAD,2020-10-02T08:00:00,15,-1.0055386353100324,0.8058714376105031,-1.0163395793919223
AUD_CAD_2021-02-16T12:00:00,AUD_CAD,2021-02-16T16:00:00,48,-1.002673451487469,4.242767510630133,-1.189685911928408
AUD_CAD_2023-10-03T04:00:00,AUD_CAD,2023-10-03T08:00:00,50,-1.013378506513754,1.6608460229210624,-1.4716357165123244
AUD_CAD_2025-04-23T16:00:00,AUD_CAD,2025-04-23T20:00:00,240,0.8761644924557864,2.8153120220397523,-0.8920947559549743
AUD_CAD_2025-08-12T08:00:00,AUD_CAD,2025-08-12T12:00:00,37,-1.01017429421907,1.9076801660740808,-1.1446080996444712
AUD_CHF_2010-06-01T00:00:00,AUD_CHF,2010-06-01T04:00:00,22,-1.0288729189990276,0.7279183689867387,-1.0743933969751338
AUD_CHF_2010-11-17T04:00:00,AUD_CHF,2010-11-17T08:00:00,50,-1.0248282490866707,1.5949667213275474,-1.2404193243699324
AUD_CHF_2011-01-10T04:00:00,AUD_CHF,2011-01-10T08:00:00,48,-1.0255009683289116,1.366851902430002,-1.117962451539774
AUD_CHF_2011-05-12T00:00:00,AUD_CHF,2011-05-12T04:00:00,41,-1.0157174748566573,1.0144915589300416,-1.081171755291633
AUD_CHF_2012-10-30T12:00:00,AUD_CHF,2012-10-30T16:00:00,210,-1.008895162457981,5.366006752770452,-1.267560650260746
AUD_CHF_2014-01-09T04:00:00,AUD_CHF,2014-01-09T08:00:00,28,-1.00340210178625,2.08718944586551,-1.4765121752333192
AUD_CHF_2014-11-11T04:00:00,AUD_CHF,2014-11-11T08:00:00,36,-1.0028292511678618,2.0559225153149474,-1.3863330722536484
AUD_CHF_2020-06-17T20:00:00,AUD_CHF,2020-06-18T00:00:00,240,-0.0491924348369183,1.700418497529242,-0.6094396093684042
AUD_CHF_2021-04-02T08:00:00,AUD_CHF,2021-04-02T12:00:00,17,-1.0117112483517912,0.5695925334731807,-1.506492401616066
AUD_CHF_2024-10-11T20:00:00,AUD_CHF,2024-10-14T00:00:00,59,-1.0034937847796177,1.3194860517710578,-1.2635854952970555
AUD_CHF_2024-10-21T08:00:00,AUD_CHF,2024-10-21T12:00:00,13,-1.0037746184747325,0.288129210238185,-1.1537750471109098
AUD_JPY_2011-05-23T04:00:00,AUD_JPY,2011-05-23T08:00:00,11,-1.0099883658409146,0.3635765166091912,-1.0597656157207416
AUD_JPY_2013-05-07T04:00:00,AUD_JPY,2013-05-07T08:00:00,46,-1.000514127239358,1.2426455375363403,-1.0493336955364772
AUD_JPY_2014-07-25T16:00:00,AUD_JPY,2014-07-25T20:00:00,46,-1.014831611127241,1.1618095383015974,-1.2854062976953775
AUD_JPY_2018-07-11T20:00:00,AUD_JPY,2018-07-12T00:00:00,49,-1.0161248661387885,2.307468344460351,-1.1222906832595634
AUD_JPY_2020-07-07T20:00:00,AUD_JPY,2020-07-08T00:00:00,13,-1.0018153321258634,0.5863522766469228,-1.0202166547231717
AUD_JPY_2021-04-02T08:00:00,AUD_JPY,2021-04-02T12:00:00,24,-1.0008515354215493,0.7289143208442161,-1.2347263612431456
AUD_JPY_2021-04-19T00:00:00,AUD_JPY,2021-04-19T04:00:00,10,-1.0010587513950029,1.830581161954114,-1.0471051296545069
AUD_JPY_2024-04-03T00:00:00,AUD_JPY,2024-04-03T04:00:00,72,-1.009295779132787,4.487795592441251,-1.7816910004513131
AUD_JPY_2025-04-28T16:00:00,AUD_JPY,2025-04-28T20:00:00,240,2.7827349803916333,4.550677379429932,-0.8167067643250492
AUD_NZD_2010-06-11T08:00:00,AUD_NZD,2010-06-11T12:00:00,48,-1.0499099965500698,1.0221567293457436,-1.0311405287247517
AUD_NZD_2014-03-27T04:00:00,AUD_NZD,2014-03-27T08:00:00,240,2.434830599790602,4.704085062095462,-0.4488740374614524
AUD_NZD_2014-05-27T20:00:00,AUD_NZD,2014-05-28T00:00:00,94,-1.009493962201152,5.3272995401028425,-1.394425698289353
AUD_NZD_2016-01-21T12:00:00,AUD_NZD,2016-01-21T16:00:00,77,-1.0253745732752488,2.292169785864261,-1.48217360366606
AUD_NZD_2016-07-20T04:00:00,AUD_NZD,2016-07-20T08:00:00,43,-1.0290721807354442,1.4154161718847174,-1.0882116279210177
AUD_NZD_2017-01-06T04:00:00,AUD_NZD,2017-01-06T08:00:00,81,-1.0377918697040616,2.1407519526121157,-1.074706294709608
AUD_NZD_2019-10-15T20:00:00,AUD_NZD,2019-10-16T00:00:00,33,-1.014642503473605,1.581390375149485,-1.072281792836371
AUD_NZD_2022-07-20T12:00:00,AUD_NZD,2022-07-20T16:00:00,117,-1.0009987884448135,2.683744551228092,-1.111651539083316
AUD_NZD_2023-07-24T08:00:00,AUD_NZD,2023-07-24T12:00:00,22,-1.012006083142626,0.8592925220642399,-1.366978323523308
AUD_NZD_2023-08-25T20:00:00,AUD_NZD,2023-08-28T00:00:00,114,-1.0165872536506948,1.77957535595405,-1.0355185493367869
AUD_NZD_2023-08-31T20:00:00,AUD_NZD,2023-09-01T00:00:00,18,-1.0161803587492988,0.3490334530206121,-1.0447888792404416
AUD_NZD_2023-12-18T00:00:00,AUD_NZD,2023-12-18T04:00:00,91,-1.0125992797253407,1.160933631836501,-1.0259413490647709
AUD_NZD_2025-01-10T16:00:00,AUD_NZD,2025-01-10T20:00:00,9,-1.0128152305595044,0.5459288218343171,-1.0995467820043794
AUD_NZD_2025-01-20T16:00:00,AUD_NZD,2025-01-20T20:00:00,37,-1.0037775705062817,0.6119664220134451,-1.4102929890024145
AUD_USD_2010-02-18T20:00:00,AUD_USD,2010-02-19T00:00:00,27,-1.0079443502860248,1.55391491594504,-1.2446148781427415
AUD_USD_2010-12-07T20:00:00,AUD_USD,2010-12-08T00:00:00,240,2.8407473403998904,4.413101508499371,-0.7727821927094355
