pair,n_trades,roi_pct,win_rate,expectancy_r,avg_bars_held
AUD_CAD,5,7.11,0.8,1.4388,22.4
AUD_CHF,10,-2.77,0.4,-0.2603,10.7
AUD_JPY,9,6.4,0.5556,0.7192,24.8
AUD_NZD,6,-0.22,0.5,-0.0132,30.5
AUD_USD,5,0.46,0.4,0.1033,16.0
CAD_CHF,14,-3.36,0.4286,-0.2264,10.8
CAD_JPY,10,-1.98,0.4,-0.1945,10.6
CHF_JPY,3,-1.29,0.3333,-0.4218,8.3
EUR_AUD,9,3.15,0.4444,0.3555,17.4
EUR_CAD,5,-1.31,0.4,-0.2496,20.0
EUR_CHF,10,13.28,0.5,1.3838,32.3
EUR_GBP,14,-0.28,0.4286,0.0057,9.5
EUR_JPY,7,-0.91,0.2857,-0.1182,18.3
EUR_NZD,7,4.79,0.5714,0.6941,14.0
EUR_USD,6,-0.29,0.5,-0.0375,9.0
GBP_AUD,11,0.85,0.5455,0.0872,13.5
GBP_CAD,7,0.45,0.5714,0.0781,9.7
GBP_CHF,5,0.63,0.6,0.1476,13.0
GBP_JPY,4,1.57,0.5,0.4021,21.8
GBP_NZD,8,0.32,0.5,0.075,7.9
GBP_USD,6,0.01,0.5,0.0124,14.8
NZD_CAD,8,2.38,0.625,0.3087,21.4
NZD_CHF,5,-0.65,0.4,-0.1057,11.6
NZD_JPY,4,2.14,0.75,0.5428,13.8
NZD_USD,9,8.08,0.8889,0.9016,21.9
USD_CAD,7,0.42,0.4286,0.065,7.4
USD_CHF,11,1.09,0.4545,0.1066,12.4
USD_JPY,9,9.51,0.4444,1.0575,30.4
