pair,bar_time,L1_value,L0_value,L1_age_d1_bars,L0_age_d1_bars,L1_to_atr_proximity,reject_buffer_atr,upper_fraction,fired_signal
NZD_CHF,2020-10-07 04:00:00,0.60477,0.60247,5,9,-0.6439894076,0.2767557785,0.9351351351,1
NZD_CHF,2020-10-09 12:00:00,0.60477,0.60247,7,11,-0.8000926993,0.2300266511,0.8015564202,0
EUR_GBP,2020-10-12 08:00:00,0.90438,0.90247,6,10,0.18710027,1.260893124,0.992481203,1
NZD_CHF,2020-10-13 08:00:00,0.60477,0.60247,9,13,-0.1119308601,1.091325886,1,1
EUR_GBP,2020-10-13 12:00:00,0.90438,0.90247,7,11,-1.04884428,0.7103726202,0.9376391982,0
NZD_CHF,2020-10-13 16:00:00,0.60477,0.60247,9,13,0.1526510947,1.582483015,0.8593272171,0
AUD_NZD,2020-10-14 04:00:00,1.07586,1.07162,6,13,-0.3541318302,0.2440638289,0.6281407035,1
AUD_NZD,2020-10-14 12:00:00,1.07586,1.07162,6,13,-0.3197742997,0.5814078176,0.7410358566,0
NZD_JPY,2020-10-15 16:00:00,69.405,68.63,5,15,-0.8168785987,0.2487955123,0.9771863118,1
EUR_GBP,2020-10-15 20:00:00,0.90438,0.90247,9,13,0.1494194668,0.9438937047,0.7465753425,1
NZD_JPY,2020-10-15 20:00:00,69.405,68.63,5,15,0.1754758831,0.6077457414,0.7426470588,0
EUR_GBP,2020-10-16 12:00:00,0.90438,0.90247,10,14,-0.01360751894,1.496827084,0.6757990868,0
NZD_JPY,2020-10-16 12:00:00,69.405,68.63,6,16,-0.02552620216,0.7700404317,0.6951672862,0
NZD_JPY,2020-10-16 16:00:00,69.405,68.63,6,16,0.1690472287,1.157973517,0.9105058366,0
AUD_USD,2020-10-19 00:00:00,0.7095,0.70056,8,16,-0.9461095741,0.3440398451,0.8823529412,1
AUD_USD,2020-10-19 08:00:00,0.7095,0.70056,8,16,-0.4554382684,0.2256299678,0.9421965318,0
EUR_GBP,2020-10-19 12:00:00,0.90438,0.90247,11,15,-0.5168503263,0.6846588739,0.9017632242,0
EUR_GBP,2020-10-19 16:00:00,0.90438,0.90247,11,15,0.08935194716,1.035820721,0.8011204482,0
CAD_CHF,2020-10-20 16:00:00,0.68797,0.68587,9,15,0.02814686501,1.959021805,0.9397260274,1
NZD_JPY,2020-10-20 16:00:00,69.405,68.63,8,18,-0.5576285463,0.4676884582,0.8636363636,0
AUD_USD,2020-10-21 12:00:00,0.7095,0.70056,10,18,-0.9177157436,0.3916611123,0.8880208333,0
AUD_USD,2020-10-21 16:00:00,0.7095,0.70056,10,18,-0.0914654879,1.265882353,0.8412698413,0
CAD_CHF,2020-10-22 00:00:00,0.68797,0.68587,11,17,-0.3604262072,0.3836795109,0.8152866242,0
CAD_JPY,2020-10-22 04:00:00,79.443,78.565,5,16,-0.01982211249,0.3419314405,0.7684210526,1
CAD_CHF,2020-10-22 08:00:00,0.68797,0.68587,11,17,0.05392988349,1.174473018,0.9077669903,0
CAD_JPY,2020-10-22 08:00:00,79.443,78.565,5,16,-0.213493562,0.9946859137,0.9503816794,0
AUD_USD,2020-10-22 12:00:00,0.7095,0.70056,11,19,-0.1335752023,0.3300093232,0.7151515152,1
AUD_USD,2020-10-22 16:00:00,0.7095,0.70056,11,19,-0.1102363004,0.8307092635,0.967611336,0
CAD_JPY,2020-10-22 16:00:00,79.443,78.565,5,16,0.1981977878,1.509005884,0.7256857855,0
CAD_CHF,2020-10-23 20:00:00,0.68797,0.68587,12,18,-0.1163319526,0.3683845164,0.8720930233,0
CAD_JPY,2020-10-27 04:00:00,79.443,78.565,8,19,-0.3209063986,0.165629109,0.7286821705,0
CAD_CHF,2020-10-27 08:00:00,0.68797,0.68587,14,20,-0.2807485341,0.7189901484,0.9358974359,1
CAD_CHF,2020-10-27 16:00:00,0.68797,0.68587,14,20,-0.1088908481,0.8903428167,0.8387096774,0
EUR_GBP,2020-10-28 08:00:00,0.90108,0.90067,5,10,0.1575934031,1.874532059,0.8054474708,1
GBP_JPY,2020-10-28 16:00:00,135.337,135.044,8,18,-0.4705414829,0.4114158516,0.6520947177,1
GBP_JPY,2020-10-29 00:00:00,135.337,135.044,9,19,0.1489981723,1.11117281,0.9384236453,0
EUR_GBP,2020-11-02 04:00:00,0.90108,0.90067,8,13,-0.4481286897,0.289738377,1,0
CAD_CHF,2020-11-02 08:00:00,0.68797,0.68587,18,24,-0.4154775873,0.5165397032,0.9273743017,1
GBP_JPY,2020-11-03 00:00:00,135.337,135.044,12,22,-0.4453588184,0.1548038674,0.9032258065,1
EUR_GBP,2020-11-03 04:00:00,0.90108,0.90067,9,14,-0.2057754177,0.2798545681,0.8082191781,1
AUD_JPY,2020-11-03 08:00:00,74.185,73.972,8,28,-1.449212428,1.17371858,0.9176706827,1
CAD_JPY,2020-11-03 08:00:00,79.443,78.565,13,24,-1.663022174,0.8134347592,0.9607293128,1
EUR_USD,2020-11-03 08:00:00,1.16882,1.16122,13,27,-1.416440285,0.331851724,0.9751693002,1
GBP_JPY,2020-11-03 08:00:00,135.337,135.044,12,22,-0.4234354888,1.557149862,0.9529025192,0
GBP_AUD,2020-11-03 12:00:00,1.82153,1.79573,4,17,-0.3723450605,0.4348873949,0.8043478261,1
GBP_AUD,2020-11-03 20:00:00,1.82153,1.79573,4,17,-0.420544117,0.2023236302,0.7765765766,0
GBP_AUD,2020-11-04 00:00:00,1.82153,1.79573,5,18,-0.4026129723,0.4267130446,0.6647727273,0
EUR_GBP,2020-11-04 12:00:00,0.90108,0.90067,10,15,-0.8718159161,0.3772585237,0.912037037,0
EUR_USD,2020-11-04 16:00:00,1.16882,1.16122,14,28,-0.1995639537,0.6553581689,0.6425925926,0
GBP_JPY,2020-11-04 16:00:00,135.337,135.044,13,23,0.04627736247,1.000302989,0.8918469218,0
