mode,threshold,sl_atr_mult,feature_set,inner_sharpe,fold
D1,0.55,2.0,(D1_fixed),0.40380016777494476,0
D1,0.55,3.0,(D1_fixed),-1.3844817512122585,0
D1,0.65,3.0,(D1_fixed),-2.8239484763642113,0
E,0.55,2.0,base+HTF,-5.0,0
E,0.55,2.0,base+L1_minus_L0_atr_only,-5.0,0
E,0.55,3.0,base+HTF,-5.0,0
E,0.55,3.0,base+L1_minus_L0_atr_only,-5.0,0
E,0.65,2.0,base+HTF,-5.0,0
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,0
E,0.65,3.0,base+HTF,-5.0,0
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,0
D1,0.65,2.0,(D1_fixed),-5.0,0
D1,0.55,2.0,(D1_fixed),-1.9664333021340994,1
D1,0.55,3.0,(D1_fixed),-3.4306704719001617,1
E,0.55,2.0,base+HTF,-5.0,1
E,0.55,2.0,base+L1_minus_L0_atr_only,-5.0,1
E,0.55,3.0,base+HTF,-5.0,1
E,0.55,3.0,base+L1_minus_L0_atr_only,-5.0,1
E,0.65,2.0,base+HTF,-5.0,1
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,1
E,0.65,3.0,base+HTF,-5.0,1
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,1
D1,0.65,2.0,(D1_fixed),-5.0,1
D1,0.65,3.0,(D1_fixed),-5.0,1
E,0.55,3.0,base+L1_minus_L0_atr_only,-2.0799283955804704,2
D1,0.55,2.0,(D1_fixed),-2.15189233583851,2
D1,0.55,3.0,(D1_fixed),-3.1085788926364373,2
E,0.55,2.0,base+HTF,-5.0,2
E,0.55,2.0,base+L1_minus_L0_atr_only,-5.0,2
E,0.55,3.0,base+HTF,-5.0,2
E,0.65,2.0,base+HTF,-5.0,2
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,2
E,0.65,3.0,base+HTF,-5.0,2
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,2
D1,0.65,2.0,(D1_fixed),-5.0,2
D1,0.65,3.0,(D1_fixed),-5.0,2
D1,0.55,3.0,(D1_fixed),0.6741787334388453,3
D1,0.55,2.0,(D1_fixed),-2.319697442692661,3
D1,0.65,3.0,(D1_fixed),-2.6503706110979066,3
E,0.55,2.0,base+HTF,-5.0,3
E,0.55,2.0,base+L1_minus_L0_atr_only,-5.0,3
E,0.55,3.0,base+HTF,-5.0,3
E,0.55,3.0,base+L1_minus_L0_atr_only,-5.0,3
E,0.65,2.0,base+HTF,-5.0,3
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,3
E,0.65,3.0,base+HTF,-5.0,3
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,3
D1,0.65,2.0,(D1_fixed),-5.0,3
D1,0.55,3.0,(D1_fixed),0.8441366514995908,4
E,0.55,3.0,base+L1_minus_L0_atr_only,0.7378845790829993,4
E,0.55,2.0,base+L1_minus_L0_atr_only,-2.1219102338782068,4
D1,0.65,3.0,(D1_fixed),-2.3975711340175145,4
D1,0.55,2.0,(D1_fixed),-2.5049148309281097,4
E,0.55,2.0,base+HTF,-5.0,4
E,0.55,3.0,base+HTF,-5.0,4
E,0.65,2.0,base+HTF,-5.0,4
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,4
E,0.65,3.0,base+HTF,-5.0,4
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,4
D1,0.65,2.0,(D1_fixed),-5.0,4
E,0.55,3.0,base+L1_minus_L0_atr_only,9.878071938901469,5
D1,0.55,3.0,(D1_fixed),0.371635312141943,5
D1,0.55,2.0,(D1_fixed),0.27898230389169143,5
D1,0.65,3.0,(D1_fixed),-2.000369713436026,5
E,0.55,3.0,base+HTF,-2.0799283955804704,5
E,0.55,2.0,base+HTF,-5.0,5
E,0.55,2.0,base+L1_minus_L0_atr_only,-5.0,5
E,0.65,2.0,base+HTF,-5.0,5
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,5
E,0.65,3.0,base+HTF,-5.0,5
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,5
D1,0.65,2.0,(D1_fixed),-5.0,5
D1,0.55,3.0,(D1_fixed),0.04107343324676754,6
D1,0.55,2.0,(D1_fixed),-2.1121602874394063,6
E,0.55,3.0,base+L1_minus_L0_atr_only,-2.4043104271022964,6
E,0.55,2.0,base+HTF,-5.0,6
E,0.55,2.0,base+L1_minus_L0_atr_only,-5.0,6
E,0.55,3.0,base+HTF,-5.0,6
E,0.65,2.0,base+HTF,-5.0,6
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,6
E,0.65,3.0,base+HTF,-5.0,6
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,6
D1,0.65,2.0,(D1_fixed),-5.0,6
D1,0.65,3.0,(D1_fixed),-5.0,6
D1,0.55,2.0,(D1_fixed),0.6153160385750046,7
E,0.55,3.0,base+L1_minus_L0_atr_only,0.6039426876143981,7
D1,0.55,3.0,(D1_fixed),0.011113161879525824,7
E,0.55,2.0,base+HTF,-5.0,7
E,0.55,2.0,base+L1_minus_L0_atr_only,-5.0,7
E,0.55,3.0,base+HTF,-5.0,7
E,0.65,2.0,base+HTF,-5.0,7
E,0.65,2.0,base+L1_minus_L0_atr_only,-5.0,7
E,0.65,3.0,base+HTF,-5.0,7
E,0.65,3.0,base+L1_minus_L0_atr_only,-5.0,7
D1,0.65,2.0,(D1_fixed),-5.0,7
D1,0.65,3.0,(D1_fixed),-5.0,7
