filter_name,threshold,n_remaining,c1_retention,c2_retention,pool_remaining,aggregate_mean_r,passes_gate
F1_trigger_close_pos,0.50,2299,1.0000,1.0000,2299,-0.0144,0
F1_trigger_close_pos,0.60,2165,0.9599,0.9324,2165,-0.0139,0
F1_trigger_close_pos,0.70,1925,0.8580,0.8363,1925,-0.0119,0
F1_trigger_close_pos,0.80,1508,0.6636,0.6577,1508,-0.0251,0
F1_trigger_close_pos,0.90,843,0.3765,0.3498,843,-0.0076,0
F2_pullback_depth_atr,0.50,2299,1.0000,1.0000,2299,-0.0144,0
F2_pullback_depth_atr,0.75,2294,1.0000,0.9970,2294,-0.0123,0
F2_pullback_depth_atr,1.00,2240,0.9722,0.9685,2240,-0.0200,0
F2_pullback_depth_atr,1.25,2081,0.8951,0.8889,2081,-0.0255,0
F2_pullback_depth_atr,1.50,1771,0.7562,0.7508,1771,-0.0180,0
F3_trigger_body_atr,0.30,2113,0.9228,0.9174,2113,-0.0224,0
F3_trigger_body_atr,0.50,1791,0.7840,0.7553,1791,-0.0290,0
F3_trigger_body_atr,0.70,1447,0.6327,0.6096,1447,-0.0149,0
F3_trigger_body_atr,1.00,938,0.4167,0.3934,938,-0.0176,0
F4_trigger_break_size_atr,0.00,2299,1.0000,1.0000,2299,-0.0144,0
F4_trigger_break_size_atr,0.25,1737,0.7222,0.7628,1737,-0.0577,0
F4_trigger_break_size_atr,0.50,1057,0.4259,0.4955,1057,-0.1029,0
F4_trigger_break_size_atr,0.75,615,0.2438,0.2778,615,-0.1574,0
F4_trigger_break_size_atr,1.00,365,0.1543,0.1712,365,-0.1727,0
F5_ret_5bar_atr,0.00,2288,0.9969,0.9925,2288,-0.0120,0
F5_ret_5bar_atr,0.50,2222,0.9630,0.9580,2222,-0.0181,0
F5_ret_5bar_atr,1.00,1832,0.7963,0.7958,1832,-0.0288,0
F5_ret_5bar_atr,1.50,1190,0.5185,0.5060,1190,-0.0424,0
F6_pos_in_20bar_range,0.40,2257,0.9753,0.9790,2257,-0.0218,0
F6_pos_in_20bar_range,0.50,2162,0.9228,0.9384,2162,-0.0358,0
F6_pos_in_20bar_range,0.60,2015,0.8549,0.8814,2015,-0.0486,0
F6_pos_in_20bar_range,0.70,1835,0.7870,0.8033,1835,-0.0398,0
