pair,n_c1_trades,mean_r,median_r,hit_rate_1R,reach_1R,mfe_p50
EUR_AUD,7,5.1028,5.3497,0.8571,1.0000,6.3128
CHF_JPY,15,4.7509,5.0237,1.0000,1.0000,6.1500
EUR_USD,10,4.1620,3.8084,1.0000,1.0000,5.9292
EUR_GBP,6,3.7027,4.0427,0.8333,1.0000,5.3522
EUR_CAD,10,3.6702,3.9140,0.9000,1.0000,4.8816
EUR_JPY,18,3.6184,3.7593,0.8889,1.0000,5.2415
GBP_JPY,14,3.6181,3.8156,0.8571,1.0000,4.7974
GBP_AUD,10,3.6066,3.5286,0.9000,1.0000,5.0082
GBP_USD,12,3.3938,3.4384,0.9167,1.0000,4.4517
AUD_JPY,16,3.3419,3.2508,0.7500,1.0000,4.5700
GBP_CAD,9,3.2886,3.3263,0.8889,1.0000,3.4135
CAD_JPY,15,3.2847,3.8054,0.8000,1.0000,4.7067
USD_JPY,20,3.1869,3.5100,0.7000,1.0000,5.2472
USD_CAD,10,3.1705,2.2759,0.7000,1.0000,4.6472
USD_CHF,12,3.1037,3.3975,0.8333,1.0000,5.2254
NZD_JPY,15,2.9686,3.2601,0.6667,1.0000,4.1470
EUR_NZD,10,2.9013,3.2864,0.9000,1.0000,4.5311
AUD_NZD,15,2.8596,2.8214,0.7333,1.0000,4.2193
NZD_USD,7,2.8098,2.8900,0.8571,1.0000,4.1101
GBP_NZD,12,2.7851,3.0238,0.8333,1.0000,3.7481
AUD_CHF,12,2.5350,1.4824,0.7500,1.0000,4.0051
NZD_CAD,8,2.4450,3.0336,0.6250,1.0000,5.1440
NZD_CHF,9,2.3181,2.6853,0.7778,1.0000,3.8760
AUD_CAD,12,1.6868,1.9481,0.5833,1.0000,3.2184
GBP_CHF,11,1.6458,1.8479,0.7273,1.0000,3.0938
CAD_CHF,8,1.5845,0.5466,0.5000,1.0000,3.3779
AUD_USD,11,1.5749,2.2690,0.6364,1.0000,3.4717
EUR_CHF,10,1.3595,0.1779,0.5000,1.0000,3.3775
