pair,bar_time,h_ref,h_ref_bar_offset,break_magnitude_atr,close_position,trend_filter_swing_low,fired_signal
CAD_JPY,2020-10-05 08:00:00,79.559,9,0.1395722785,0.6519607843,78.748,1
CHF_JPY,2020-10-05 08:00:00,115.165,11,0.2936057765,0.9480968858,114.041,1
EUR_NZD,2020-10-05 12:00:00,1.76995,7,0.2014881535,0.967032967,1.76323,1
GBP_USD,2020-10-05 12:00:00,1.29539,7,0.1960091254,0.8891966759,1.2836,1
CAD_JPY,2020-10-05 16:00:00,79.559,11,0.7992480517,0.9105691057,78.748,0
CHF_JPY,2020-10-05 16:00:00,115.165,13,1.102385504,0.876056338,114.041,0
EUR_JPY,2020-10-05 16:00:00,124.203,13,1.4142736,0.8774319066,123.019,1
EUR_NZD,2020-10-05 16:00:00,1.76995,8,1.16738917,0.7481203008,1.76159,0
EUR_USD,2020-10-05 16:00:00,1.17694,13,0.6041992671,0.6646706587,1.16957,1
GBP_JPY,2020-10-05 16:00:00,137.008,13,0.4024711609,0.8159645233,135.044,1
GBP_USD,2020-10-05 16:00:00,1.29539,8,0.4525964557,0.5729927007,1.2836,0
USD_JPY,2020-10-05 16:00:00,105.727,12,0.1465433937,0.8549019608,104.941,1
CHF_JPY,2020-10-05 20:00:00,115.165,14,1.141649698,0.5714285714,114.041,0
CAD_JPY,2020-10-06 00:00:00,79.559,13,0.8651951371,0.6744186047,78.748,0
CHF_JPY,2020-10-06 00:00:00,115.165,15,1.250424605,0.6608187135,114.041,0
EUR_JPY,2020-10-06 00:00:00,124.203,15,1.37115307,0.6161616162,123.019,0
EUR_USD,2020-10-06 00:00:00,1.17694,15,0.8165369734,0.8493150685,1.16957,0
GBP_JPY,2020-10-06 00:00:00,137.008,15,0.5076062357,0.6211180124,135.044,0
GBP_USD,2020-10-06 00:00:00,1.29539,10,0.7419618171,0.8566037736,1.2836,0
EUR_NZD,2020-10-06 04:00:00,1.76995,11,0.805065637,0.5588235294,1.76159,0
EUR_AUD,2020-10-06 08:00:00,1.6422,12,0.5487290193,0.5681581686,1.63068,1
EUR_NZD,2020-10-06 08:00:00,1.76995,12,0.8122306454,0.08120300752,1.76159,0
GBP_AUD,2020-10-06 08:00:00,1.81133,11,0.4013495943,0.7384196185,1.78462,1
GBP_NZD,2020-10-06 08:00:00,1.95403,10,0.2193821614,0.3770491803,1.93212,0
GBP_USD,2020-10-06 08:00:00,1.29539,12,0.7621231826,0.6775510204,1.2836,0
CAD_JPY,2020-10-06 12:00:00,79.559,16,0.5140841687,0.6141304348,78.748,0
CHF_JPY,2020-10-06 12:00:00,115.165,18,1.322357597,0.6447368421,114.041,0
EUR_AUD,2020-10-06 12:00:00,1.6422,13,0.8805862369,0.4717391304,1.63068,0
EUR_GBP,2020-10-06 12:00:00,0.90901,5,0.9235866898,0.9653379549,0.90438,1
EUR_USD,2020-10-06 12:00:00,1.17694,18,0.8204481153,0.5244956772,1.16957,0
EUR_AUD,2020-10-06 16:00:00,1.6422,14,1.042384024,0.7115902965,1.63068,0
EUR_NZD,2020-10-06 16:00:00,1.76995,14,1.349103652,0.8781431335,1.76159,0
EUR_AUD,2020-10-06 20:00:00,1.6422,15,2.164925266,0.9348198971,1.63068,0
EUR_GBP,2020-10-06 20:00:00,0.90901,7,0.7426207129,0.7684210526,0.90438,0
EUR_NZD,2020-10-06 20:00:00,1.76995,15,2.291004642,0.60125,1.76159,0
GBP_AUD,2020-10-06 20:00:00,1.81133,14,0.1193723934,0.6275992439,1.78462,0
EUR_NZD,2020-10-07 00:00:00,1.76995,16,2.812137568,0.9001692047,1.76159,0
EUR_AUD,2020-10-07 08:00:00,1.6422,18,1.149406486,0.5220588235,1.63068,0
EUR_NZD,2020-10-07 08:00:00,1.76995,18,2.631110063,0.7443946188,1.76159,0
USD_JPY,2020-10-07 08:00:00,105.792,10,1.119533912,0.9893617021,104.941,0
EUR_AUD,2020-10-07 12:00:00,1.6422,19,1.413940971,0.2661122661,1.63068,0
EUR_GBP,2020-10-07 12:00:00,0.91257,5,0.2075303511,0.5,0.90438,0
EUR_NZD,2020-10-07 12:00:00,1.76995,19,3.124248668,0.4746716698,1.76159,0
AUD_NZD,2020-10-07 16:00:00,1.08291,9,0.5681132092,1,1.07586,1
EUR_NZD,2020-10-07 16:00:00,1.76995,20,3.604787567,0.8475991649,1.76159,0
USD_JPY,2020-10-07 16:00:00,105.792,12,0.9362616467,0.5752688172,104.941,0
AUD_NZD,2020-10-07 20:00:00,1.08291,10,0.714966215,0.2165898618,1.07586,0
CAD_CHF,2020-10-07 20:00:00,0.69054,10,0.9432340452,0.9827586207,0.68797,1
CAD_JPY,2020-10-07 20:00:00,79.799,11,0.7125170315,0.9594594595,78.748,0
GBP_NZD,2020-10-07 20:00:00,1.96015,9,0.3469763552,0.544973545,1.93212,1
USD_JPY,2020-10-07 20:00:00,105.792,13,1.039436828,0.2191780822,104.941,0
AUD_NZD,2020-10-08 00:00:00,1.08291,11,2.266541798,0.9955752212,1.07586,0
CAD_JPY,2020-10-08 00:00:00,79.799,12,0.8865494808,0.7272727273,78.748,0
GBP_NZD,2020-10-08 00:00:00,1.96015,10,1.447434221,0.949044586,1.93212,0
USD_JPY,2020-10-08 00:00:00,105.792,14,1.42513034,0.6384180791,104.941,0
AUD_CHF,2020-10-08 08:00:00,0.65524,4,1.086230634,0.9460431655,0.65062,1
AUD_JPY,2020-10-08 08:00:00,75.747,4,0.6760809202,0.8285714286,74.928,1
AUD_NZD,2020-10-08 08:00:00,1.08291,13,1.67031645,0.5113122172,1.07586,0
AUD_USD,2020-10-08 08:00:00,0.71514,4,0.5487243095,0.816091954,0.7095,1
CAD_CHF,2020-10-08 08:00:00,0.69054,13,1.76715972,0.9438202247,0.68797,0
CAD_JPY,2020-10-08 08:00:00,79.799,14,1.273182063,0.8571428571,78.748,0
GBP_CHF,2020-10-08 08:00:00,1.18552,6,0.7764516214,0.8065843621,1.17694,1
USD_JPY,2020-10-08 08:00:00,105.792,16,1.107310925,0.4907407407,104.941,0
AUD_NZD,2020-10-08 12:00:00,1.08291,14,2.04617399,0.8382352941,1.07586,0
CAD_CHF,2020-10-08 12:00:00,0.69054,14,1.981041058,0.6752136752,0.68797,0
CAD_JPY,2020-10-08 12:00:00,79.799,15,1.353398542,0.4744525547,78.748,0
USD_JPY,2020-10-08 12:00:00,105.792,17,1.198795866,0.4390243902,104.941,0
AUD_JPY,2020-10-08 16:00:00,75.747,6,0.6507131782,0.9482758621,74.928,0
AUD_NZD,2020-10-08 16:00:00,1.08291,15,2.188390811,0.2515337423,1.07586,0
CAD_CHF,2020-10-08 16:00:00,0.69054,15,2.886680691,0.8203592814,0.68797,0
CAD_JPY,2020-10-08 16:00:00,79.799,16,2.287531052,0.9594594595,78.748,1
GBP_CHF,2020-10-08 16:00:00,1.18552,8,0.4240060592,0.6221079692,1.17694,0
GBP_NZD,2020-10-08 16:00:00,1.96015,14,0.7536236688,0.6657789614,1.94218,0
AUD_JPY,2020-10-08 20:00:00,75.747,7,0.9400468214,0.7981651376,74.928,0
AUD_NZD,2020-10-08 20:00:00,1.08291,16,2.542634812,1,1.07586,0
AUD_USD,2020-10-08 20:00:00,0.71514,7,0.6886143304,0.8681318681,0.7095,0
CAD_JPY,2020-10-08 20:00:00,79.799,17,2.781519297,0.8421052632,78.748,0
AUD_CHF,2020-10-09 00:00:00,0.65524,8,1.12887306,0.7071823204,0.65062,0
AUD_JPY,2020-10-09 00:00:00,75.747,8,0.9681730449,0.5024630542,74.928,0
AUD_USD,2020-10-09 00:00:00,0.71698,4,0.1260382793,0.8260869565,0.7095,0
CAD_CHF,2020-10-09 00:00:00,0.69054,17,3.214736226,0.7816091954,0.68797,0
AUD_JPY,2020-10-09 04:00:00,75.747,9,1.006703137,0.35,74.928,0
AUD_USD,2020-10-09 04:00:00,0.71698,5,0.3736394408,0.4013605442,0.7095,0
NZD_USD,2020-10-09 04:00:00,0.65964,4,0.3760438869,0.5754189944,0.65467,1
AUD_JPY,2020-10-09 08:00:00,75.747,10,1.573533167,0.6910994764,74.928,0
AUD_USD,2020-10-09 08:00:00,0.71698,6,0.9255510028,0.845410628,0.7095,0
CAD_JPY,2020-10-09 08:00:00,79.799,20,3.405559522,0.8172043011,78.748,0
CHF_JPY,2020-10-09 08:00:00,115.736,6,0.9146162342,0.8789346247,114.041,1
EUR_JPY,2020-10-09 08:00:00,124.871,6,0.2318115489,0.9116719243,123.019,1
