trade_id,cluster_id
1,4
2,4
3,2
4,0
5,2
6,2
7,3
8,2
9,2
10,4
11,3
12,1
13,1
14,2
15,1
16,3
17,1
18,2
19,4
20,1
21,2
22,4
23,3
24,2
25,1
26,0
27,2
28,4
29,3
30,3
31,2
32,1
33,4
34,2
35,3
36,1
37,1
38,3
39,4
40,1
41,1
42,4
43,1
44,4
45,1
46,2
47,2
48,1
49,4
50,1
51,2
52,4
53,2
54,3
55,2
56,1
57,4
58,1
59,0
60,2
61,1
62,1
63,1
64,2
65,3
66,2
67,1
68,4
69,0
70,0
71,2
72,3
73,4
74,3
75,1
76,1
77,2
78,2
79,1
80,4
81,4
82,0
83,2
84,2
85,4
86,2
87,0
88,4
89,4
90,0
91,2
92,2
93,2
94,0
95,4
96,2
97,2
98,2
99,1
100,3
101,2
102,0
103,2
104,3
105,2
106,4
107,1
108,2
109,2
110,3
111,2
112,4
113,4
114,3
115,2
116,1
117,2
118,4
119,4
120,1
121,3
122,3
123,4
124,3
125,1
126,0
127,1
128,3
129,4
130,2
131,2
132,0
133,2
134,2
135,2
136,2
137,1
138,2
139,2
140,4
141,2
142,3
143,1
144,3
145,2
146,1
147,4
148,1
149,0
150,2
151,2
152,4
153,4
154,1
155,1
156,4
157,4
158,2
159,1
160,2
161,4
162,1
163,1
164,0
165,0
166,3
167,1
168,2
169,3
170,3
171,1
172,1
173,0
174,4
175,2
176,4
177,1
178,3
179,1
180,3
181,4
182,2
183,4
184,4
185,2
186,2
187,2
188,2
189,1
190,1
191,1
192,3
193,0
194,1
195,3
196,2
197,2
198,0
199,2
200,4
201,3
202,1
203,0
204,4
205,1
206,4
207,2
208,4
209,4
210,3
211,2
212,3
213,3
214,1
215,4
216,2
217,1
218,1
219,1
220,1
221,3
222,4
223,0
224,0
225,0
226,3
227,2
228,3
229,2
230,1
231,0
232,2
233,2
234,2
235,2
236,4
237,1
238,1
239,1
240,4
241,4
242,3
243,2
244,1
245,2
246,3
247,1
248,2
249,4
250,1
251,2
252,2
253,4
254,4
255,4
256,3
257,2
258,2
259,2
260,4
261,1
262,1
263,1
264,4
265,4
266,1
267,3
268,3
269,2
270,2
271,1
272,3
273,3
274,4
275,3
276,2
277,3
278,1
279,3
280,1
281,4
282,4
283,1
284,2
285,4
286,4
287,4
288,4
289,1
290,2
291,1
292,1
293,4
294,1
295,1
296,4
297,4
298,2
299,1
300,4
301,0
302,1
303,0
304,2
305,1
306,3
307,4
308,1
309,1
310,3
311,1
312,4
313,4
314,2
315,4
316,3
317,4
318,1
319,1
320,4
321,2
322,3
323,3
324,4
325,2
326,4
327,3
328,4
329,2
330,1
331,2
332,1
333,0
334,2
335,1
336,2
337,3
338,4
339,2
340,4
341,1
342,4
343,1
344,4
345,4
346,3
347,2
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,4
356,4
357,0
358,3
359,2
360,2
361,1
362,2
363,3
364,4
365,2
366,4
367,1
368,1
369,4
370,3
371,0
