trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
12,2,-1,0.0768709577,0.1537419154,0,0,0,1,3,0
13,2,-1,-0.2052536586,-0.4105073172,0,0,0,1,9,0
15,2,-1,0.4971188583,0.9942377166,0,0,0,1,7,0
17,2,-1,-0.7339368138,-1.467873628,0,0,0,1,1,0
20,2,-1,0.06541438465,0.1308287693,0,0,0,1,3,0
25,2,-1,0.05127504317,0.1025500863,0,0,0,1,12,0
32,2,-1,-1.082634253,-2.165268506,0,1,0,1,0,0
36,2,-1,-0.2466133843,-0.4932267686,0,0,0,1,3,1
37,2,-1,-0.3739865482,-0.7479730964,0,0,0,1,5,0
39,2,-1,0.1736764192,0.3473528384,0,0,0,1,22,3
40,2,-1,0.218901397,0.437802794,0,0,0,1,12,1
41,2,-1,-1.189038008,-2.378076016,0,1,0,1,0,0
43,2,-1,0.2942555776,0.5885111552,0,0,0,1,13,3
45,2,-1,-0.3493381906,-0.6986763812,0,0,0,1,10,0
48,2,-1,0.001547471567,0.003094943134,0,0,0,1,3,0
50,2,-1,-0.184171433,-0.368342866,0,0,0,1,4,1
56,2,-1,0.1231920161,0.2463840322,0,0,0,1,15,0
58,2,-1,0.07461119159,0.1492223832,0,0,0,1,16,4
61,2,-1,-0.2547148885,-0.509429777,0,0,0,1,5,0
62,2,-1,-1.095900578,-2.191801156,0,1,0,1,0,0
63,2,-1,0.5660271129,1.132054226,0,0,0,1,8,0
67,2,-1,0.6883947368,1.376789474,0,0,0,1,16,0
75,2,-1,-0.1309926047,-0.2619852094,0,0,0,1,7,0
76,2,-1,-0.6487190468,-1.297438094,0,0,0,1,2,0
78,2,-1,0.01305068178,0.02610136356,0,0,0,1,17,13
79,2,-1,0.1101294985,0.220258997,0,0,0,1,16,3
88,2,-1,0.1998420077,0.3996840154,0,0,0,1,9,0
89,2,-1,0.506872706,1.013745412,0,0,0,1,6,0
99,2,-1,0.3398936072,0.6797872144,0,0,0,1,3,0
107,2,-1,-0.2290004577,-0.4580009154,0,0,0,1,2,0
112,2,-1,0.1290411273,0.2580822546,0,0,0,1,8,0
116,2,-1,-0.1529213426,-0.3058426852,0,0,0,1,3,0
120,2,-1,0.1076610034,0.2153220068,0,0,0,1,3,0
125,2,-1,-0.4051003609,-0.8102007218,0,0,0,1,1,0
127,2,-1,0.08335783487,0.1667156697,0,0,0,1,13,2
137,2,-1,-0.290693772,-0.581387544,0,0,0,1,4,0
143,2,-1,0.1665352097,0.3330704194,0,0,0,1,19,1
146,2,-1,-0.4833886789,-0.9667773578,0,0,0,1,1,0
148,2,-1,0.2060226061,0.4120452122,0,0,0,1,7,1
154,2,-1,-0.03249076376,-0.06498152752,0,0,0,1,12,10
155,2,-1,-1.059091003,-2.118182006,0,1,0,1,0,0
159,2,-1,-0.2283397459,-0.4566794918,0,0,0,1,4,3
162,2,-1,0.04864146198,0.09728292396,0,0,0,1,4,0
163,2,-1,0.001565503131,0.003131006262,0,0,0,1,12,5
167,2,-1,0.137885854,0.275771708,0,0,0,1,3,1
171,2,-1,-0.3783724343,-0.7567448686,0,0,0,1,1,0
172,2,-1,-1.065327853,-2.130655706,0,1,0,1,0,0
