trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
1,0.5,2,0,0.2222222222
2,0.4722222222,3,0.8945717428,0.25
3,0.4,2,0,0.1666666667
4,0.5416666667,11,0.416322503,0.6774193548
5,0.6666666667,2,0,0.25
6,0.5416666667,18,0.448925113,0.2833333333
7,0.5083333333,31,0.5166249297,0.8666666667
8,0.8,4,0.7109560076,0.9
9,0.4,7,0.2892389156,0.3559322034
10,0.3333333333,0,0,0
11,0.4193548387,8,0.6031176604,0.7391304348
12,0.4285714286,2,0,0.1666666667
13,1,0,0,0
14,0.5046728972,8,0.1310472311,0.1333333333
15,0,0,0,0
16,0.3888888889,3,0.6040846208,0.5333333333
17,0,0,0,0
18,0,0,0,0
19,0.5677966102,27,0.608260648,0.775
20,0.4444444444,6,0.3761547342,0.4615384615
21,0.5,14,0.9958874684,0.8823529412
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0.5135135135,2,0,0.1126760563
27,0.4864864865,8,0.7257857564,0.62
28,0.5384615385,8,0.6499386079,0.3684210526
29,0.4867256637,20,0.74348124,0.6833333333
30,0.3846153846,1,0,0.05882352941
31,0.5555555556,3,0,0.06382978723
32,0.4285714286,3,0,0.0652173913
33,0,0,0,0
34,0.48,3,1.601588677,1
35,0.5,2,0,0.06896551724
36,0,0,0,0
37,0,0,0,0
38,0,2,0.5833943626,0.6470588235
39,0.525,11,0.429171087,0.325
40,0.4603174603,6,0.8988407636,0.2105263158
41,0.55,7,0.622481714,0.1666666667
42,0.4731182796,8,0.998879675,0.2371134021
43,0.4696969697,3,1.593605957,0.1710526316
44,0.512195122,9,0.4898420278,0.2666666667
45,0.5,2,0.9327644693,1
46,0,0,0,0
47,0.4,1,0,0.04545454545
48,0.5454545455,4,0.6377506596,0.2647058824
49,0.380952381,4,0.5830707193,0.3636363636
50,0,1,0,0.5
51,0.5798319328,31,0.269059048,0.7583333333
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0.75,4,0.1423518195,0.3846153846
57,0.5603448276,33,0.403602655,0.9833333333
58,1,0,0,0
59,1,0,0,0
60,0.5294117647,21,0.6704652106,0.7
61,0.5,1,0,0.04166666667
62,0.5,23,0.487095086,0.6416666667
63,0.1666666667,3,0,0.2
64,0.5514018692,21,0.6726681921,0.725
65,0.7,5,0.6138594228,0.4736842105
66,0.5,7,0.3348149573,0.8333333333
67,0.4324324324,9,0.5088744014,0.5111111111
68,0.4716981132,15,0.448180215,0.4864864865
69,0.5333333333,37,0.3943848005,1
70,0,1,0,0.02631578947
71,0,0,0,0
72,0,0,0,0
73,0.5384615385,0,0,0
74,0.625,5,0.5962314835,0.6818181818
75,0.5632183908,14,0.2118011337,0.2105263158
76,0.4468085106,7,0.1477208551,0.1896551724
77,0.4875,13,0.413441031,0.8172043011
78,0.4285714286,4,0.2824109109,0.7894736842
79,0.6050420168,25,0.484406427,0.8333333333
80,0,0,0,0
81,0.4285714286,8,0.5660618231,0.7407407407
82,0.4642857143,7,0.2611387809,0.1724137931
83,0.5454545455,4,0.6530912215,0.4137931034
84,0.4,1,0,0.0625
85,0.4642857143,8,0.2668382109,0.5
86,0,2,0.4410006867,1
87,0.5714285714,1,0,0.25
88,0.4705882353,11,0.2518948917,0.5526315789
89,0.4666666667,4,0.9377305982,0.5806451613
90,0.625,7,0.7154450845,0.8918918919
91,1,2,0,0.7333333333
92,0.4237288136,6,0.627757618,0.3442622951
93,0.5267857143,21,0.5653715472,0.5666666667
94,0,0,0,0
95,0.5247524752,15,0.542965251,0.7583333333
96,0.36,7,0.2625447562,0.3823529412
97,0.5416666667,7,0.2033421925,0.3
98,0.5238095238,7,0.2244797217,0.1224489796
99,0.5066666667,7,0.5271596257,0.1224489796
100,0,0,0,0
101,0.5,4,0,0.3636363636
102,1,3,0,0.3636363636
103,0,0,0,0
104,0.5,0,0,0
105,0.4945054945,12,0.982043848,0.3982300885
106,0.5283018868,12,0.7393896316,0.9322033898
107,0.5052631579,11,0.4962777456,0.5514018692
108,0.7142857143,7,0.7594459203,0.9375
109,0.5555555556,6,0.0780517215,0.75
110,0.3684210526,7,0.8544002586,0.4193548387
111,0.5212765957,10,1.004739492,0.3
112,0.5555555556,8,0,0.5
113,0.5714285714,2,0,0.1538461538
114,0.5,2,0,0.2222222222
115,0,0,0,0
116,0.5299145299,25,0.293239805,0.5416666667
117,0.4651162791,7,0.4102909837,0.2307692308
118,0,0,0,0
119,0.5652173913,9,0.5838664994,0.6666666667
120,0.5378151261,16,0.7341682228,0.7
121,0,0,0,0
122,0.5423728814,23,0.3219154172,0.5
123,0.5,2,0,0.2142857143
124,0,0,0,0
125,0,0,0,0
126,0.4074074074,12,0.2567809099,0.5
127,0.5,2,0,1
128,0.4929577465,19,0.3965269621,0.4545454545
129,0.380952381,6,0.340287955,0.4242424242
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,2,0.5999175205,0.8666666667
134,0.5833333333,21,0.6111716945,0.7666666667
135,0.6666666667,4,0.5867411939,0.8333333333
136,0.525862069,25,0.296182461,0.8666666667
137,0,0,0,0
138,0.5775862069,19,0.3438518499,0.8083333333
139,0.5196078431,11,0.6783943862,0.8083333333
140,0.512195122,8,0.4141561632,0.6551724138
141,0.5192307692,8,1.808734084,0.4302325581
142,0.5166666667,20,0.4531914619,0.8
143,0.5,4,1.193238581,0.8125
144,0.5714285714,4,0.6739910646,1
145,0.5454545455,1,0,0.2323232323
146,0.4935064935,21,0.4489020995,0.8083333333
147,0.5,14,0.3583020007,0.925
148,0.4666666667,7,0.2914827447,0.2456140351
149,0.4193548387,15,0.8329862849,0.7157894737
150,0.5294117647,24,1.034156982,0.975
151,0.6,7,0.2413947871,0.6
152,0.4117647059,6,0.275540726,0.4761904762
153,0.7777777778,7,0.4093652401,0.9565217391
154,0.5,2,0,0.1538461538
155,0,1,0,0.5
156,0.25,2,0,0.25
157,0.3333333333,3,0,0.5
158,0,0,0,0
159,0.5208333333,12,0.385844994,0.3916666667
160,0.5555555556,23,0.386220402,0.5862068966
161,0.5384615385,18,0.3256475271,0.4787234043
162,0.4705882353,11,0.7261132624,0.487804878
163,0.5227272727,5,0.9463528692,0.4925373134
164,0.5168539326,15,0.232734436,0.625
165,0,1,0,0.09090909091
166,0,0,0,0
167,0,0,0,0
168,0.5,3,0.3987986888,0.8
169,0.4144144144,14,0.6272293835,0.5666666667
170,0.4,5,0.440845312,0.8666666667
171,0.6,26,0.2634873745,0.9333333333
172,0.5916666667,22,0.5526275724,0.9916666667
173,0.525,15,0.6349090377,0.9916666667
174,0.5,3,0.5307929426,0.7777777778
175,0.475,6,0,0.05940594059
176,0,0,0,0
177,0.4423076923,17,0.3680375805,0.358490566
178,0,0,0,0
179,0,1,0,0.3333333333
180,0,0,0,0
181,0.4473684211,10,0.4399311452,0.4042553191
182,0.4789915966,22,0.448837621,0.9833333333
183,0.5593220339,12,0.5635915128,0.9333333333
184,0.5,24,0.568543175,0.875
185,0.5740740741,6,0.6558407864,0.5
186,0.55,29,0.793965818,0.85
187,0.4761904762,14,0.977687628,0.725
188,0.5384615385,8,0,0.1290322581
189,0.525,25,0.722975207,1
190,0.6666666667,4,0.6082425039,0.380952381
191,0.4912280702,7,0.38513307,0.9016393443
192,0.5131578947,9,0.3557727216,0.1829268293
193,0.5583333333,11,0.688859283,0.4833333333
194,0.4651162791,6,1.04084788,0.275862069
195,0.3333333333,1,0,0.1428571429
196,0,1,0,0.6
197,0.347826087,5,0.7674069092,0.2058823529
198,0.5833333333,4,0,0.1923076923
199,0,0,0,0
200,0.4731182796,16,0.748049392,0.5166666667
201,0.5416666667,8,0.608683409,0.5675675676
202,0.5641025641,20,0.5293027515,0.675
203,0.75,2,0,0.2222222222
204,0.5,4,0.6765881585,0.675
205,0.5555555556,3,0.2857379887,0.6666666667
206,0.5,3,0.3272539042,0.347826087
207,0.5176470588,12,0.3207977402,0.2040816327
208,0.5486725664,10,0.599245661,0.2583333333
209,0,0,0,0
210,0.6060606061,8,0.1408930759,0.25
211,0.4,2,0.265832262,0.5625
212,0.5145631068,16,0.5424322765,0.525
213,0.4418604651,7,0.5387057574,0.2741935484
214,0.6,1,0,0.6818181818
215,0.5714285714,3,0.6881702696,0.5333333333
216,0.4444444444,7,0.6000783582,0.4444444444
217,0.5084745763,21,0.4858876462,0.8916666667
218,0.4736842105,11,0.5628311695,0.6052631579
219,0.5555555556,11,0.6473895214,0.5
220,0.8333333333,6,0,0.5333333333
221,0.55,4,0.8891067697,0.3157894737
222,0.625,8,0.086276329,0.75
223,0.5454545455,3,1.172041573,0.8571428571
224,0.3333333333,2,0,0.1428571429
225,0.575,21,0.485672117,0.95
226,0.5798319328,17,0.629798184,1
227,0,0,0,0
228,0.6470588235,2,0.5361069869,0.619047619
229,0.5495495495,20,0.379558002,1
230,0.6666666667,3,0.6695735005,0.3695652174
231,0.4693877551,5,0.9226553751,0.2807017544
232,0.3333333333,5,0.9128918755,0.9333333333
233,0.575,21,0.374610555,1
234,0.474137931,11,1.12983853,0.9166666667
235,0.375,4,0.4262780211,0.3636363636
236,0,2,0,0.3571428571
237,0.3333333333,2,0,0.25
238,0,0,0,0
239,0.5714285714,2,0,0.4545454545
240,0.546875,9,0.2977886589,0.4623655914
241,0.568627451,24,0.2632267665,0.9916666667
242,0.5217391304,11,0.3105347382,0.880952381
243,0.5416666667,19,0.2909105465,0.3
244,0.5,2,0,0.2222222222
245,0.5,1,0,0.84
246,0.4166666667,5,0.3098551935,0.5
247,0.5652173913,7,0.4204666583,0.4848484848
248,0.5583333333,27,0.774485502,0.825
249,0,4,0.7328100903,0.8636363636
250,0.4545454545,5,0.5815135898,0.76
251,0.4827586207,12,0.6536297361,0.525
252,0.6,42,0.4030416781,0.9666666667
253,0.5,3,0.03036161281,0.4
254,0.5094339623,15,0.135595076,0.1842105263
255,0,0,0,0
256,0.5353535354,12,0.4618428932,0.5663716814
257,0.5454545455,7,0.1005273325,0.7692307692
258,0.5726495726,41,0.4478188986,0.9833333333
259,0.5916666667,30,0.3324908465,0.9666666667
260,0.65,36,0.30860038,0.9083333333
261,0,0,0,0
262,0.6666666667,6,0.2680751037,0.6111111111
263,0.4673913043,8,0.9805906242,0.75
264,0.6095238095,30,0.7324368672,0.6916666667
265,0.5700934579,26,0.343325963,0.7333333333
266,0.5,6,0.9570283338,0.2926829268
267,0,1,0,1
268,0.55,26,0.493895119,1
269,0.5566037736,15,0.5874884167,0.8916666667
270,0.55,26,0.629656993,0.6583333333
271,0.5,3,0.5958107241,0.3611111111
272,0.4905660377,8,0.6408101284,0.4587155963
273,0.5869565217,7,0.134274191,0.3018867925
274,0.5,2,0,0.1428571429
275,0.3939393939,5,0.4504716828,0.16
276,0.3571428571,5,0.5726845375,0.4166666667
277,0.5714285714,3,0.7917353195,0.5294117647
278,0.5,3,0.5629027537,0.5625
279,0.4615384615,1,0,0.0625
280,0.5384615385,14,0.179703157,0.3666666667
281,0.5213675214,17,0.289069927,0.4666666667
282,0.5398230088,12,0.561048645,0.375
