trade_id,pair,final_r,mfe_r,mae_r,bars_held,exit_reason,time_to_peak_mfe
4,AUD_NZD,-1.039030235,2.261151594,-1.693912184,32,stoploss,21
7,CAD_JPY,2.906015229,6.999806523,-0.01614452905,120,time_exit,104
8,CHF_JPY,-1.001786322,0.6823748616,-1.036066544,11,stoploss,9
11,NZD_CHF,-1.06564546,1.411377382,-1.284189304,47,stoploss,34
19,CHF_JPY,0.3148643353,3.715756957,-0.4883975201,120,time_exit,93
29,AUD_NZD,1.402794793,3.845995725,-0.5026681343,120,time_exit,82
51,USD_CHF,4.962644662,6.213270977,-0.2042855734,120,time_exit,91
57,CHF_JPY,3.776802086,4.562678801,-0.3199289343,120,time_exit,118
60,NZD_CAD,1.600978933,3.316945302,-0.7553790102,120,time_exit,84
62,AUD_CAD,0.1504846605,4.316533683,-0.05148159439,120,time_exit,77
64,CHF_JPY,2.906887545,3.529792019,-0.622904474,120,time_exit,87
66,EUR_CAD,-1.002092593,0.9594541119,-1.248232013,19,stoploss,15
69,CAD_JPY,8.538262389,8.961299076,-0.01179783591,120,time_exit,120
74,CAD_JPY,-1.001840221,0.8538623715,-1.100451936,23,stoploss,15
77,NZD_CAD,-1.053652653,2.01828656,-1.005198232,94,stoploss,76
78,CAD_JPY,-1.001845823,0.35070636,-1.376983919,20,stoploss,15
79,CAD_JPY,4.725087251,6.562857248,-0.291068774,120,time_exit,100
81,EUR_CAD,-1.003076423,1.556670013,-1.510523669,28,stoploss,20
90,EUR_NZD,-1.005203237,1.076202848,-1.218424659,38,stoploss,33
91,NZD_CAD,-1.063029344,0.2725092206,-1.8445352,16,stoploss,11
93,NZD_CAD,4.242196647,7.695547181,-0.6818839274,120,time_exit,68
95,EUR_NZD,1.274106184,4.103601993,-0.4674989612,120,time_exit,91
106,GBP_JPY,-1.001184919,2.461077348,-1.117378883,119,stoploss,110
108,CAD_JPY,-1.001446564,0.967751087,-1.060331161,17,stoploss,15
109,EUR_JPY,-1.003902586,1.14345772,-1.092724101,17,stoploss,12
116,CAD_JPY,0.848300864,3.378803287,-0.8391371201,120,time_exit,65
119,NZD_JPY,-1.003122281,1.917080378,-1.014741243,28,stoploss,18
120,EUR_NZD,1.892381884,5.150027334,-0.5967377178,120,time_exit,84
122,USD_CAD,1.339168136,7.633258376,-0.2343544238,120,time_exit,60
127,NZD_JPY,-1.081683717,0.3801434537,-1.008479741,3,stoploss,2
134,CAD_JPY,4.449832269,4.620416149,-0.6247765439,120,time_exit,92
135,GBP_JPY,-1.000845448,0.4666875203,-1.195464046,13,stoploss,10
136,NZD_JPY,3.669371599,4.362995481,-0.8113374249,120,time_exit,104
138,GBP_JPY,3.558229884,3.816118771,-0.4094384064,120,time_exit,97
139,EUR_CAD,0.752233231,1.882890541,-0.6331680938,120,time_exit,97
140,AUD_JPY,-1.001676746,1.708603766,-1.265942927,59,stoploss,38
142,GBP_CAD,2.957546363,4.302958515,-0.0243905127,120,time_exit,96
144,USD_CAD,-1.002407111,0.5295644079,-1.023022152,14,stoploss,13
146,EUR_NZD,1.139651266,3.304394662,-0.828220131,120,time_exit,97
147,EUR_JPY,1.501161831,2.90348173,-0.2347495867,120,time_exit,111
150,EUR_AUD,4.446635634,4.733901462,-0.4081568644,120,time_exit,117
151,EUR_GBP,-1.005747495,1.057539067,-1.080529047,16,stoploss,9
153,EUR_GBP,-1.005386385,0.7917985564,-1.255027644,24,stoploss,22
160,CAD_JPY,-1.001526563,3.506514875,-1.741808216,117,stoploss,68
164,EUR_GBP,-0.4991985,3.008682851,-0.9444295946,120,time_exit,75
