trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
1,AUD_CHF,0.4411764706,6,0.3356909111,0.3947368421
2,GBP_CAD,0,1,0,0.2727272727
3,GBP_CHF,0.5333333333,6,1.001911857,0.5471698113
4,NZD_CAD,0.475,6,0.595372828,0.4666666667
5,EUR_GBP,0,0,0,0
6,AUD_JPY,0,1,0,0.1111111111
7,EUR_CAD,0,0,0,0
8,EUR_NZD,0,0,0,0
9,CAD_JPY,0,1,0,0.3333333333
10,CHF_JPY,0.4615384615,7,0.247037614,0.4333333333
11,EUR_USD,0,0,0,0
12,EUR_CHF,0.5384615385,13,0.5468921623,0.3970588235
13,NZD_USD,0.5598290598,52,0.651295084,0.867219917
14,USD_CAD,0.5,11,1.006826573,0.5571428571
15,NZD_CAD,0.525,50,0.784218049,0.7842323651
16,CAD_CHF,0.5,4,0.2034664073,0.1785714286
17,EUR_NZD,0.5,1,0,0.2352941176
18,GBP_AUD,0.5,3,0.3926164553,0.5476190476
19,GBP_NZD,0.4347826087,4,0.7922793822,0.5555555556
20,EUR_GBP,0,0,0,0
21,EUR_NZD,0.3333333333,2,0,0.08333333333
22,CHF_JPY,0.6666666667,2,0,0.3
23,USD_JPY,0.4074074074,8,1.018373409,0.75
24,NZD_JPY,0,1,0,0.1111111111
25,AUD_CHF,0.525,25,0.6805161229,0.9958506224
26,AUD_JPY,0.5481171548,32,0.8548925115,0.9958506224
27,AUD_CAD,0,1,0,0
28,EUR_USD,0.5780590717,40,0.709034734,0.8298755187
29,GBP_USD,0.5564853556,29,0.5384677245,0.8257261411
30,EUR_CAD,0.5486725664,26,0.9468815316,0.8838174274
31,EUR_AUD,0.3333333333,1,0,0.04761904762
32,USD_CHF,1,0,0,0
33,GBP_CAD,0.5379310345,17,0.633732221,0.487012987
34,CAD_CHF,0.5,6,0.5271536105,0.07368421053
35,EUR_GBP,0.5023923445,12,1.597676541,0.5684647303
36,EUR_NZD,0,0,0,0
37,CAD_JPY,0.5381165919,23,0.7717441885,0.9668049793
38,CHF_JPY,0.5401785714,36,0.65219376,0.3941908714
39,AUD_USD,0.5791666667,45,0.456402397,0.7925311203
40,AUD_CAD,0.4745762712,10,0.676554093,0.5147058824
41,AUD_NZD,1,4,0.3754952142,0.5833333333
42,GBP_AUD,0.5714285714,1,0,0.0625
43,USD_CHF,0,2,0,0.25
44,USD_CAD,0,1,0,0.1666666667
45,GBP_NZD,0.3783783784,7,0.6300216053,0.5384615385
46,NZD_CHF,0.4909090909,28,1.034756776,0.9875518672
47,EUR_NZD,0.4576271186,5,1.607075461,0.6235294118
48,USD_CHF,0.25,2,0,0.2272727273
49,EUR_AUD,0.46,6,1.633372158,0.4933333333
50,EUR_JPY,0.5357142857,13,0.4745419115,0.7049180328
51,GBP_CHF,0,0,0,0
52,GBP_JPY,0,0,0,0
53,NZD_USD,0.5020920502,21,0.280982561,0.244813278
54,USD_CAD,0,1,0,0.1666666667
55,EUR_AUD,0,2,0,0.5454545455
56,EUR_NZD,0.4,3,1.108916465,0.4864864865
57,USD_CAD,0.4166666667,6,0.7116438006,0.2786885246
58,GBP_CAD,0.5083333333,31,0.316709324,0.7925311203
59,EUR_CHF,0.3333333333,1,0,0.1
60,NZD_CAD,0.5,4,0.15850504,0.4545454545
61,NZD_JPY,0.2,4,0.4618187016,0.5
62,AUD_CHF,0,0,0,0
63,GBP_JPY,0,0,0,0
64,CAD_CHF,0.4666666667,4,0,0.1351351351
65,AUD_NZD,0,1,0,0
66,AUD_JPY,0.4285714286,3,0,0.25
67,AUD_USD,0.5,2,0.1777383448,0.375
68,CAD_JPY,0.2857142857,3,0,0.25
69,GBP_USD,0.4375,3,0.1244055275,0.119047619
70,EUR_NZD,0.5833333333,4,0,0.1538461538
71,EUR_JPY,0.5355648536,30,0.5745401715,0.8755186722
72,AUD_CAD,0.2,2,0,0.2222222222
73,EUR_GBP,0.5,1,0,0.8333333333
74,NZD_CAD,0.4090909091,4,0.3773790669,0.1875
75,CAD_CHF,0,1,0,0.0625
76,CAD_JPY,0.5774058577,57,0.7644150211,0.9294605809
77,USD_CAD,0.6666666667,5,0.4415682724,0.6842105263
78,USD_JPY,0.5757575758,47,0.5943667415,0.8630705394
79,EUR_AUD,1,1,0,0.1
80,EUR_GBP,0,0,0,0
81,USD_CAD,0.3684210526,6,0.3850034145,0.2352941176
82,USD_CHF,0.5815899582,50,0.640851515,0.8008298755
83,EUR_USD,0.4545454545,16,0.1514676574,0.6730769231
84,CHF_JPY,0,0,0,0
