feature,comparison,n_c1,n_other,ks_stat,ks_pvalue,wasserstein,wasserstein_norm_by_c1_std,overlap_coef
body_to_range_ratio,c1_vs_c0,177,316,0.041657727240220266,0.9830841205679673,0.01168104986885624,0.06094265944625027,0.836462132589573
body_to_range_ratio,c1_vs_c2,177,429,0.04606692742285962,0.9388815770943072,0.01134318935166631,0.0591799652817183,0.8497096124214766
body_to_range_ratio,c1_vs_c3,177,405,0.05356769198577108,0.8475793137260773,0.012229084751079018,0.06380188045522957,0.8498849131617493
upper_wick_ratio,c1_vs_c0,177,316,0.06196810412643925,0.7459630207334639,0.011355159790949448,0.0888788085843951,0.815007509118215
upper_wick_ratio,c1_vs_c2,177,429,0.07332780214136146,0.48296996637700146,0.01817954439887613,0.1422944526123769,0.8034056339141084
upper_wick_ratio,c1_vs_c3,177,405,0.07880309688219293,0.40316451734967795,0.009471822662597669,0.07413760166064241,0.8265745971960661
lower_wick_ratio,c1_vs_c0,177,316,0.08125938639776872,0.4140484600941998,0.014784488461313756,0.08683733395451293,0.8098405206321964
lower_wick_ratio,c1_vs_c2,177,429,0.09355616135277152,0.20654655199411112,0.024802841131511537,0.14568056270554305,0.8133617794634742
lower_wick_ratio,c1_vs_c3,177,405,0.06474157773592802,0.6503233588532291,0.015444774375044568,0.09071555189530518,0.859635907093534
range_to_atr_14,c1_vs_c0,177,316,0.10559250518486733,0.1459139869932347,0.08757079341345826,0.21055122310465382,0.791049846241865
range_to_atr_14,c1_vs_c2,177,429,0.06755955908498282,0.5872780132425636,0.0691132809059144,0.16617282155718596,0.8853462921259532
range_to_atr_14,c1_vs_c3,177,405,0.0624816907302783,0.6924254602555615,0.0552373979572096,0.13281028123266486,0.9243774848294624
ret_5bar_atr,c1_vs_c0,177,316,0.07627118644067797,0.49376055155719434,0.09605678930722193,0.09640904537700105,0.7815740542086819
ret_5bar_atr,c1_vs_c2,177,429,0.12638773655722807,0.032804454025407236,0.16897145786963058,0.16959110404022695,0.7665441902730038
ret_5bar_atr,c1_vs_c3,177,405,0.09587779870265746,0.19195277817966588,0.10293270135809346,0.10331017253002887,0.79568947478552
ret_20bar_atr,c1_vs_c0,177,316,0.08574697847386112,0.34946961372371155,0.2989961271649677,0.1315078745124447,0.8466530787384682
ret_20bar_atr,c1_vs_c2,177,429,0.15925882027576943,0.002997700105340534,0.5988467353936662,0.2633915765968645,0.8108727430761329
ret_20bar_atr,c1_vs_c3,177,405,0.11324544883866917,0.07729393125132404,0.3538011237693039,0.15561283093591524,0.8423938062356142
pos_in_20bar_range,c1_vs_c0,177,316,0.10451977401129943,0.15357822421702957,0.04980993978050045,0.18535980493780427,0.7874204391046271
pos_in_20bar_range,c1_vs_c2,177,429,0.15428074750108647,0.004462550016788698,0.08184286947867675,0.3045652813267721,0.8026944806605825
pos_in_20bar_range,c1_vs_c3,177,405,0.12789286461602845,0.03188406827734911,0.05484274408508499,0.20408858935912444,0.7897468089558484
