trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,time_to_peak_mfe,calendar_year,num_higher_highs,num_higher_lows,most_recent_sh_price,most_recent_sh_age,most_recent_sl_price,most_recent_sl_age,hh_range_atr,hl_range_atr,pullback_depth_atr,trigger_body_atr,trigger_close_pos,trigger_break_size_atr
1,GBP_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,1.8119,1.799131918,2020-10-09 12:00:00,1.798931918,stoploss,-1.01566406,9,3.182937067,-1.426995899,4,4,0,2020,2,3,1.81701,10,1.8028,11,0.8897186289,2.847726175,1.35319202,0.4824530593,0.898467433,0.2772538685
2,GBP_JPY,2020-10-08 00:00:00,2020-10-08 04:00:00,137.012,135.9117222,2020-10-14 08:00:00,135.8997222,stoploss,-1.010906337,26,3.119212338,-2.373945987,2,2.4,10,2020,2,2,137.441,10,135.864,6,0.7870739758,1.490532702,1.036329427,0.2908356492,0.7037037037,0.02908356492
3,AUD_JPY,2020-10-08 04:00:00,2020-10-08 08:00:00,75.7125,75.17257889,2020-10-15 00:00:00,75.16807889,stoploss,-1.008334551,29,3.425500445,-4.775697701,0.9,0.9,8,2020,2,2,76.162,12,74.929,7,0.4111711807,0.003704244872,1.984955669,0.3444947731,0.9086294416,0.01852122436
4,EUR_JPY,2020-10-08 20:00:00,2020-10-09 00:00:00,124.642,124.0880886,2020-10-13 16:00:00,124.0810886,stoploss,-1.0126374,17,3.632349762,-5.462967385,1,1.4,4,2020,3,2,124.874,8,123.843,12,0.5957631319,2.975204974,0.9186107887,0.2130304532,0.7433628319,0.184144968
5,GBP_NZD,2020-10-09 20:00:00,2020-10-12 00:00:00,1.95654,1.943345871,2020-10-14 00:00:00,1.943060871,stoploss,-1.021600517,13,1.757599943,-5.282652697,5.2,5.7,4,2020,2,4,1.97237,10,1.95666,8,1.852339052,2.194915669,2.759777959,0.2576903755,0.6036036036,0.1227818848
6,AUD_USD,2020-10-13 08:00:00,2020-10-13 12:00:00,0.71984,0.7155097784,2020-10-13 20:00:00,0.7154597784,stoploss,-1.011546753,3,5.891153504,-4.791902596,1,1,0,2020,3,2,0.72429,9,0.7123,19,4.226111687,1.293236363,2.789224035,0.6743303894,0.9918032787,0.6697116881
7,GBP_USD,2020-10-14 12:00:00,2020-10-14 16:00:00,1.302865,1.293333491,2020-10-15 12:00:00,1.293288491,stoploss,-1.004721183,6,5.361690632,-1.8375895,0.9,0.9,0,2020,2,4,1.30823,11,1.30051,12,2.358493404,3.376170718,4.419455571,2.595601727,0.8966712899,2.161252852
8,GBP_AUD,2020-10-16 04:00:00,2020-10-16 08:00:00,1.82319,1.810599105,2020-11-04 16:00:00,1.810399105,stoploss,-1.015884494,81,2.331049527,-5.594518865,4,4,23,2020,2,2,1.83308,4,1.79642,11,2.122168428,0.1096030101,1.628134782,0.09213006649,0.9938650307,0.02700364018
9,GBP_CHF,2020-10-19 00:00:00,2020-10-19 04:00:00,1.184105,1.175219412,2020-10-20 12:00:00,1.175124412,stoploss,-1.01069147,9,4.079077206,-1.778723003,1.9,1.9,1,2020,3,2,1.19171,14,1.17849,8,0.5019363867,0.3803912527,2.473429291,1.033133639,0.9914893617,0.1350501489
10,USD_CAD,2020-10-19 20:00:00,2020-10-20 00:00:00,1.319125,1.31388241,2020-10-20 16:00:00,1.31381741,stoploss,-1.012398452,5,3.783435177,-9.244476221,1.3,1.3,2,2020,2,2,1.32591,13,1.31162,20,3.662311843,0.6523492969,4.096016482,1.274179329,0.9314420804,0.5569765927
11,EUR_AUD,2020-10-21 08:00:00,2020-10-21 12:00:00,1.67562,1.665929138,2020-10-21 16:00:00,1.665809138,stoploss,-1.012382799,2,0,-7.390467228,2.4,2.4,0,2020,3,2,1.68262,4,1.64842,13,5.349369186,3.058551363,1.947050683,0.4953119617,0.7764976959,0.02270179824
12,EUR_CAD,2020-10-21 08:00:00,2020-10-21 12:00:00,1.55429,1.54778611,2020-11-02 12:00:00,1.54769611,stoploss,-1.013837873,49,2.586144663,-3.533270176,1.8,1.8,36,2020,4,2,1.55839,5,1.54256,12,3.59169675,1.1285554,2.408846205,1.070128826,0.887254902,0.6365421466
13,USD_JPY,2020-10-22 00:00:00,2020-10-22 04:00:00,104.633,104.2451123,2020-10-28 04:00:00,104.2421123,stoploss,-1.007734198,25,2.68892273,-3.758820077,0.6,0.6,14,2020,3,2,105.746,9,105.301,15,1.309657475,0.5774867608,5.993166822,0.2114014035,0.5860215054,0.2217136671
14,CAD_JPY,2020-10-22 08:00:00,2020-10-22 12:00:00,79.655,79.24280958,2020-10-27 20:00:00,79.23680958,stoploss,-1.014556379,21,5.977819735,-4.226202102,1.2,1.2,3,2020,3,2,80.519,10,79.847,14,2.178604757,1.960259069,4.990216819,0.6598891916,0.9503816794,0.5531424106
15,CHF_JPY,2020-10-22 16:00:00,2020-10-22 20:00:00,115.53,115.0396957,2020-10-27 08:00:00,115.0286957,stoploss,-1.022435049,16,4.546156648,-3.720138953,2.2,2.2,8,2020,2,2,116.584,12,115.032,20,4.625699092,0.7056842531,4.991161069,0.5547575631,0.5986842105,0.004079099729
16,AUD_USD,2020-10-23 08:00:00,2020-10-23 12:00:00,0.71445,0.7091936762,2020-10-28 12:00:00,0.7091436762,stoploss,-1.009512352,19,9.415325605,-2.922194409,1,1,0,2020,2,2,0.71366,10,0.70849,7,0.8332819994,2.446576829,0.965378532,1.187141479,0.9154013015,0.6164003831
17,EUR_USD,2020-10-23 08:00:00,2020-10-23 12:00:00,1.183875,1.178767411,2020-10-27 20:00:00,1.178732411,stoploss,-1.006852548,15,8.500096179,-4.637217045,0.7,0.7,2,2020,3,2,1.18806,10,1.17598,18,5.270588256,2.224141255,3.394690647,1.444908668,0.8581818182,1.339183643
18,EUR_CHF,2020-10-23 16:00:00,2020-10-23 20:00:00,1.07219,1.069424064,2020-10-28 12:00:00,1.069374064,stoploss,-1.018077062,17,5.419503117,-2.256017308,1,1,10,2020,2,2,1.07484,8,1.07103,13,1.359395045,0.5061577294,2.689415044,0.6507742236,0.6020408163,0.1012315459
