metric,value
unit_id,c3
n,405
sl_atr_mult,2
fwd_mfe_p5,0.6226259252
fwd_mfe_p10,0.7610525374
fwd_mfe_p25,1.316142795
fwd_mfe_p50,2.249153486
fwd_mfe_p75,3.707672029
fwd_mfe_p90,5.258089062
fwd_mfe_p95,6.453280572
fwd_mfe_p99,9.425899674
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,2.087471108
final_r_p95,3.217680396
final_r_p99,4.991301299
fwd_mfe_mean,2.730112917
final_r_mean,-0.4251204667
hartigan_dip_stat,0.01237700064
hartigan_dip_pvalue,0.9770200847
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.7283950617
mass_final_r_le_0R_count,344
mass_final_r_le_0R_frac,0.849382716
mass_final_r_0R_to_0.5R_count,4
mass_final_r_0R_to_0.5R_frac,0.00987654321
mass_final_r_0.5R_to_1R_count,4
mass_final_r_0.5R_to_1R_frac,0.00987654321
mass_final_r_1R_to_2R_count,12
mass_final_r_1R_to_2R_frac,0.02962962963
mass_final_r_2R_to_5R_count,37
mass_final_r_2R_to_5R_frac,0.09135802469
mass_final_r_gt_5R_count,4
mass_final_r_gt_5R_frac,0.00987654321
