trade_id,pair,signal_bar_time,entry_time,y,native_prob_negative,native_prob_positive
1,EUR_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,0,0.9947818018,0.005218198199
2,GBP_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,0,0.9930228681,0.006977131917
3,AUD_JPY,2020-10-08 04:00:00,2020-10-08 08:00:00,0,0.9634512149,0.03654878508
4,CAD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.989701534,0.01029846604
5,CAD_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.9087359315,0.09126406847
6,GBP_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.9262391032,0.07376089681
7,USD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.9965604115,0.003439588471
8,AUD_CHF,2020-10-09 00:00:00,2020-10-09 04:00:00,0,0.8864435574,0.1135564426
9,CHF_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,0,0.9808308145,0.0191691855
10,EUR_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,0,0.9660511422,0.03394885782
11,NZD_CAD,2020-10-09 12:00:00,2020-10-09 16:00:00,0,0.9930076812,0.00699231879
12,GBP_CHF,2020-10-12 04:00:00,2020-10-12 08:00:00,0,0.9985096521,0.001490347894
13,GBP_USD,2020-10-12 04:00:00,2020-10-12 08:00:00,0,0.9909394976,0.009060502393
14,EUR_NZD,2020-10-12 08:00:00,2020-10-12 12:00:00,0,0.9784840579,0.02151594206
15,GBP_NZD,2020-10-13 00:00:00,2020-10-13 04:00:00,0,0.9761148251,0.02388517491
16,USD_CAD,2020-10-13 00:00:00,2020-10-13 04:00:00,0,0.983822188,0.01617781204
17,NZD_JPY,2020-10-14 00:00:00,2020-10-14 04:00:00,0,0.9970386815,0.002961318461
18,NZD_USD,2020-10-14 00:00:00,2020-10-14 04:00:00,0,0.9619032342,0.03809676576
19,EUR_GBP,2020-10-14 04:00:00,2020-10-14 08:00:00,0,0.9673547653,0.03264523475
20,EUR_AUD,2020-10-15 00:00:00,2020-10-15 04:00:00,0,0.9556345668,0.04436543321
21,GBP_AUD,2020-10-15 00:00:00,2020-10-15 04:00:00,0,0.9945910207,0.005408979292
22,GBP_JPY,2020-10-15 00:00:00,2020-10-15 04:00:00,0,0.9993878292,0.0006121707961
23,USD_CHF,2020-10-15 08:00:00,2020-10-15 12:00:00,0,0.9912768029,0.008723197106
24,GBP_CAD,2020-10-16 08:00:00,2020-10-16 12:00:00,0,0.9472774567,0.0527225433
25,GBP_CHF,2020-10-16 08:00:00,2020-10-16 12:00:00,0,0.9989826092,0.001017390818
26,GBP_NZD,2020-10-16 08:00:00,2020-10-16 12:00:00,0,0.9864967559,0.01350324409
27,EUR_JPY,2020-10-16 12:00:00,2020-10-16 16:00:00,0,0.9687101991,0.03128980092
28,USD_JPY,2020-10-16 12:00:00,2020-10-16 16:00:00,0,0.9979356765,0.002064323511
29,NZD_CHF,2020-10-16 16:00:00,2020-10-16 20:00:00,0,0.993564725,0.006435274957
30,AUD_JPY,2020-10-19 00:00:00,2020-10-19 04:00:00,0,0.9894852656,0.01051473444
31,AUD_USD,2020-10-19 00:00:00,2020-10-19 04:00:00,0,0.9982412654,0.001758734579
32,CAD_JPY,2020-10-19 00:00:00,2020-10-19 04:00:00,0,0.9969680647,0.003031935262
33,GBP_USD,2020-10-19 00:00:00,2020-10-19 04:00:00,1,0.04720415917,0.9527958408
34,NZD_JPY,2020-10-19 08:00:00,2020-10-19 12:00:00,0,0.9981123386,0.001887661429
35,NZD_USD,2020-10-19 08:00:00,2020-10-19 12:00:00,0,0.9525545283,0.0474454717
36,EUR_CAD,2020-10-19 20:00:00,2020-10-20 00:00:00,0,0.9885950123,0.01140498772
37,CHF_JPY,2020-10-20 00:00:00,2020-10-20 04:00:00,0,0.9765038137,0.02349618632
38,EUR_GBP,2020-10-20 04:00:00,2020-10-20 08:00:00,0,0.9237096574,0.07629034262
39,GBP_JPY,2020-10-20 08:00:00,2020-10-20 12:00:00,0,0.9990738405,0.0009261595277
40,EUR_USD,2020-10-21 04:00:00,2020-10-21 08:00:00,0,0.9686716659,0.03132833414
41,CAD_CHF,2020-10-22 08:00:00,2020-10-22 12:00:00,0,0.9719526877,0.0280473123
42,AUD_CHF,2020-10-22 16:00:00,2020-10-22 20:00:00,0,0.949938083,0.05006191696
43,AUD_JPY,2020-10-22 16:00:00,2020-10-22 20:00:00,0,0.972961097,0.02703890301
44,NZD_USD,2020-10-22 16:00:00,2020-10-22 20:00:00,0,0.9732764166,0.02672358344
45,AUD_CAD,2020-10-23 00:00:00,2020-10-23 04:00:00,0,0.9506575861,0.04934241386
46,USD_CAD,2020-10-23 00:00:00,2020-10-23 04:00:00,0,0.9717111049,0.02828889513
47,USD_CHF,2020-10-23 00:00:00,2020-10-23 04:00:00,0,0.8335245497,0.1664754503
48,CHF_JPY,2020-10-23 08:00:00,2020-10-23 12:00:00,0,0.9985750774,0.001424922599
49,USD_JPY,2020-10-26 00:00:00,2020-10-26 04:00:00,0,0.9997975588,0.0002024411749
50,NZD_CHF,2020-10-26 08:00:00,2020-10-26 12:00:00,1,0.0275305069,0.9724694931
51,AUD_USD,2020-10-27 04:00:00,2020-10-27 08:00:00,0,0.9992589206,0.0007410793573
52,EUR_GBP,2020-10-28 08:00:00,2020-10-28 12:00:00,0,0.9364506153,0.06354938468
53,GBP_CAD,2020-10-28 16:00:00,2020-10-28 20:00:00,0,0.9845035385,0.01549646147
54,GBP_CHF,2020-10-29 00:00:00,2020-10-29 04:00:00,0,0.990826917,0.009173082954
55,GBP_NZD,2020-10-29 04:00:00,2020-10-29 08:00:00,0,0.9994667516,0.0005332484116
56,NZD_USD,2020-10-30 00:00:00,2020-10-30 04:00:00,0,0.9945892116,0.00541078839
57,EUR_NZD,2020-10-30 04:00:00,2020-10-30 08:00:00,0,0.9975140129,0.002485987115
58,EUR_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,1,0.02541833744,0.9745816626
59,NZD_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,0,0.9987333249,0.001266675062
60,USD_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,0,0.9915023495,0.008497650549
61,AUD_CHF,2020-11-02 08:00:00,2020-11-02 12:00:00,1,0.01662348259,0.9833765174
62,CAD_CHF,2020-11-02 08:00:00,2020-11-02 12:00:00,0,0.8710499603,0.1289500397
63,CAD_JPY,2020-11-02 08:00:00,2020-11-02 12:00:00,0,0.8258518827,0.1741481173
64,CHF_JPY,2020-11-02 08:00:00,2020-11-02 12:00:00,1,0.01952717999,0.98047282
65,AUD_NZD,2020-11-04 12:00:00,2020-11-04 16:00:00,0,0.9993748644,0.0006251356111
66,AUD_USD,2020-11-04 12:00:00,2020-11-04 16:00:00,1,0.0287098496,0.9712901504
67,AUD_CAD,2020-11-05 08:00:00,2020-11-05 12:00:00,1,0.03659557669,0.9634044233
68,EUR_CAD,2020-11-05 08:00:00,2020-11-05 12:00:00,0,0.992558521,0.007441478954
69,EUR_CHF,2020-11-05 08:00:00,2020-11-05 12:00:00,0,0.8931428643,0.1068571357
70,GBP_JPY,2020-11-05 08:00:00,2020-11-05 12:00:00,1,0.02508782772,0.9749121723
71,GBP_NZD,2020-11-05 20:00:00,2020-11-06 00:00:00,0,0.9968113215,0.003188678499
72,EUR_GBP,2020-11-06 08:00:00,2020-11-06 12:00:00,0,0.9920726288,0.007927371202
73,EUR_USD,2020-11-06 08:00:00,2020-11-06 12:00:00,0,0.9729594324,0.02704056755
74,NZD_USD,2020-11-09 00:00:00,2020-11-09 04:00:00,1,0.02887991604,0.971120084
75,AUD_JPY,2020-11-09 12:00:00,2020-11-09 16:00:00,0,0.9369014916,0.06309850841
76,USD_CHF,2020-11-11 08:00:00,2020-11-11 12:00:00,0,0.9962544878,0.003745512228
77,USD_JPY,2020-11-11 08:00:00,2020-11-11 12:00:00,0,0.9632956291,0.03670437094
78,EUR_CAD,2020-11-12 04:00:00,2020-11-12 08:00:00,1,0.01940457412,0.9805954259
79,USD_CAD,2020-11-12 04:00:00,2020-11-12 08:00:00,0,0.907581872,0.09241812802
80,AUD_NZD,2020-11-13 00:00:00,2020-11-13 04:00:00,0,0.9867236847,0.01327631526
81,GBP_CAD,2020-11-13 00:00:00,2020-11-13 04:00:00,0,0.9961860015,0.003813998454
82,EUR_USD,2020-11-13 20:00:00,2020-11-16 00:00:00,1,0.0316963458,0.9683036542
83,NZD_CAD,2020-11-16 00:00:00,2020-11-16 04:00:00,1,0.03021281447,0.9697871855
84,NZD_JPY,2020-11-16 20:00:00,2020-11-17 00:00:00,0,0.9657101698,0.03428983022
85,EUR_AUD,2020-11-17 00:00:00,2020-11-17 04:00:00,0,0.9820395851,0.01796041488
86,EUR_NZD,2020-11-17 08:00:00,2020-11-17 12:00:00,0,0.9977762989,0.002223701067
87,GBP_NZD,2020-11-17 08:00:00,2020-11-17 12:00:00,0,0.9894427141,0.01055728591
88,AUD_JPY,2020-11-18 08:00:00,2020-11-18 12:00:00,0,0.9995785331,0.0004214669151
89,GBP_AUD,2020-11-19 08:00:00,2020-11-19 12:00:00,0,0.8866343499,0.1133656501
90,NZD_JPY,2020-11-20 12:00:00,2020-11-20 16:00:00,1,0.02525185712,0.9747481429
91,USD_JPY,2020-11-23 08:00:00,2020-11-23 12:00:00,0,0.9882009524,0.01179904759
92,EUR_NZD,2020-11-23 16:00:00,2020-11-23 20:00:00,0,0.9945265999,0.005473400063
93,AUD_JPY,2020-11-24 16:00:00,2020-11-24 20:00:00,1,0.02816517981,0.9718348202
94,AUD_NZD,2020-11-24 16:00:00,2020-11-24 20:00:00,0,0.996393417,0.003606583016
95,EUR_GBP,2020-11-25 00:00:00,2020-11-25 04:00:00,0,0.9125396409,0.08746035908
96,USD_CHF,2020-11-25 08:00:00,2020-11-25 12:00:00,0,0.9804427827,0.01955721725
97,USD_CAD,2020-11-27 00:00:00,2020-11-27 04:00:00,0,0.9731386298,0.02686137017
98,EUR_NZD,2020-11-30 04:00:00,2020-11-30 08:00:00,0,0.9527351672,0.04726483277
99,AUD_NZD,2020-12-03 04:00:00,2020-12-03 08:00:00,1,0.08098544493,0.9190145551
100,USD_CAD,2020-12-03 08:00:00,2020-12-03 12:00:00,0,0.9951524829,0.004847517129
101,USD_CHF,2020-12-04 08:00:00,2020-12-04 12:00:00,0,0.983303945,0.01669605497
102,GBP_NZD,2020-12-07 16:00:00,2020-12-07 20:00:00,0,0.9742530457,0.02574695431
103,EUR_AUD,2020-12-14 00:00:00,2020-12-14 04:00:00,0,0.9743881486,0.02561185135
104,GBP_CAD,2020-12-14 08:00:00,2020-12-14 12:00:00,0,0.9523199508,0.04768004924
105,GBP_USD,2020-12-14 08:00:00,2020-12-14 12:00:00,0,0.9582091731,0.04179082692
106,GBP_AUD,2020-12-15 00:00:00,2020-12-15 04:00:00,0,0.8134880181,0.1865119819
107,GBP_NZD,2020-12-15 00:00:00,2020-12-15 04:00:00,0,0.8608575324,0.1391424676
108,USD_CAD,2020-12-16 04:00:00,2020-12-16 08:00:00,0,0.8904929066,0.1095070934
109,GBP_CHF,2020-12-16 08:00:00,2020-12-16 12:00:00,0,0.9864709853,0.01352901473
110,USD_CHF,2020-12-16 16:00:00,2020-12-16 20:00:00,0,0.9936975216,0.006302478383
111,USD_JPY,2020-12-21 08:00:00,2020-12-21 12:00:00,0,0.9992939027,0.0007060972804
112,GBP_CHF,2020-12-21 16:00:00,2020-12-21 20:00:00,1,0.01452911726,0.9854708827
113,GBP_CAD,2020-12-21 20:00:00,2020-12-22 00:00:00,1,0.02431026015,0.9756897398
114,GBP_USD,2020-12-23 00:00:00,2020-12-23 04:00:00,1,0.01486181386,0.9851381861
115,NZD_CHF,2020-12-29 00:00:00,2020-12-29 04:00:00,1,0.03862790822,0.9613720918
116,CAD_CHF,2020-12-30 08:00:00,2020-12-30 12:00:00,1,0.03113642519,0.9688635748
117,AUD_CHF,2020-12-31 00:00:00,2020-12-31 04:00:00,0,0.9600896592,0.03991034078
118,USD_JPY,2020-12-31 16:00:00,2020-12-31 20:00:00,0,0.9951526626,0.004847337437
119,GBP_JPY,2021-01-05 16:00:00,2021-01-05 20:00:00,1,0.03381714132,0.9661828587
120,EUR_CHF,2021-01-06 08:00:00,2021-01-06 12:00:00,0,0.9935680075,0.006431992494
121,CHF_JPY,2021-01-07 00:00:00,2021-01-07 04:00:00,0,0.9384658998,0.0615341002
122,EUR_JPY,2021-01-07 00:00:00,2021-01-07 04:00:00,0,0.9878318831,0.01216811691
123,USD_JPY,2021-01-07 04:00:00,2021-01-07 08:00:00,1,0.03723047179,0.9627695282
124,USD_CHF,2021-01-08 00:00:00,2021-01-08 04:00:00,1,0.03809215935,0.9619078406
125,AUD_CHF,2021-01-08 04:00:00,2021-01-08 08:00:00,0,0.9651778006,0.03482219937
126,AUD_CAD,2021-01-08 08:00:00,2021-01-08 12:00:00,0,0.9991777217,0.00082227827
127,GBP_NZD,2021-01-08 08:00:00,2021-01-08 12:00:00,1,0.01078440773,0.9892155923
128,GBP_AUD,2021-01-08 16:00:00,2021-01-08 20:00:00,1,0.01469008338,0.9853099166
129,NZD_USD,2021-01-12 08:00:00,2021-01-12 12:00:00,0,0.9974954203,0.002504579672
130,CAD_JPY,2021-01-13 08:00:00,2021-01-13 12:00:00,0,0.9800382427,0.01996175729
131,NZD_CAD,2021-01-15 08:00:00,2021-01-15 12:00:00,0,0.993578273,0.006421727035
132,AUD_CAD,2021-01-18 00:00:00,2021-01-18 04:00:00,0,0.994728821,0.005271178961
133,EUR_CAD,2021-01-18 00:00:00,2021-01-18 04:00:00,0,0.9910551252,0.00894487476
134,EUR_NZD,2021-01-18 00:00:00,2021-01-18 04:00:00,0,0.9990055024,0.0009944975756
135,USD_CAD,2021-01-18 00:00:00,2021-01-18 04:00:00,0,0.9665718871,0.03342811293
136,NZD_USD,2021-01-19 00:00:00,2021-01-19 04:00:00,1,0.01037320565,0.9896267944
137,EUR_JPY,2021-01-20 00:00:00,2021-01-20 04:00:00,0,0.9293899024,0.07061009758
138,EUR_USD,2021-01-20 00:00:00,2021-01-20 04:00:00,0,0.7728497276,0.2271502724
139,CAD_JPY,2021-01-20 08:00:00,2021-01-20 12:00:00,0,0.8234570579,0.1765429421
140,NZD_JPY,2021-01-20 08:00:00,2021-01-20 12:00:00,1,0.008612158532,0.9913878415
141,AUD_CHF,2021-01-21 00:00:00,2021-01-21 04:00:00,0,0.9988802255,0.001119774526
142,AUD_USD,2021-01-21 00:00:00,2021-01-21 04:00:00,0,0.9861384761,0.01386152388
143,CHF_JPY,2021-01-21 00:00:00,2021-01-21 04:00:00,0,0.9241274626,0.07587253742
144,NZD_CAD,2021-01-21 00:00:00,2021-01-21 04:00:00,1,0.04158142136,0.9584185786
145,EUR_CHF,2021-01-22 00:00:00,2021-01-22 04:00:00,1,0.04634433895,0.9536556611
146,USD_CAD,2021-01-22 00:00:00,2021-01-22 04:00:00,0,0.914001654,0.08599834598
147,EUR_CAD,2021-01-28 04:00:00,2021-01-28 08:00:00,0,0.9532675764,0.04673242359
148,EUR_GBP,2021-01-28 08:00:00,2021-01-28 12:00:00,0,0.9995947591,0.000405240865
149,EUR_USD,2021-01-28 08:00:00,2021-01-28 12:00:00,0,0.9843386101,0.01566138993
150,CAD_JPY,2021-01-29 08:00:00,2021-01-29 12:00:00,1,0.01568035599,0.984319644
151,EUR_JPY,2021-01-29 08:00:00,2021-01-29 12:00:00,0,0.9976308526,0.002369147401
152,AUD_CHF,2021-01-29 12:00:00,2021-01-29 16:00:00,0,0.812453546,0.187546454
153,AUD_NZD,2021-02-01 16:00:00,2021-02-01 20:00:00,0,0.9924840997,0.00751590034
154,EUR_AUD,2021-02-02 04:00:00,2021-02-02 08:00:00,0,0.9995471945,0.0004528054678
155,EUR_JPY,2021-02-03 20:00:00,2021-02-04 00:00:00,1,0.0260121199,0.9739878801
156,AUD_CAD,2021-02-04 00:00:00,2021-02-04 04:00:00,1,0.01933310621,0.9806668938
157,AUD_JPY,2021-02-04 00:00:00,2021-02-04 04:00:00,1,0.03320268524,0.9667973148
158,AUD_USD,2021-02-04 00:00:00,2021-02-04 04:00:00,0,0.8727563382,0.1272436618
159,EUR_GBP,2021-02-04 04:00:00,2021-02-04 08:00:00,0,0.9996714237,0.000328576347
160,EUR_NZD,2021-02-05 00:00:00,2021-02-05 04:00:00,0,0.8081488945,0.1918511055
161,AUD_CHF,2021-02-09 00:00:00,2021-02-09 04:00:00,0,0.9874858614,0.01251413865
162,EUR_USD,2021-02-09 00:00:00,2021-02-09 04:00:00,0,0.9355233274,0.06447667259
163,EUR_AUD,2021-02-09 08:00:00,2021-02-09 12:00:00,0,0.9676008792,0.03239912085
164,AUD_USD,2021-02-09 20:00:00,2021-02-10 00:00:00,1,0.01686443346,0.9831355665
165,AUD_NZD,2021-02-17 00:00:00,2021-02-17 04:00:00,0,0.9756657768,0.02433422325
166,AUD_CHF,2021-02-17 16:00:00,2021-02-17 20:00:00,0,0.9842683848,0.01573161519
167,GBP_USD,2021-02-24 00:00:00,2021-02-24 04:00:00,0,0.9830756936,0.01692430642
168,NZD_CHF,2021-02-24 08:00:00,2021-02-24 12:00:00,0,0.9860124875,0.01398751251
169,EUR_GBP,2021-02-25 08:00:00,2021-02-25 12:00:00,0,0.9091823121,0.09081768795
170,EUR_NZD,2021-02-26 08:00:00,2021-02-26 12:00:00,0,0.9183444756,0.08165552441
171,EUR_CAD,2021-02-26 16:00:00,2021-02-26 20:00:00,0,0.9912226225,0.008777377549
172,GBP_CAD,2021-03-01 00:00:00,2021-03-01 04:00:00,0,0.9959031792,0.004096820823
173,GBP_CHF,2021-03-01 00:00:00,2021-03-01 04:00:00,0,0.9603426504,0.0396573496
174,EUR_AUD,2021-03-02 00:00:00,2021-03-02 04:00:00,0,0.9957644283,0.004235571742
175,EUR_USD,2021-03-03 08:00:00,2021-03-03 12:00:00,0,0.9988618576,0.001138142447
176,GBP_USD,2021-03-03 08:00:00,2021-03-03 12:00:00,0,0.9991134331,0.0008865669346
177,NZD_CHF,2021-03-03 08:00:00,2021-03-03 12:00:00,0,0.994316719,0.005683281009
178,AUD_NZD,2021-03-03 16:00:00,2021-03-03 20:00:00,0,0.9611322615,0.03886773848
179,CHF_JPY,2021-03-08 00:00:00,2021-03-08 04:00:00,1,0.0237320715,0.9762679285
180,GBP_JPY,2021-03-08 00:00:00,2021-03-08 04:00:00,0,0.9910509787,0.008949021275
181,GBP_AUD,2021-03-08 08:00:00,2021-03-08 12:00:00,0,0.974832632,0.025167368
182,NZD_CHF,2021-03-08 16:00:00,2021-03-08 20:00:00,0,0.9958411989,0.004158801122
183,GBP_NZD,2021-03-09 00:00:00,2021-03-09 04:00:00,0,0.9991453887,0.0008546113057
184,USD_JPY,2021-03-09 00:00:00,2021-03-09 04:00:00,0,0.9753295172,0.02467048281
185,AUD_CAD,2021-03-09 16:00:00,2021-03-09 20:00:00,0,0.9890457512,0.01095424881
186,NZD_CAD,2021-03-09 16:00:00,2021-03-09 20:00:00,0,0.9987982366,0.001201763424
187,AUD_USD,2021-03-09 20:00:00,2021-03-10 00:00:00,0,0.9796767737,0.02032322633
188,USD_CAD,2021-03-10 00:00:00,2021-03-10 04:00:00,0,0.8492699766,0.1507300234
189,CAD_CHF,2021-03-10 08:00:00,2021-03-10 12:00:00,0,0.9958324386,0.004167561445
190,GBP_USD,2021-03-11 04:00:00,2021-03-11 08:00:00,0,0.8943371514,0.1056628486
191,EUR_CAD,2021-03-11 08:00:00,2021-03-11 12:00:00,0,0.99687237,0.003127629965
