feature,index,importance_gain,importance_split
body_to_range_ratio,0,1101.716201,557
upper_wick_ratio,1,1234.894052,598
lower_wick_ratio,2,822.7156224,515
range_to_atr_14,3,950.9388119,444
ret_5bar_atr,4,1197.226142,621
ret_20bar_atr,5,1155.089715,572
pos_in_20bar_range,6,892.0060671,434
rsi_14,7,1160.874709,445
n_swing_lows,8,227.6386734,118
most_recent_sl_lag,9,604.6013752,281
swing_low_dist_atr,10,1588.973295,597
mother_bar_range_atr,11,883.9204013,430
inside_bar_range_atr,12,1119.501073,602
ib_range_ratio,13,772.6514512,395
break_bar_body_atr,14,788.0130721,408
break_close_above_high_atr,15,1106.511358,535
d1_trend_state,16,50.81603155,24
d1_atr_ratio_to_4h,17,1039.080219,556
d1_pos_in_20d_range,18,1242.588799,422
d1_ret_5d_atr,19,1140.206282,478
d1_rsi_14,20,1257.173425,538
d1_close_above_kijun,21,16.8640835,8
d1_bars_since_swing_high,22,1960.891611,566
d1_bars_since_swing_low,23,5796.085875,502
session_london,24,55.52031846,38
session_ny_overlap,25,0,0
hour_sin,26,340.9621616,114
hour_cos,27,194.1984006,82
