pair,signal_bar_time,lookup_date,d1_row_date_full,d1_row_date_trunc,feature,full_pipeline_value,truncated_pipeline_value,match
EUR_USD,2025-03-31 00:00:00,2025-03-30,2025-03-28,2025-03-28,d1_trend_state,1,1,1
EUR_USD,2025-03-31 00:00:00,2025-03-30,2025-03-28,2025-03-28,d1_pos_in_20d_range,0.7809742323,0.7809742323,1
EUR_USD,2025-03-31 00:00:00,2025-03-30,2025-03-28,2025-03-28,d1_ret_5d_atr,0.2117875653,0.2117875653,1
EUR_USD,2025-03-31 00:00:00,2025-03-30,2025-03-28,2025-03-28,d1_rsi_14,59.20260751,59.20260751,1
EUR_USD,2025-03-31 00:00:00,2025-03-30,2025-03-28,2025-03-28,d1_close_above_kijun,1,1,1
EUR_USD,2025-03-31 00:00:00,2025-03-30,2025-03-28,2025-03-28,d1_bars_since_swing_high,44,44,1
EUR_USD,2025-03-31 00:00:00,2025-03-30,2025-03-28,2025-03-28,d1_bars_since_swing_low,20,20,1
CAD_CHF,2025-09-18 04:00:00,2025-09-17,2025-09-17,2025-09-17,d1_trend_state,1,1,1
CAD_CHF,2025-09-18 04:00:00,2025-09-17,2025-09-17,2025-09-17,d1_pos_in_20d_range,0.1851851852,0.1851851852,1
CAD_CHF,2025-09-18 04:00:00,2025-09-17,2025-09-17,2025-09-17,d1_ret_5d_atr,-0.9557924262,-0.9557924262,1
CAD_CHF,2025-09-18 04:00:00,2025-09-17,2025-09-17,2025-09-17,d1_rsi_14,34.07970071,34.07970071,1
CAD_CHF,2025-09-18 04:00:00,2025-09-17,2025-09-17,2025-09-17,d1_close_above_kijun,0,0,1
CAD_CHF,2025-09-18 04:00:00,2025-09-17,2025-09-17,2025-09-17,d1_bars_since_swing_high,26,26,1
CAD_CHF,2025-09-18 04:00:00,2025-09-17,2025-09-17,2025-09-17,d1_bars_since_swing_low,37,37,1
GBP_USD,2022-12-05 00:00:00,2022-12-04,2022-12-02,2022-12-02,d1_trend_state,1,1,1
GBP_USD,2022-12-05 00:00:00,2022-12-04,2022-12-02,2022-12-02,d1_pos_in_20d_range,0.9792116101,0.9792116101,1
GBP_USD,2022-12-05 00:00:00,2022-12-04,2022-12-02,2022-12-02,d1_ret_5d_atr,1.131325117,1.131325117,1
GBP_USD,2022-12-05 00:00:00,2022-12-04,2022-12-02,2022-12-02,d1_rsi_14,68.20541656,68.20541656,1
GBP_USD,2022-12-05 00:00:00,2022-12-04,2022-12-02,2022-12-02,d1_close_above_kijun,1,1,1
GBP_USD,2022-12-05 00:00:00,2022-12-04,2022-12-02,2022-12-02,d1_bars_since_swing_high,42,42,1
GBP_USD,2022-12-05 00:00:00,2022-12-04,2022-12-02,2022-12-02,d1_bars_since_swing_low,49,49,1
USD_CHF,2021-07-20 00:00:00,2021-07-19,2021-07-19,2021-07-19,d1_trend_state,0,0,1
USD_CHF,2021-07-20 00:00:00,2021-07-19,2021-07-19,2021-07-19,d1_pos_in_20d_range,0.3842239186,0.3842239186,1
USD_CHF,2021-07-20 00:00:00,2021-07-19,2021-07-19,2021-07-19,d1_ret_5d_atr,0.5080909603,0.5080909603,1
USD_CHF,2021-07-20 00:00:00,2021-07-19,2021-07-19,2021-07-19,d1_rsi_14,52.83463302,52.83463302,1
