cell,fold,auc
rf_baseline_16,1,0.621954191
rf_baseline_16,2,0.4953703704
rf_baseline_16,3,0.5566235249
rf_baseline_16,4,0.4473123732
rf_baseline_16,5,0.4579154634
rf_baseline_16,mean,0.5158351846
rf_baseline_16,std,0.07313311603
rf_expanded_28,1,0.6558845029
rf_expanded_28,2,0.5021320663
rf_expanded_28,3,0.6017320137
rf_expanded_28,4,0.4701318458
rf_expanded_28,5,0.5458125492
rf_expanded_28,mean,0.5551385956
rf_expanded_28,std,0.07490577289
lgbm_baseline_16,1,0.5944809942
lgbm_baseline_16,2,0.5140107212
lgbm_baseline_16,3,0.5005709935
lgbm_baseline_16,4,0.4640973631
lgbm_baseline_16,5,0.5500131268
lgbm_baseline_16,mean,0.5246346398
lgbm_baseline_16,std,0.04969725699
lgbm_expanded_28,1,0.615497076
lgbm_expanded_28,2,0.4937865497
lgbm_expanded_28,3,0.5585268367
lgbm_expanded_28,4,0.4348884381
lgbm_expanded_28,5,0.4924127067
lgbm_expanded_28,mean,0.5190223215
lgbm_expanded_28,std,0.06944676214
